VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAGHMARE,1568,9,1,17
BELA,2024,28,1,2
BIJAURI,2747,185,31,19
CHAULAHI,3590,632,17,52
DHANAURI,1830,22,0,81
DHARNA,1527,24,0,11
DHIKPUR,2282,23,3,80
DURUWA,2678,43,0,14
GADHAWA,2100,62,2,12
GANGAPRASPUR,1998,12,0,21
GOBARDIYA,2831,23,3,16
GOLTAKURI,752,6,0,361
HALWAR,2100,68,1,18
HANSIPUR,1464,18,1,4
HAPUR,2861,40,2,83
HEKULI,1798,17,0,2
KABHRE,1421,29,2,21
KOILABAS,148,9,8,22
LALMATIYA,4105,355,8,7
LAXMIPUR,2831,76,3,22
LOHARPANI,1091,15,0,10
MANPUR,2997,68,3,20
NARAYANPUR,3229,312,5,31
PANCHAKULE,1762,43,4,13
PAWAN NAGAR,1863,23,3,9
PHULBARI,1210,10,0,7
PURANDHARA,3976,116,6,25
RAJPUR,2395,15,2,6
RAMPUR,2501,43,101,53
SAIDHA,1324,9,2,3
SATBARIYA,2457,38,1,5
SAUDIYAR,2406,29,2,16
SHANTINAGAR,1756,34,1,9
SHREEGAUN,1482,18,0,19
SISAHANIYA,3173,77,1,8
SONPUR,2557,75,2,6
SYUJA,932,29,2,12
TARIGAUN,2237,36,2,24
GHORAHI MUNICIPALITY,9993,5154,138,200
TULSIPUR MUNICIPALITY,9192,2879,59,84
URAHARI,2574,20,1,18
TOTAL,103762,10724,418,1443
