VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ARCHHANI,17,10,621,2,0,2,0,5
BHAGAWATI TOL,275,5,340,0,0,0,0,1
BHOOR,44,12,825,0,1,169,72,8
DAHA,123,4,725,0,0,0,0,11
DANDAGAUN,486,15,740,1,0,2,5,4
DASERA,8,11,1380,2,4,9,2,16
DHIME,694,12,543,1,0,49,1,11
GARKHAKOT,26,14,915,0,0,0,0,34
JAGATIPUR,13,9,1001,3,1,411,1,2
JHAPRA,249,3,705,0,5,22,0,2
JUNGA THAPACHAUR,29,26,772,0,2,0,0,0
KARKIGAUN,24,5,1020,0,1,77,10,6
KHAGENKOT,486,6,464,0,0,0,4,3
KHALANGA,269,26,2161,12,12,11,0,32
KORTRANG,2,4,544,0,0,0,0,2
LAHAI,869,10,228,1,0,0,0,4
MAJHAKOT,25,1,1332,0,0,0,0,12
NAYAKWADA,596,3,444,1,0,0,0,1
PAINK,130,17,690,0,0,0,0,17
PAJARU,52,9,1147,0,2,28,1,5
PUNAMA,83,3,1354,0,0,25,7,23
RAGDA,249,0,522,0,0,0,0,1
RAMIDANDA,209,0,233,0,0,0,0,3
ROKAYAGAUN,295,7,266,0,0,0,0,4
SAKALA,605,3,417,0,0,0,0,6
SALMA,4,2,1030,1,0,8,0,3
SIMA,14,25,872,0,1,25,0,2
SUWANAULI,6,0,508,0,0,0,0,2
TALEGAUN,24,4,505,0,4,0,0,6
THALA RAIKAR,13,6,765,0,0,0,0,4
TOTAL,5919,252,23069,24,33,838,103,230
