VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARCHHANI,881,881,724,647,148,224,9,10
BHAGAWATI TOL,850,847,644,572,173,250,33,25
BHOOR,1409,1580,1101,1103,302,468,6,9
DAHA,1211,1258,859,791,287,379,65,88
DANDAGAUN,1544,1693,1103,1108,435,576,6,9
DASERA,1817,2051,1442,1486,332,510,43,55
DHIME,1698,1793,1374,1287,312,485,12,21
GARKHAKOT,1312,1467,1009,1011,288,417,15,39
JAGATIPUR,1619,1912,1212,1233,398,674,9,5
JHAPRA,1400,1430,1038,1047,355,375,7,8
JUNGA THAPACHAUR,1212,1272,872,798,331,460,9,14
KARKIGAUN,1335,1518,1075,1112,255,400,5,6
KHAGENKOT,1121,1162,789,698,323,458,9,6
KHALANGA,2563,2719,1940,1860,604,831,19,28
KORTRANG,702,800,537,539,140,229,25,32
LAHAI,1457,1534,1106,1041,292,387,59,106
MAJHAKOT,1748,1935,1299,1250,409,638,40,47
NAYAKWADA,1412,1471,966,887,402,523,44,61
PAINK,1103,1206,820,810,221,293,62,103
PAJARU,1571,1815,1304,1333,254,453,13,29
PUNAMA,1807,1974,1373,1381,416,572,18,21
RAGDA,942,1081,711,688,223,390,8,3
RAMIDANDA,499,576,414,425,84,149,1,2
ROKAYAGAUN,793,786,519,490,116,98,158,198
SAKALA,1482,1570,858,799,445,552,179,219
SALMA,1458,1687,1180,1260,267,397,11,30
SIMA,1041,1332,851,967,189,361,1,4
SUWANAULI,581,699,466,482,112,215,3,2
TALEGAUN,724,757,540,500,163,225,21,32
THALA RAIKAR,1126,1178,844,762,254,349,28,67
INSTITUTIONAL,167,4,0,0,167,4,0,0
