VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANDHERI NARAYANSTHAN,366,174,6,40,10,11
BAKSA,3,380,2,159,1,1
BALAKHU,101,304,0,213,214,3
BARNALU,278,384,2,29,0,1
BARUNESHWOR,478,295,1,31,3,1
BETINI,437,7,0,2,10,3
BHADAURE,9,116,0,133,304,1
BHUSSINGA,310,6,5,1,0,0
BIGUTAR,462,54,2,9,6,0
BILANDU,1,259,1,222,0,1
CHYANAM,605,8,1,4,0,1
DIYALE,62,162,8,165,114,3
FEDIGUTH,282,382,4,94,5,2
FULBARI,308,277,0,183,4,4
GAMNANGTAR,391,124,1,57,23,3
HARKAPUR,319,243,10,32,5,5
JANTARKHANI,275,54,1,32,25,1
JYAMIRE,459,76,0,5,0,5
KALIKADEVI,117,165,0,108,26,1
KHIGIKATI,328,8,6,4,3,3
KATUNJE,679,193,0,45,6,3
KETUKE,347,218,1,108,1,0
KHIJI CHANDESHWORI,1,31,1,83,159,0
KHIJIFALATE,237,12,7,377,72,1
KUIBHIR,0,30,0,369,9,1
KUNTADEVI,212,305,3,56,5,2
MADHAVPUR,72,288,1,121,14,4
MAMKHA,288,257,0,74,87,21
MANEBHANJYANG,405,110,0,96,3,9
MOLI,81,200,0,97,29,2
MULKHARKA,259,195,4,243,46,1
NARMEDESHWOR,2,129,2,174,15,0
OKHALDHUNGA,432,552,4,207,100,63
PALAPU,59,41,5,408,417,16
PALTE,552,25,7,105,30,0
POKALI,472,28,2,127,12,2
POKHARE,0,5,0,325,1,0
PRAPCHA,262,9,0,0,0,0
RAGADEEP,199,78,1,7,167,3
RAGANI,477,68,2,141,56,4
RANIBAN,1,206,0,196,0,1
RATMATA,42,70,0,325,9,1
RAWADOLU,331,3,0,0,1,2
RUMJATAR,566,147,2,13,21,2
SALLERI,318,71,0,28,1,1
SERNA,179,8,2,87,65,2
SHREECHAUR,447,49,3,53,28,1
SINGHADEVI,8,249,3,190,3,2
SISNERI,406,306,1,95,35,16
TALUWA,31,159,2,138,117,0
TARKERABARI,408,0,1,0,0,2
THAKLE,20,133,7,318,72,2
TOKSEL,4,389,1,182,10,2
THULACHHAP,40,404,12,252,29,6
UBU,112,348,2,256,5,2
YASAM,2,288,2,243,49,1
TOTAL,13542,9082,128,7062,2427,225
