VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AGINCHOK,186,542,143,2
BAIRENI,1057,1151,574,13
BASERI,220,353,282,4
BENIGHAT,612,1255,252,4
BHUMESTHAN,846,959,337,3
BUDHATHUM,374,303,188,1
CHAINPUR,215,560,738,1
CHHATREDEURALI,560,661,431,3
DARKHA,396,294,422,9
DHOLA,222,462,309,5
DHUSSA,316,558,480,7
DHUWAKOT,198,447,417,1
GAJURI,773,1140,302,8
GOGANPANI,460,512,156,5
GUMDI,354,559,194,2
JEEWANPUR,649,743,524,4
JHARLANG,549,38,182,1
JOGIMARA,330,912,192,8
JYAMRUNG,425,695,529,4
KALLERI,808,782,321,10
KATUNJE,432,543,447,3
KEWALPUR,421,498,185,0
KHALTE,439,679,448,0
KHARI,351,164,534,2
KIRANCHOK,588,193,366,16
KUMPUR,622,1002,483,15
LAPA,464,125,255,9
MAHADEVSTHAN,645,279,317,2
MAIDI,163,1449,549,6
MARPAK,200,269,376,4
MULPANI,233,266,249,1
MURALI BHANJYANG,145,1316,203,9
NALANG,597,1007,260,12
NAUBISE,791,1812,573,8
NILKANTHA,380,4108,747,20
PHULKHARKA,332,351,236,1
PIDA,884,1106,218,6
REE GAUN,317,416,376,1
SALANG,242,471,423,4
SALYANKOT,304,429,383,7
SALYANTAR,555,1029,200,7
SANGKOSH,431,624,186,3
SATYADEVI,119,156,469,16
SEMJONG,159,526,161,1
SERTUNG,666,32,118,1
SUNAULA BAZAR,265,780,485,0
TASARPU,467,229,402,0
THAKRE,657,937,539,8
TIPLING,299,21,141,3
TRIPURESWOR,160,573,86,0
TOTAL,21878,34316,17388,260
