VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AGINCHOK,77,593,191,9,0,0,0,3
BAIRENI,59,1437,915,354,0,0,1,29
BASERI,61,693,98,0,1,0,0,6
BENIGHAT,166,891,614,433,1,0,7,11
BHUMESTHAN,40,1438,544,100,1,1,19,2
BUDHATHUM,94,521,247,3,0,0,0,1
CHAINPUR,158,803,539,10,0,0,1,3
CHHATREDEURALI,27,1499,103,21,1,0,1,3
DARKHA,32,290,788,0,1,0,0,10
DHOLA,43,455,496,0,1,0,0,3
DHUSSA,405,619,233,93,1,0,0,10
DHUWAKOT,9,487,557,1,0,0,0,9
GAJURI,332,926,482,460,1,0,5,17
GOGANPANI,12,870,223,17,4,0,0,7
GUMDI,38,602,458,1,1,0,0,9
JEEWANPUR,22,1810,67,10,0,0,1,10
JHARLANG,20,381,217,2,149,0,0,1
JOGIMARA,427,604,284,107,1,1,3,15
JYAMRUNG,81,1153,407,2,3,0,0,7
KALLERI,53,203,1646,4,0,0,0,15
KATUNJE,38,1316,59,8,0,0,1,3
KEWALPUR,9,996,62,5,0,0,0,32
KHALTE,48,61,1454,1,0,0,0,2
KHARI,113,389,543,0,0,1,1,4
KIRANCHOK,75,780,284,1,0,0,0,23
KUMPUR,129,378,1538,53,0,0,1,23
LAPA,26,169,182,3,463,0,2,8
MAHADEVSTHAN,796,271,160,8,1,0,2,5
MAIDI,278,936,927,7,4,1,0,14
MARPAK,68,684,91,0,0,0,0,6
MULPANI,57,570,119,0,0,0,0,3
MURALI BHANJYANG,28,589,982,65,1,0,0,8
NALANG,218,561,1044,31,2,1,5,14
NAUBISE,67,2708,92,262,2,0,10,43
NILKANTHA,40,961,1573,2624,4,1,3,49
PHULKHARKA,39,734,142,1,0,0,1,3
PIDA,299,923,825,152,2,1,3,9
REE GAUN,43,80,870,3,110,0,1,3
SALANG,225,329,569,9,1,0,0,7
SALYANKOT,142,770,192,1,0,0,10,8
SALYANTAR,124,1368,128,158,5,0,0,8
SANGKOSH,21,553,609,34,0,0,4,23
SATYADEVI,39,398,300,0,1,0,0,22
SEMJONG,12,807,25,1,0,0,0,2
SERTUNG,8,306,174,0,328,0,0,1
SUNAULA BAZAR,33,139,1342,12,0,1,1,2
TASARPU,82,932,76,3,0,0,4,1
THAKRE,59,1661,137,213,2,0,2,67
TIPLING,12,25,18,1,401,0,0,7
TRIPURESWOR,41,672,86,19,1,0,0,0
TOTAL,5325,37341,23712,5302,1494,8,89,571
