VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARMAN,867,12,0,69
ARTHUNGE,1255,1795,101,31
BABIYACHAUR,681,107,4,27
BEGKHOLA,351,28,1,22
BARANJA,1078,15,0,45
BHAKIMLI,713,10,0,16
BIM,380,7,4,28
CHIMKHOLA,342,2,0,16
DAGNAM,260,9,3,17
DANA,361,103,1,19
DARWANG,630,218,5,51
DEVISTHAN,711,21,1,18
GHATAN,934,90,35,78
DOWA,263,7,1,23
GURJA KHANI,172,0,0,36
HISTHAN MANDALI,462,6,3,21
JHIN,268,4,0,16
JYAMRUNGKOT,784,63,7,30
KUHUN,796,4,5,38
KUINEMANGALE,199,18,1,21
LULANG,298,5,0,18
MALKWANG,278,13,3,0
MARANG,388,5,3,20
MUDI,514,11,3,21
MUNA,502,8,1,52
NARCHYANG,405,19,15,17
NISKOT,434,22,0,12
OKHARBOT,462,38,0,4
PAKHAPANI,530,25,0,18
PATLEKHET,420,5,11,22
PULACHAUR,820,4,2,20
RAKHU BHAGAWATI,875,31,1,25
RAKHUPIPLE,923,54,10,28
RAMCHE,431,3,2,24
RATNECHAUR,596,11,1,14
ROOM,1188,32,2,32
SHIKHA,533,40,2,46
SINGA,673,82,1,28
TAKAM,811,22,0,45
BHURUNG TATOPANI,141,50,8,17
GHAR,581,73,7,16
TOTAL,23310,3072,244,1101
