VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARMAN,165,776,677,95,16,7,2,26,617,0,3,9,2,3,7
ARTHUNGE,161,3016,1537,1076,2052,555,382,508,2870,62,328,187,33,717,5
BABIYACHAUR,117,689,607,55,100,9,2,13,561,1,11,7,0,15,13
BEGKHOLA,66,331,238,95,108,5,0,1,193,1,2,0,0,32,5
BARANJA,187,913,712,201,51,6,2,2,772,0,4,0,0,3,38
BHAKIMLI,92,638,548,134,213,8,9,1,532,0,0,0,0,0,9
BIM,91,326,263,21,12,2,0,1,238,0,0,0,0,0,2
CHIMKHOLA,70,285,249,90,22,4,0,0,100,0,0,0,0,1,5
DAGNAM,54,228,212,22,0,0,0,2,74,0,0,0,0,0,7
DANA,117,364,261,167,119,7,0,2,242,0,2,0,0,13,3
DARWANG,107,738,589,42,155,17,3,47,512,0,10,0,1,31,59
DEVISTHAN,143,589,502,53,19,3,0,10,392,0,1,0,0,4,19
GHATAN,204,925,621,382,435,32,8,25,810,6,20,2,5,72,8
DOWA,54,232,202,32,30,1,0,1,155,0,0,0,0,1,8
GURJA KHANI,83,120,106,29,0,0,0,2,0,0,0,0,0,0,5
HISTHAN MANDALI,44,410,364,155,97,11,4,25,306,0,0,1,0,14,38
JHIN,47,220,207,61,0,0,0,5,159,0,2,0,0,0,21
JYAMRUNGKOT,76,779,521,220,444,35,17,9,649,1,15,9,2,28,29
KUHUN,187,644,566,58,4,9,0,30,464,0,0,1,0,0,12
KUINEMANGALE,42,161,129,8,5,2,1,4,98,0,1,0,0,0,36
LULANG,108,210,172,38,8,0,1,1,112,0,0,0,0,0,3
MALKWANG,104,183,117,1,0,0,0,0,147,0,0,0,0,0,7
MARANG,71,328,269,46,3,3,3,11,273,0,0,0,0,0,17
MUDI,199,346,325,7,0,0,0,9,110,0,0,0,0,0,4
MUNA,192,369,303,64,21,0,0,0,203,0,0,0,0,1,2
NARCHYANG,43,323,237,90,108,3,2,2,222,0,2,1,1,3,90
NISKOT,70,384,325,45,3,6,1,2,254,0,0,0,0,0,14
OKHARBOT,85,405,353,64,22,2,0,1,235,0,3,0,0,2,14
PAKHAPANI,98,462,431,23,0,1,0,5,221,1,2,1,0,0,13
PATLEKHET,61,387,303,100,157,4,0,1,311,0,2,1,4,0,10
PULACHAUR,143,703,475,175,230,15,8,11,601,0,2,0,3,6,0
RAKHU BHAGAWATI,197,732,504,128,287,4,11,4,600,3,3,2,0,10,3
RAKHUPIPLE,197,812,519,196,390,18,6,37,681,1,8,2,0,66,6
RAMCHE,51,388,342,125,10,8,0,25,201,1,0,0,1,0,21
RATNECHAUR,72,546,385,48,271,25,10,17,506,0,19,20,1,10,4
ROOM,334,892,746,47,3,4,0,1,555,2,0,0,0,0,28
SHIKHA,127,487,406,83,154,6,3,7,309,0,0,1,1,3,7
SINGA,82,700,394,23,402,14,3,8,630,2,12,9,0,48,2
TAKAM,235,632,536,40,1,4,2,2,468,0,1,0,0,1,11
BHURUNG TATOPANI,48,164,113,40,45,4,1,9,147,3,13,3,1,36,4
GHAR,150,497,380,230,163,10,1,13,410,3,3,0,1,20,30
