VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARMAN,423,192,2,299,32,0
ARTHUNGE,3094,65,6,6,4,7
BABIYACHAUR,351,121,1,257,88,1
BEGKHOLA,344,53,2,0,2,1
BARANJA,662,184,0,249,43,0
BHAKIMLI,680,51,1,2,3,2
BIM,221,103,0,88,5,2
CHIMKHOLA,335,24,1,0,0,0
DAGNAM,96,95,0,97,0,1
DANA,406,65,0,0,13,0
DARWANG,536,156,4,179,24,5
DEVISTHAN,348,241,1,154,7,0
GHATAN,1052,75,0,0,9,1
DOWA,160,115,0,18,1,0
GURJA KHANI,201,0,0,0,7,0
HISTHAN MANDALI,428,33,3,27,0,1
JHIN,8,210,0,60,9,1
JYAMRUNGKOT,791,91,0,0,2,0
KUHUN,87,161,1,414,179,1
KUINEMANGALE,157,58,0,20,3,1
LULANG,304,14,0,2,0,1
MALKWANG,2,194,1,97,0,0
MARANG,321,20,2,69,4,0
MUDI,23,138,0,182,205,1
MUNA,513,6,1,6,30,7
NARCHYANG,382,43,0,1,15,15
NISKOT,179,88,0,99,100,2
OKHARBOT,470,8,1,0,25,0
PAKHAPANI,227,235,0,107,4,0
PATLEKHET,410,35,5,5,2,1
PULACHAUR,690,93,2,58,3,0
RAKHU BHAGAWATI,881,43,0,0,3,5
RAKHUPIPLE,927,79,2,1,5,1
RAMCHE,342,60,1,47,10,0
RATNECHAUR,576,43,1,1,1,0
ROOM,225,51,1,139,831,7
SHIKHA,536,71,3,10,0,1
SINGA,743,27,0,2,12,0
TAKAM,130,248,0,436,62,2
BHURUNG TATOPANI,186,28,0,2,0,0
GHAR,581,84,4,1,1,6
TOTAL,19028,3701,46,3135,1744,73
