VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARMAN,163,97,66,1311,651,660,547,243,304,249,127,122,185,98,87,58,26,32,30,16,14,9,2,7,0,0,0,227,38,189,2,0,2
ARTHUNGE,472,252,220,2835,1431,1404,1777,850,927,1042,528,514,1488,773,715,890,431,459,320,226,94,122,104,18,3,2,1,391,94,297,7,2,5
BABIYACHAUR,94,46,48,932,466,466,443,234,209,245,112,133,206,102,104,96,45,51,37,28,9,13,8,5,0,0,0,136,44,92,19,7,12
BEGKHOLA,19,10,9,480,242,238,229,103,126,80,42,38,71,41,30,27,10,17,4,3,1,1,0,1,0,0,0,135,35,100,1,1,0
BARANJA,198,105,93,1448,742,706,739,360,379,293,138,155,259,126,133,51,27,24,8,7,1,3,1,2,0,0,0,277,76,201,2,2,0
BHAKIMLI,107,55,52,865,410,455,458,211,247,220,118,102,183,93,90,47,22,25,8,7,1,4,1,3,1,0,1,199,58,141,6,4,2
BIM,98,51,47,588,295,293,239,110,129,97,56,41,87,42,45,17,11,6,7,4,3,7,6,1,0,0,0,99,32,67,0,0,0
CHIMKHOLA,31,18,13,329,169,160,188,102,86,117,66,51,52,22,30,12,9,3,2,1,1,1,1,0,0,0,0,36,9,27,10,5,5
DAGNAM,43,21,22,297,141,156,168,83,85,64,32,32,31,17,14,7,5,2,3,1,2,1,1,0,0,0,0,43,20,23,0,0,0
DANA,38,16,22,542,277,265,260,136,124,92,49,43,82,43,39,32,16,16,8,7,1,4,4,0,0,0,0,124,47,77,0,0,0
