VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARMAN,937,2,0,9,0,0
ARTHUNGE,1237,518,1373,30,1,23
BABIYACHAUR,751,17,33,13,0,5
BEGKHOLA,372,26,0,3,0,1
BARANJA,1130,3,0,5,0,0
BHAKIMLI,733,3,0,0,0,3
BIM,414,1,0,3,0,1
CHIMKHOLA,357,0,1,1,0,1
DAGNAM,286,0,0,2,0,1
DANA,465,6,2,8,3,0
DARWANG,775,67,47,9,0,6
DEVISTHAN,745,1,0,5,0,0
GHATAN,1059,10,60,6,0,2
DOWA,286,3,1,3,0,1
GURJA KHANI,202,0,0,6,0,0
HISTHAN MANDALI,483,7,0,1,0,1
JHIN,286,0,0,1,0,1
JYAMRUNGKOT,845,33,2,4,0,0
KUHUN,834,0,1,3,0,5
KUINEMANGALE,237,1,0,0,0,1
LULANG,312,0,0,8,0,1
MALKWANG,294,0,0,0,0,0
MARANG,398,1,0,11,0,6
MUDI,518,1,0,25,0,5
MUNA,554,0,0,4,0,5
NARCHYANG,429,9,5,0,0,13
NISKOT,449,2,0,13,0,4
OKHARBOT,498,1,0,4,0,1
PAKHAPANI,568,0,0,5,0,0
PATLEKHET,451,3,0,3,0,1
PULACHAUR,834,1,3,6,0,2
RAKHU BHAGAWATI,918,1,1,5,0,7
RAKHUPIPLE,980,14,11,7,0,3
RAMCHE,442,2,0,15,0,1
RATNECHAUR,609,6,5,2,0,0
ROOM,1240,0,0,8,0,6
SHIKHA,606,5,1,8,0,1
SINGA,726,9,40,9,0,0
TAKAM,871,0,0,4,0,3
BHURUNG TATOPANI,211,5,0,0,0,0
GHAR,631,24,7,9,0,6
TOTAL,24973,782,1593,258,4,117
