VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AANPTAR,176,254,0,246,185,1
BALAMTA,31,76,0,197,168,0
BARAHA,0,248,0,230,59,1
BARRE,5,345,4,411,84,2
BANSBOTE,3,83,4,145,193,3
BASHAHA,1587,619,12,14,5,3
BELTAR,2596,506,9,9,7,1
BHUTTAR,343,176,3,67,33,13
CHAUDANDI,84,442,0,174,50,6
DUMRE,15,215,2,209,29,1
HADIYA,2063,278,5,8,1,0
HARDENI,231,290,2,166,12,5
INAME,0,218,1,309,57,2
JALPACHILAUNE,288,332,5,145,37,0
JANTE,1,171,4,140,96,0
JOGIDAHA,1343,99,1,4,4,0
KATARI,3740,354,2,39,22,21
KATUNJE BABALA,13,465,2,491,94,0
KHANBU,260,431,2,86,3,0
LAPHAGAUN,25,78,0,164,294,1
LEKHANI,211,29,4,205,235,2
LEKHGAUN,0,127,0,258,94,1
LIMPATAR,1,303,2,197,1,0
MAINAMAINI,3,559,3,406,0,0
NAMETAR,3,76,1,322,10,4
OKHALE,0,98,0,212,190,7
PACHCHAWATI,117,375,3,1438,40,0
POKHARI,219,227,1,89,116,4
RAUTA,665,606,2,161,98,3
RISKU,394,160,6,1199,27,2
RUPATAR,2,353,1,224,99,4
SAUNE,175,62,9,74,197,1
SHORUNG CHHABISE,65,230,3,210,202,8
SIDDHIPUR,358,254,0,155,12,0
SIRISE,173,410,2,191,11,8
SUNDARPUR,944,311,4,2,0,0
TAMLICHHA,0,185,2,144,131,1
TAPESWORI,1620,488,11,32,51,4
TAWASHREE,38,602,7,422,83,2
THANAGAU,1,179,1,125,138,2
THOKSILA,27,1805,17,2368,456,15
TRIBENI,1414,301,4,101,29,15
TRIYUGA MUNICIPALITY,14567,1014,20,151,115,59
VALAYADANDA,81,452,2,1096,96,3
MAYANKHU,231,64,0,83,99,1
TOTAL,34113,14950,163,13119,3963,206
