VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AANPTAR,731,12,118,1
BALAMTA,388,1,83,0
BARAHA,394,4,139,1
BARRE,690,75,83,3
BANSBOTE,226,11,191,3
BASHAHA,632,402,1203,3
BELTAR,978,1442,707,1
BHUTTAR,406,15,201,13
CHAUDANDI,469,211,70,6
DUMRE,434,18,18,1
HADIYA,1293,839,223,0
HARDENI,563,105,33,5
INAME,6,219,359,3
JALPACHILAUNE,387,275,145,0
JANTE,202,9,201,0
JOGIDAHA,984,420,47,0
KATARI,1757,1844,557,20
KATUNJE BABALA,795,40,230,0
KHANBU,533,72,177,0
LAPHAGAUN,489,9,63,1
LEKHANI,46,22,616,2
LEKHGAUN,16,32,430,2
LIMPATAR,155,52,297,0
MAINAMAINI,903,20,47,1
NAMETAR,378,7,27,4
OKHALE,194,153,153,7
PACHCHAWATI,937,616,420,0
POKHARI,493,30,129,4
RAUTA,260,906,366,3
RISKU,1280,264,242,2
RUPATAR,418,50,211,4
SAUNE,174,202,141,1
SHORUNG CHHABISE,412,81,217,8
SIDDHIPUR,512,242,25,0
SIRISE,142,198,447,8
SUNDARPUR,379,707,175,0
TAMLICHHA,254,2,206,1
TAPESWORI,1295,336,571,4
TAWASHREE,716,211,225,2
THANAGAU,364,8,71,3
THOKSILA,2429,1228,1016,15
TRIBENI,898,716,236,14
TRIYUGA MUNICIPALITY,5554,7076,3238,58
VALAYADANDA,1244,361,122,3
MAYANKHU,351,90,36,1
TOTAL,32161,19633,14512,208
