VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ACHALGADH,119,507,0,2,0,14
ARNAHA,144,487,2,4,0,2
ATROULI,909,342,4,9,8,4
AURAHI,307,832,3,6,1,8
BABARGANJ,996,1137,3,6,0,21
BAGDAHA,311,740,3,5,1,42
BAHADURPUR,1,347,0,2,0,12
BALARA,623,757,9,7,0,48
BARA UDHORAN,0,902,1,0,0,11
BARAHATHAWA,2146,843,2,6,3,43
BASANTAPUR,560,1415,0,5,0,15
BATRAUL,11,753,0,5,0,9
BELA,321,442,0,4,0,6
BELHI,6,572,1,3,0,0
BELWA JABDI,5,812,3,44,0,7
BHADSAR,263,353,0,8,0,17
BHAGAWATIPUR,0,737,6,4,0,1
BHAKTIPUR,2437,530,7,7,0,3
BHAWANIPUR,2,542,2,12,1,5
BRAHMAPURI,555,864,3,20,0,10
CHANDRA NAGAR,655,792,2,4,0,5
CHHATAUL,2,974,1,10,1,6
CHHATONA,194,349,2,3,0,0
DHANAKAUL PACHHAWARI,8,592,1,15,1,35
DHANAKAUL PURBA,1246,55,1,8,1,5
DHANGADHA,218,901,2,14,0,5
DHUNGREKHOLA,1789,735,12,36,122,17
DHURKAULI,1521,271,3,5,7,6
DUMARIYA,329,481,0,1,0,2
FARAHADAWA,410,570,0,29,0,7
FULPARASI,413,166,0,4,0,4
GADAHIYABAIRI,160,913,4,10,0,8
GAMHARIYA,960,268,1,4,0,6
GODETA,352,669,4,6,1,41
GOURISHANKAR,1897,498,2,12,0,48
HAJARIYA,550,2076,1,110,30,47
HARAKTHAWA,4,896,1,3,0,11
HARIPUR,1464,725,6,12,5,19
HARIPURWA,1242,1282,9,31,4,25
HARIYON,3672,283,21,9,2,47
HATHIYOL,116,1326,2,14,0,10
HEMPUR,389,840,0,5,0,6
ISHWORPUR,3068,684,6,32,2,76
JABDI,1576,226,1,4,1,0
JAMUNIYA,698,565,1,2,1,17
JANAKI NAGAR,797,705,2,7,1,16
JINGADAWA,495,122,0,2,0,3
KABILASI,665,1183,2,0,1,31
KALINJOR,662,95,6,221,1,6
KARMAIYA,1395,343,5,25,5,21
KHIRWA,3,1853,1,4,0,15
KHORIYA,323,384,0,2,1,23
KHUTAUNA,362,401,1,1,0,1
KISANPUR,310,554,1,7,0,14
KAUDENA,559,638,1,8,0,6
LALBANDI,3010,226,19,6,12,22
LAUKATH,438,667,2,6,6,10
LAXMIPUR KODRAHA,757,678,0,4,4,17
LAXMIPUR SU.,300,574,3,2,0,9
MADHUBANGOTH,5,926,5,15,0,0
MADHUBANI,134,613,0,2,0,2
MAHINATHPUR,1,600,1,1,1,6
BHELHI,341,400,1,1,2,9
MALANGAWA MUNICIPALITY,3833,536,10,5,5,44
MANPUR,12,1314,4,3,10,9
MIRJAPUR,96,635,1,5,0,2
MOHANPUR,517,497,3,6,1,9
MOTIPUR,377,256,0,3,0,1
MURTIYA,344,1176,8,7,1,26
MUSAULI,618,197,1,12,0,5
NARAYAN KHOLA,0,51,0,586,67,7
NARAYANPUR,294,268,1,0,0,2
NETRAGANJ,1841,216,5,4,1,24
NOUKAILAWA,581,1320,1,3,0,46
PARSA,506,452,0,10,0,24
PARWANIPUR,1038,326,4,301,9,18
PATTHARKOT,716,326,0,407,58,9
PIDARI,403,499,2,2,0,11
PIDARIYA,734,101,0,13,1,2
PIPARIYA,358,838,1,7,3,11
RAJGHAT,165,1221,14,553,62,25
RAMBAN,450,374,1,0,0,16
RAMNAGAR BAHUARWA,5,966,1,6,0,2
RANIGANJ,945,147,9,17,1,2
ROHUWA,25,489,2,2,0,2
SAKRAUL,4,721,1,2,6,15
SALEMPUR,426,808,0,7,1,5
SANGRAMPUR,744,397,6,12,0,4
SANKARPUR,639,1009,4,4,10,5
SASAPUR,1100,108,1,0,1,36
SHREEPUR,203,538,0,6,0,11
SIKHAUNA,6,768,0,5,9,5
SIMARA,1,1276,4,8,1,75
SISOTIYA,754,847,1,5,4,23
SISOUT,372,886,2,3,1,19
SAHODAWA,72,557,1,4,0,9
SUDAMA,106,540,2,2,0,1
SUNDARPUR,4,1063,1,8,1,9
SUNDARPUR CHOHARWA,99,1625,2,171,9,6
TRIBHUWAN NAGAR,265,306,5,0,1,1
TOTAL,61859,65667,280,3045,489,1463
