VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ACHALGADH,3380,1754,1626,1540,963,577,110,55,55,1725,734,991,5,2,3,45.562130177514796,54.903078677309004,35.485854858548585
ARNAHA,3541,1883,1658,1388,894,494,79,52,27,2074,937,1137,0,0,0,39.197966676080206,47.47742963356346,29.794933655006034
ATROULI,5904,2842,3062,2967,1603,1364,326,196,130,2590,1033,1557,21,10,11,50.25406504065041,56.40394088669951,44.54604833442195
AURAHI,6309,3185,3124,2047,1350,697,281,140,141,3979,1693,2286,2,2,0,32.445712474243145,42.3861852433281,22.311139564660692
BABARGANJ,10528,5441,5087,4931,3115,1816,242,117,125,5321,2192,3129,34,17,17,46.837006079027354,57.250505421797456,35.69884018085315
BAGDAHA,5949,3121,2828,2030,1369,661,378,198,180,3525,1546,1979,16,8,8,34.12338208102202,43.864146107016985,23.37340876944837
BAHADURPUR,1791,926,865,583,387,196,29,15,14,1179,524,655,0,0,0,32.55164712451145,41.792656587473004,22.658959537572255
BALARA,6903,3664,3239,3254,1996,1258,248,128,120,3383,1532,1851,18,8,10,47.1389251050268,54.47598253275109,38.839147885149735
BARA UDHORAN,4476,2356,2120,2181,1343,838,99,51,48,2196,962,1234,0,0,0,48.72654155495979,57.00339558573854,39.528301886792455
BARAHATHAWA,16137,8224,7913,9776,5879,3897,322,146,176,6032,2197,3835,7,2,5,60.5812728512115,71.48589494163424,49.24807279160874
BASANTAPUR,10749,5459,5290,3741,2486,1255,202,109,93,6796,2860,3936,10,4,6,34.80323751046609,45.539476094522804,23.72400756143667
BATRAUL,4287,2221,2066,1111,753,358,63,39,24,3112,1429,1683,1,0,1,25.915558665733613,33.90364700585322,17.32817037754114
BELA,4149,2079,2070,1975,1218,757,154,60,94,2020,801,1219,0,0,0,47.601831766690765,58.58585858585859,36.570048309178745
BELHI,3139,1624,1515,1203,811,392,161,93,68,1774,719,1055,1,1,0,38.32430710417331,49.9384236453202,25.874587458745875
BELWA JABDI,5121,2631,2490,1959,1241,718,102,48,54,3039,1334,1705,21,8,13,38.254247217340364,47.16837704294945,28.835341365461847
BHADSAR,3478,1760,1718,1703,1040,663,97,50,47,1672,668,1004,6,2,4,48.964922369177685,59.09090909090909,38.59138533178114
BHAGAWATIPUR,3831,1982,1849,1492,954,538,45,26,19,2294,1002,1292,0,0,0,38.94544505351084,48.13319878910192,29.09680908599243
BHAKTIPUR,13281,6394,6887,6761,3907,2854,266,121,145,6242,2364,3878,12,2,10,50.907311196446045,61.10416015014075,41.44039494700159
BHAWANIPUR,2959,1453,1506,912,578,334,61,31,30,1986,844,1142,0,0,0,30.82122338627915,39.77976600137646,22.177954847277555
BRAHMAPURI,7452,3757,3695,3383,2038,1345,355,187,168,3708,1528,2180,6,4,2,45.39720880300591,54.24540857066808,36.40054127198917
CHANDRA NAGAR,7916,4003,3913,3486,2133,1353,194,86,108,4226,1778,2448,10,6,4,44.037392622536636,53.28503622283287,34.57705085612062
CHHATAUL,5616,2908,2708,1488,1077,411,32,18,14,4091,1809,2282,5,4,1,26.495726495726498,37.035763411279234,15.177252584933532
CHHATONA,2904,1558,1346,1170,742,428,42,29,13,1692,787,905,0,0,0,40.289256198347104,47.625160462130935,31.79791976225854
DHANAKAUL PACHHAWARI,3652,1882,1770,1193,757,436,48,35,13,2411,1090,1321,0,0,0,32.667031763417306,40.22316684378321,24.63276836158192
DHANAKAUL PURBA,6976,3536,3440,2371,1478,893,35,19,16,4570,2039,2531,0,0,0,33.98795871559633,41.79864253393665,25.959302325581397
DHANGADHA,6327,3340,2987,2224,1496,728,249,135,114,3848,1709,2139,6,0,6,35.15094041409831,44.790419161676645,24.372279879477738
DHUNGREKHOLA,12336,5948,6388,7026,3903,3123,327,162,165,4952,1872,3080,31,11,20,56.95525291828793,65.61869535978481,48.888541014402
DHURKAULI,8723,4211,4512,5108,2873,2235,271,136,135,3344,1202,2142,0,0,0,58.55783560701594,68.22607456661126,49.534574468085104
DUMARIYA,4115,2144,1971,2005,1182,823,124,45,79,1973,915,1058,13,2,11,48.724179829890645,55.13059701492538,41.755454084221206
FARAHADAWA,5508,2781,2727,2235,1399,836,128,65,63,3145,1317,1828,0,0,0,40.57734204793028,50.30564545127652,30.656398973230658
FULPARASI,3346,1747,1599,1606,1003,603,25,15,10,1715,729,986,0,0,0,47.9976090854752,57.41270749856897,37.71106941838649
GADAHIYABAIRI,5821,3059,2762,1920,1293,627,208,122,86,3693,1644,2049,0,0,0,32.98402336368322,42.26871526642694,22.700941346850108
GAMHARIYA,6411,3286,3125,3116,2008,1108,308,145,163,2982,1133,1849,5,0,5,48.60396194041491,61.10772976262934,35.455999999999996
GODETA,5847,3017,2830,2449,1486,963,208,112,96,3182,1414,1768,8,5,3,41.88472721053532,49.2542260523699,34.02826855123675
GOURISHANKAR,12540,6336,6204,5434,3343,2091,507,246,261,6574,2737,3837,25,10,15,43.333333333333336,52.76199494949495,33.704061895551256
HAJARIYA,14326,7121,7205,5512,3422,2090,656,295,361,8151,3402,4749,7,2,5,38.475499092558984,48.055048448251654,29.00763358778626
HARAKTHAWA,4923,2488,2435,1998,1259,739,88,39,49,2835,1190,1645,2,0,2,40.58500914076782,50.60289389067524,30.34907597535934
HARIPUR,10366,5052,5314,5741,3333,2408,387,188,199,4211,1526,2685,27,5,22,55.38298282847771,65.97387173396675,45.314264207753105
HARIPURWA,13919,7332,6587,5493,3721,1772,415,221,194,7985,3379,4606,26,11,15,39.464041957037146,50.750136388434264,26.90147259754061
HARIYON,18677,9153,9524,12006,6580,5426,877,422,455,5768,2144,3624,26,7,19,64.28227231354072,71.88899814268545,56.97186056278875
HATHIYOL,7593,4002,3591,2597,1675,922,291,148,143,4698,2177,2521,7,2,5,34.20255498485447,41.85407296351824,25.675299359509886
HEMPUR,6544,3363,3181,2223,1478,745,125,56,69,4192,1827,2365,4,2,2,33.9700488997555,43.94885518881951,23.42030807922037
ISHWORPUR,18729,9112,9617,9799,5675,4124,513,254,259,8404,3181,5223,13,2,11,52.31993165678893,62.28050921861282,42.88239575751274
JABDI,7979,3744,4235,4958,2736,2222,163,75,88,2856,933,1923,2,0,2,62.13811254543175,73.07692307692307,52.467532467532465
JAMUNIYA,6868,3404,3464,2665,1736,929,201,77,124,3997,1590,2407,5,1,4,38.80314502038439,50.99882491186839,26.818706697459582
JANAKI NAGAR,7251,3585,3666,3911,2244,1667,110,47,63,3227,1294,1933,3,0,3,53.937387946490134,62.59414225941422,45.47190398254228
JINGADAWA,3813,1987,1826,1457,980,477,78,44,34,2278,963,1315,0,0,0,38.21138211382114,49.320583794665325,26.122672508214677
KABILASI,10548,5557,4991,4626,2944,1682,273,132,141,5641,2479,3162,8,2,6,43.85665529010239,52.97822566132806,33.700661190142256
KALINJOR,4934,2473,2461,3150,1823,1327,149,53,96,1634,597,1037,1,0,1,63.84272395622214,73.71613424989891,53.9211702559935
KARMAIYA,8311,4078,4233,5282,2945,2337,79,38,41,2950,1095,1855,0,0,0,63.554325592588135,72.21677292790584,55.20907158043941
KHIRWA,10267,5389,4878,3589,2407,1182,358,178,180,6311,2803,3508,9,1,8,34.95665725138794,44.665058452403045,24.231242312423124
KHORIYA,4171,2160,2011,1945,1307,638,84,39,45,2141,813,1328,1,1,0,46.631503236633904,60.50925925925926,31.725509696668325
KHUTAUNA,4231,2114,2117,1589,1058,531,88,38,50,2553,1018,1535,1,0,1,37.5561333018199,50.047303689687794,25.082664147378363
KISANPUR,4835,2470,2365,1963,1273,690,117,60,57,2746,1133,1613,9,4,5,40.59979317476732,51.53846153846153,29.175475687103592
KAUDENA,6520,3243,3277,2619,1611,1008,349,209,140,3552,1423,2129,0,0,0,40.16871165644172,49.67622571692877,30.759841318278912
LALBANDI,13484,6526,6958,9887,5284,4603,308,144,164,3278,1094,2184,11,4,7,73.32393948383269,80.96843395648176,66.1540672607071
LAUKATH,5890,2990,2900,2339,1533,806,67,38,29,3484,1419,2065,0,0,0,39.71137521222411,51.27090301003344,27.793103448275865
LAXMIPUR KODRAHA,8377,4139,4238,3173,1956,1217,117,67,50,5085,2115,2970,2,1,1,37.87752178584219,47.257791737134575,28.716375648890985
LAXMIPUR SU.,5069,2645,2424,1792,1200,592,258,137,121,3015,1305,1710,4,3,1,35.35214046162951,45.36862003780718,24.422442244224424
MADHUBANGOTH,5252,2671,2581,2097,1317,780,91,44,47,3063,1309,1754,1,1,0,39.927646610814925,49.30737551478847,30.220844633862843
MADHUBANI,3717,1955,1762,1507,987,520,148,82,66,2062,886,1176,0,0,0,40.54344901802529,50.48593350383632,29.511918274687854
MAHINATHPUR,3157,1650,1507,1168,753,415,342,164,178,1636,728,908,11,5,6,36.997149192271145,45.63636363636363,27.538155275381555
