VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ACHALGADH,3805,1969,1836,20,12,8,24,11,13,8,8,0,3,1,2,3,3,0,3,2,1,4,2,2,0,0,0
ARNAHA,3875,2054,1821,27,13,14,28,13,15,15,8,7,0,0,0,1,0,1,3,1,2,12,6,6,13,7,6
ATROULI,6328,3039,3289,56,30,26,21,9,12,22,14,8,5,3,2,21,13,8,5,4,1,2,0,2,11,5,6
AURAHI,7090,3549,3541,30,17,13,9,6,3,13,7,6,2,1,1,9,6,3,4,1,3,0,0,0,10,5,5
BABARGANJ,11765,6041,5724,52,34,18,29,15,14,17,9,8,2,1,1,16,11,5,6,3,3,3,3,0,6,4,2
BAGDAHA,6740,3496,3244,24,19,5,11,8,3,4,2,2,0,0,0,12,5,7,2,1,1,0,0,0,0,0,0
BAHADURPUR,2002,1033,969,4,2,2,5,3,2,1,1,0,2,1,1,1,1,0,2,1,1,1,0,1,0,0,0
BALARA,7576,4010,3566,26,20,6,20,10,10,11,6,5,2,2,0,3,2,1,4,2,2,2,1,1,2,1,1
BARA UDHORAN,4913,2583,2330,35,21,14,23,11,12,12,5,7,0,0,0,12,8,4,1,0,1,2,1,1,2,0,2
BARAHATHAWA,17971,9145,8826,54,36,18,66,29,37,5,3,2,2,2,0,32,18,14,9,6,3,7,4,3,5,1,4
BASANTAPUR,12224,6217,6007,47,25,22,26,17,9,8,5,3,1,1,0,14,9,5,12,7,5,3,1,2,3,2,1
BATRAUL,4842,2508,2334,16,12,4,8,4,4,0,0,0,2,1,1,3,2,1,3,3,0,1,0,1,6,3,3
BELA,4630,2303,2327,29,19,10,8,4,4,3,2,1,0,0,0,9,5,4,2,2,0,1,1,0,1,1,0
BELHI,3515,1819,1696,18,10,8,14,10,4,1,1,0,1,0,1,2,1,1,3,3,0,0,0,0,1,0,1
BELWA JABDI,5742,2943,2799,26,16,10,10,4,6,0,0,0,2,1,1,9,5,4,5,2,3,3,1,2,1,1,0
BHADSAR,3956,2000,1956,9,7,2,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,2,2,0,1,1,0
BHAGAWATIPUR,4229,2156,2073,33,25,8,25,13,12,12,9,3,2,2,0,10,7,3,4,3,1,3,2,1,4,3,1
BHAKTIPUR,14576,7049,7527,77,47,30,29,13,16,30,17,13,5,2,3,49,25,24,14,9,5,5,2,3,9,5,4
BHAWANIPUR,3361,1658,1703,13,7,6,6,2,4,6,4,2,1,0,1,5,2,3,3,2,1,5,2,3,3,2,1
BRAHMAPURI,8253,4164,4089,132,62,70,93,47,46,22,13,9,4,3,1,23,18,5,4,1,3,1,0,1,24,17,7
CHANDRA NAGAR,8948,4518,4430,44,23,21,11,8,3,8,4,4,0,0,0,19,10,9,10,5,5,3,1,2,3,1,2
CHHATAUL,6441,3305,3136,1,1,0,6,4,2,2,2,0,0,0,0,2,1,1,1,0,1,1,1,0,4,4,0
CHHATONA,3311,1783,1528,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0
DHANAKAUL PACHHAWARI,4107,2108,1999,12,6,6,8,7,1,8,6,2,0,0,0,3,3,0,1,1,0,1,1,0,2,1,1
DHANAKAUL PURBA,7876,3975,3901,7,4,3,5,2,3,2,2,0,0,0,0,9,6,3,4,4,0,1,1,0,2,2,0
DHANGADHA,7109,3723,3386,38,25,13,11,6,5,10,7,3,1,0,1,11,5,6,9,6,3,5,5,0,6,3,3
DHUNGREKHOLA,13267,6403,6864,80,47,33,25,13,12,30,20,10,6,1,5,65,37,28,9,3,6,2,0,2,16,9,7
DHURKAULI,9399,4564,4835,33,24,9,9,4,5,29,18,11,2,0,2,50,27,23,17,9,8,9,7,2,17,11,6
DUMARIYA,4601,2390,2211,25,20,5,11,5,6,9,5,4,0,0,0,6,3,3,1,1,0,2,2,0,3,1,2
FARAHADAWA,6239,3159,3080,31,20,11,10,4,6,5,2,3,0,0,0,3,3,0,4,1,3,3,3,0,1,1,0
FULPARASI,3684,1908,1776,18,9,9,9,1,8,9,5,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
GADAHIYABAIRI,6601,3427,3174,27,22,5,11,6,5,8,5,3,2,0,2,7,4,3,2,1,1,0,0,0,5,4,1
GAMHARIYA,7291,3728,3563,27,19,8,12,4,8,1,0,1,1,1,0,14,13,1,6,4,2,2,1,1,5,3,2
GODETA,6647,3400,3247,4,3,1,6,5,1,2,0,2,2,0,2,12,9,3,3,1,2,1,1,0,3,2,1
GOURISHANKAR,13807,6977,6830,106,71,35,53,25,28,31,13,18,6,3,3,35,20,15,19,13,6,11,8,3,19,9,10
HAJARIYA,16118,8067,8051,84,55,29,42,20,22,16,7,9,5,0,5,36,25,11,15,9,6,8,4,4,12,7,5
HARAKTHAWA,5606,2849,2757,15,7,8,5,2,3,7,4,3,1,1,0,9,5,4,4,3,1,1,1,0,9,6,3
HARIPUR,11306,5513,5793,58,32,26,17,11,6,14,5,9,1,0,1,26,18,8,9,6,3,6,3,3,7,3,4
HARIPURWA,15555,8161,7394,83,43,40,75,39,36,23,13,10,5,2,3,8,7,1,15,9,6,8,8,0,26,15,11
HARIYON,20071,9862,10209,104,69,35,45,25,20,27,13,14,4,3,1,63,36,27,14,9,5,4,3,1,18,9,9
HATHIYOL,8514,4458,4056,17,12,5,7,5,2,1,1,0,5,4,1,2,2,0,5,4,1,2,1,1,7,5,2
HEMPUR,7382,3804,3578,18,11,7,7,2,5,7,4,3,1,1,0,10,6,4,7,6,1,1,1,0,1,1,0
ISHWORPUR,20797,10170,10627,80,51,29,44,23,21,20,10,10,7,2,5,42,27,15,12,6,6,9,6,3,23,9,14
JABDI,8603,4051,4552,80,43,37,19,12,7,15,9,6,2,1,1,25,12,13,8,4,4,7,6,1,12,8,4
JAMUNIYA,7762,3847,3915,27,13,14,9,5,4,4,1,3,2,1,1,17,11,6,7,3,4,4,2,2,2,0,2
JANAKI NAGAR,7986,3962,4024,34,24,10,16,9,7,8,7,1,0,0,0,22,11,11,11,6,5,1,1,0,12,7,5
JINGADAWA,4254,2215,2039,8,4,4,7,2,5,3,1,2,0,0,0,7,5,2,1,1,0,0,0,0,4,1,3
KABILASI,11876,6203,5673,35,20,15,20,8,12,3,2,1,2,1,1,11,9,2,2,1,1,4,3,1,7,5,2
KALINJOR,5292,2637,2655,23,13,10,5,3,2,15,9,6,3,2,1,18,14,4,0,0,0,17,6,11,15,10,5
KARMAIYA,9004,4429,4575,25,16,9,15,5,10,9,4,5,3,0,3,20,11,9,6,3,3,10,4,6,22,11,11
KHIRWA,11702,6090,5612,53,36,17,18,11,7,10,6,4,2,1,1,22,14,8,3,2,1,2,1,1,7,5,2
KHORIYA,4661,2392,2269,13,8,5,12,7,5,11,8,3,1,0,1,8,3,5,4,2,2,0,0,0,1,1,0
KHUTAUNA,4857,2446,2411,11,4,7,6,4,2,2,2,0,0,0,0,10,6,4,7,4,3,0,0,0,0,0,0
KISANPUR,5423,2748,2675,28,16,12,19,11,8,6,3,3,3,2,1,11,7,4,6,1,5,5,2,3,5,5,0
