VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ACHALGADH,134,74,60,721,416,305,329,205,124,108,81,27,193,128,65,76,52,24,25,24,1,3,3,0,3,2,1,3,3,0,34,20,14
ARNAHA,26,23,3,631,337,294,189,133,56,112,82,30,210,147,63,148,113,35,40,34,6,7,7,0,2,2,0,27,22,5,16,12,4
ATROULI,94,63,31,1453,729,724,704,385,319,322,185,137,296,176,120,99,55,44,24,22,2,4,3,1,0,0,0,21,14,7,6,4,2
AURAHI,9,4,5,1282,766,516,393,279,114,184,138,46,185,144,41,60,49,11,30,25,5,6,6,0,0,0,0,5,3,2,17,7,10
BABARGANJ,121,74,47,2536,1421,1115,916,618,298,467,337,130,468,350,118,209,152,57,62,52,10,11,11,0,4,2,2,152,107,45,28,15,13
BAGDAHA,59,33,26,1087,689,398,460,321,139,148,113,35,208,152,56,79,58,21,24,22,2,1,1,0,1,1,0,5,2,3,8,4,4
BAHADURPUR,0,0,0,306,169,137,132,105,27,57,52,5,30,17,13,33,22,11,10,9,1,2,2,0,0,0,0,13,11,2,0,0,0
BALARA,21,11,10,1041,606,435,528,310,218,335,218,117,433,283,150,340,227,113,193,148,45,62,48,14,1,1,0,89,39,50,270,142,128
BARA UDHORAN,45,22,23,1157,639,518,383,243,140,234,175,59,226,155,71,75,59,16,63,46,17,8,8,0,1,1,0,17,11,6,15,7,8
BARAHATHAWA,384,236,148,4060,2288,1772,1954,1173,781,1266,779,487,900,585,315,657,398,259,244,194,50,62,54,8,9,4,5,232,149,83,55,36,19
BASANTAPUR,20,12,8,2201,1398,803,664,425,239,321,243,78,321,245,76,169,127,42,40,32,8,14,14,0,2,1,1,2,1,1,25,13,12
BATRAUL,20,14,6,630,392,238,213,154,59,150,117,33,28,19,9,57,40,17,10,9,1,2,2,0,0,0,0,19,15,4,4,3,1
BELA,113,66,47,1125,643,482,382,254,128,176,126,50,171,108,63,67,45,22,13,12,1,2,2,0,1,1,0,7,4,3,16,5,11
BELHI,3,2,1,599,351,248,268,179,89,168,127,41,133,105,28,76,63,13,27,21,6,6,6,0,3,2,1,0,0,0,2,2,0
BELWA JABDI,110,56,54,1188,693,495,368,243,125,165,125,40,89,60,29,88,73,15,39,34,5,4,4,0,4,4,0,6,5,1,7,2,5
BHADSAR,19,8,11,882,491,391,307,192,115,126,88,38,196,129,67,129,100,29,41,31,10,8,6,2,3,1,2,11,5,6,1,0,1
BHAGAWATIPUR,83,45,38,824,481,343,302,218,84,132,88,44,60,44,16,67,59,8,13,10,3,1,1,0,0,0,0,10,8,2,2,2,0
BHAKTIPUR,378,216,162,3279,1809,1470,1379,853,526,627,356,271,678,417,261,288,169,119,62,46,16,17,16,1,3,2,1,95,52,43,25,13,12
BHAWANIPUR,12,6,6,501,295,206,206,140,66,111,85,26,53,34,19,17,12,5,3,3,0,2,1,1,0,0,0,1,0,1,16,8,8
BRAHMAPURI,37,23,14,1922,1104,818,431,273,158,228,157,71,345,226,119,144,103,41,46,36,10,5,5,0,34,18,16,28,16,12,204,103,101
CHANDRA NAGAR,97,45,52,1586,883,703,619,406,213,380,261,119,231,145,86,229,154,75,57,50,7,18,15,3,7,7,0,66,41,25,207,132,75
CHHATAUL,13,7,6,920,629,291,276,207,69,108,95,13,126,105,21,38,27,11,7,7,0,3,3,0,4,2,2,1,1,0,4,1,3
CHHATONA,78,47,31,444,274,170,225,131,94,129,101,28,128,85,43,84,42,42,68,50,18,11,9,2,4,3,1,0,0,0,2,1,1
DHANAKAUL PACHHAWARI,8,6,2,589,337,252,254,163,91,112,84,28,123,87,36,63,48,15,11,7,4,1,0,1,1,1,0,34,26,8,4,1,3
DHANAKAUL PURBA,57,29,28,1368,773,595,451,302,149,207,153,54,171,117,54,80,68,12,19,18,1,0,0,0,5,3,2,29,21,8,1,1,0
DHANGADHA,98,54,44,1135,690,445,506,356,150,261,192,69,195,143,52,103,84,19,58,51,7,19,17,2,2,1,1,10,3,7,7,3,4
DHUNGREKHOLA,347,183,164,3219,1747,1472,1487,833,654,779,436,343,615,332,283,351,197,154,95,63,32,15,12,3,4,3,1,223,156,67,31,12,19
DHURKAULI,120,64,56,2237,1204,1033,1158,655,503,756,445,311,433,248,185,245,156,89,87,59,28,9,8,1,3,1,2,69,35,34,50,25,25
DUMARIYA,25,16,9,838,450,388,352,195,157,303,189,114,182,124,58,183,119,64,92,66,26,33,24,9,0,0,0,1,1,0,20,9,11
FARAHADAWA,136,71,65,1317,772,545,442,297,145,175,126,49,135,101,34,78,60,18,12,9,3,5,2,3,6,5,1,2,2,0,3,1,2
