VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARESH,216,110,106,1117,606,511,148,106,42,54,38,16,35,24,11,19,16,3,4,4,0,1,1,0,0,0,0,3,1,2,8,4,4
BHABANG,142,68,74,1393,733,660,413,251,162,141,83,58,44,28,16,50,35,15,4,3,1,0,0,0,0,0,0,307,110,197,1,0,1
MIRUL,131,65,66,643,320,323,201,116,85,61,41,20,52,35,17,29,22,7,9,8,1,0,0,0,0,0,0,97,38,59,0,0,0
BUDAGAUN,136,66,70,2405,1300,1105,799,386,413,263,152,111,148,88,60,54,40,14,22,21,1,2,2,0,0,0,0,345,123,222,17,10,7
DHAWANG,127,79,48,1481,801,680,369,228,141,66,42,24,51,34,17,33,22,11,5,5,0,0,0,0,0,0,0,119,76,43,22,18,4
DUBRING,139,62,77,1491,788,703,434,215,219,144,76,68,86,55,31,29,19,10,22,17,5,0,0,0,1,1,0,273,96,177,5,3,2
DUBIDANDA,179,94,85,1431,722,709,400,210,190,96,51,45,105,52,53,33,20,13,6,4,2,0,0,0,5,3,2,29,19,10,3,2,1
ERIWANG,195,110,85,1772,900,872,536,288,248,206,123,83,77,46,31,75,49,26,20,15,5,0,0,0,4,2,2,35,14,21,18,8,10
FAGAAM,98,48,50,851,509,342,152,103,49,48,39,9,20,16,4,7,5,2,3,3,0,0,0,0,1,0,1,0,0,0,2,1,1
GAAM,140,64,76,1094,589,505,131,82,49,53,46,7,7,7,0,17,12,5,5,4,1,1,1,0,2,2,0,58,34,24,1,1,0
GAIRIGAUN,224,127,97,1393,731,662,472,216,256,161,88,73,169,91,78,61,41,20,22,22,0,0,0,0,1,0,1,470,171,299,0,0,0
GAJUL,54,33,21,1630,816,814,645,336,309,190,120,70,159,99,60,103,64,39,24,20,4,7,7,0,2,1,1,38,12,26,1,0,1
GHARTI GAUN,106,46,60,1606,830,776,382,235,147,159,86,73,45,33,12,38,30,8,8,8,0,1,1,0,5,2,3,335,137,198,3,1,2
GHODAGAUN,114,53,61,1228,604,624,328,179,149,139,79,60,75,36,39,30,13,17,28,25,3,1,1,0,6,2,4,11,5,6,1,1,0
GUMCHAL,131,61,70,1013,585,428,226,136,90,143,99,44,34,21,13,25,13,12,12,12,0,1,1,0,1,0,1,8,2,6,2,1,1
HARJANG,65,40,25,599,392,207,131,82,49,46,34,12,23,16,7,6,5,1,4,3,1,0,0,0,1,1,0,3,0,3,1,1,0
JAILWANG,101,52,49,875,478,397,243,174,69,65,50,15,35,27,8,20,17,3,5,4,1,0,0,0,6,5,1,12,5,7,4,2,2
JAIMAKASALA,45,20,25,958,551,407,220,139,81,56,35,21,36,23,13,19,13,6,8,8,0,0,0,0,3,1,2,101,48,53,24,17,7
JANGKOT,78,40,38,833,418,415,275,144,131,106,63,43,92,43,49,38,23,15,4,3,1,3,2,1,2,1,1,22,7,15,4,3,1
