VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARESH,0,140,0,266,303,7
BHABANG,1,0,2,590,200,6
MIRUL,96,3,0,276,116,3
BUDAGAUN,82,96,1,800,266,5
DHAWANG,4,19,2,545,320,4
DUBRING,75,87,1,595,171,2
DUBIDANDA,99,93,2,424,264,1
ERIWANG,412,22,0,410,157,2
FAGAAM,2,5,0,186,366,3
GAAM,23,151,0,184,429,0
GAIRIGAUN,66,13,0,580,277,2
GAJUL,568,123,1,186,166,0
GHARTI GAUN,85,21,0,679,134,2
GHODAGAUN,305,30,2,139,207,2
GUMCHAL,14,105,2,218,309,2
HARJANG,13,0,3,268,136,4
JAILWANG,93,3,0,183,229,2
JAIMAKASALA,27,33,4,252,262,2
JANGKOT,92,61,1,339,104,2
JAULIPOKHARI,6,36,1,709,179,2
JEDWANG,3,15,1,447,269,2
JHENAM,79,35,0,678,267,3
JINABANG,10,8,1,762,196,2
JUNGAR,6,20,1,756,234,2
KARETI,1,0,0,324,123,5
KHUMEL,477,75,0,7,88,1
KHUNGRI,752,48,2,10,95,3
KORCHABANG,2,4,0,621,117,3
KOTGAUN,47,24,1,629,194,0
KURELI,11,1,2,456,117,0
LIWANG,2161,65,4,197,147,33
MASINA,114,79,0,443,350,5
MIJHING,1112,178,4,116,146,5
NUWAGAUN,117,0,0,541,217,5
PACHHABANG,70,2,5,513,225,8
PAKHAPANI,1,19,0,692,298,2
PANG,317,135,1,202,208,4
RANGKOT,84,2,2,430,135,0
RANGSI,3,1,0,763,183,2
RANK,3,2,0,762,238,8
SAKHI,46,40,4,442,82,1
SERAM,0,73,1,163,137,0
SIRPA,595,95,0,114,586,3
SIURI,0,5,0,82,230,2
TALABANG,0,75,1,903,63,6
TEWANG,1,44,1,235,341,3
THABANG,559,24,0,168,184,2
UWA,57,27,0,344,307,6
BADACHAUR,486,22,46,114,397,3
HWAMA,73,3,0,446,255,7
WOT,145,18,8,558,103,0
TOTAL,9395,2180,107,20747,11127,179
