VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AATHBISDANDAGAUN,1422,14,0,4
AATHBISKOT,1584,91,2,22
ARMA,712,5,0,3
BANFIKOT,1059,14,0,2
BHALAKCHA,726,22,0,0
BIJAYASWORI,1790,108,5,19
CHHIWANG,1103,29,1,5
CHAUKHAWANG,632,1,0,0
CHUNWANG,591,13,1,4
DULI,845,3,0,3
GARAYALA,1092,19,0,5
GOTAMKOT,1349,10,0,2
GHETMA,842,15,0,5
HUKAM,473,1,0,1
JANG,569,8,1,0
JHULA,658,27,0,1
KANDA,530,5,0,8
KANKRI,979,15,0,14
KHARA,1097,15,0,1
KHOLAGAUN,1147,36,1,2
KOL,681,15,2,9
KOTJAHARI,1035,17,0,6
MAGMA,1087,5,0,2
MAHAT,917,17,0,3
MORAWANG,497,11,0,4
MURU,750,31,0,7
KHALANGA,2101,1137,28,13
NUWAKOT,1051,8,0,0
PIPAL,809,13,0,24
POKHARA,898,9,0,9
PURTIMKANDA,924,8,0,0
PWANG,345,14,0,0
PEUGHA,817,1,0,1
RANGSI,420,4,0,1
RANMAMAIKOT,763,5,0,6
RUGHA,763,41,1,0
SANKHA,1084,7,0,1
SIMLI,1024,19,0,1
SISNE,366,6,0,0
RUKUMKOT,1269,68,2,3
SYALAKHADI,813,10,1,28
SYALAPAKHA,1145,12,0,3
TAKSERA,820,9,1,72
TOTAL,39579,1918,46,294
