VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AATHBISDANDAGAUN,1160,3,2,35,101,86,50,3
AATHBISKOT,1007,1,2,15,645,18,1,10
ARMA,621,0,0,4,88,4,0,3
BANFIKOT,908,0,2,3,88,44,22,8
BHALAKCHA,625,0,2,39,80,1,0,1
BIJAYASWORI,1233,0,10,293,314,65,0,7
CHHIWANG,621,0,6,130,370,9,1,1
CHAUKHAWANG,578,0,1,4,47,3,0,0
CHUNWANG,310,1,1,17,270,9,0,1
DULI,601,2,3,3,221,16,0,5
GARAYALA,746,0,0,39,308,22,0,1
GOTAMKOT,885,0,3,262,118,83,0,10
GHETMA,531,1,2,57,235,31,0,5
HUKAM,92,3,1,12,309,55,0,3
JANG,267,0,2,10,187,110,0,2
JHULA,409,0,0,20,251,2,3,1
KANDA,525,1,0,5,8,1,0,3
KANKRI,706,2,2,39,211,43,0,5
KHARA,698,0,1,124,272,17,1,0
KHOLAGAUN,630,0,1,40,505,4,0,6
KOL,692,0,0,4,1,8,0,2
KOTJAHARI,672,2,12,65,300,5,0,2
MAGMA,686,2,0,11,347,45,0,3
MAHAT,778,0,1,32,92,32,0,2
MORAWANG,411,0,0,7,68,22,0,4
MURU,746,0,1,18,22,1,0,0
KHALANGA,3150,3,2,10,110,4,0,0
NUWAKOT,486,1,25,73,454,15,0,5
PIPAL,705,0,0,13,114,13,0,1
POKHARA,897,1,0,0,3,14,0,1
PURTIMKANDA,798,0,74,10,45,2,0,3
PWANG,329,0,0,1,13,15,0,1
PEUGHA,323,0,29,124,326,8,8,1
RANGSI,366,0,0,0,53,6,0,0
RANMAMAIKOT,575,1,0,7,180,10,0,1
RUGHA,657,0,0,0,130,14,0,4
SANKHA,1019,0,0,12,39,20,0,2
SIMLI,787,0,0,108,142,1,1,5
SISNE,325,0,0,2,42,3,0,0
RUKUMKOT,1040,0,0,9,227,64,1,1
SYALAKHADI,312,2,6,99,301,129,0,3
SYALAPAKHA,1035,2,2,11,69,40,0,1
TAKSERA,817,1,9,46,2,27,0,0
TOTAL,30759,29,202,1813,7708,1121,88,117
