VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AATHBISDANDAGAUN,657,777,752,2,3,0,0,5,109,0,0,1,0,1,6
AATHBISKOT,752,921,770,4,2,2,0,1,446,0,0,0,1,0,26
ARMA,215,498,437,3,0,0,0,0,266,0,0,2,0,0,7
BANFIKOT,182,865,824,90,6,1,0,12,287,1,1,0,0,7,28
BHALAKCHA,157,587,429,10,3,0,0,9,402,0,0,0,0,3,4
BIJAYASWORI,452,1432,1163,86,19,12,2,1,1077,0,10,12,0,1,38
CHHIWANG,355,782,625,59,1,2,0,6,530,0,1,3,0,0,1
CHAUKHAWANG,212,417,382,2,0,0,0,1,147,0,0,0,0,0,4
CHUNWANG,100,505,442,28,3,2,1,5,296,0,0,1,0,0,4
DULI,341,504,437,1,0,0,0,1,278,0,0,1,0,0,6
GARAYALA,392,721,638,4,1,1,0,1,439,0,0,0,0,0,3
GOTAMKOT,634,701,627,5,0,1,0,2,191,0,0,1,1,0,26
GHETMA,285,571,508,19,0,5,0,6,213,0,2,0,0,0,6
HUKAM,125,344,317,0,0,1,0,1,141,0,0,0,0,0,6
JANG,112,444,437,11,1,2,2,5,85,0,0,0,0,0,22
JHULA,143,530,464,3,0,3,0,20,253,0,0,0,0,1,13
KANDA,162,367,299,15,0,1,0,1,194,0,0,0,2,0,14
KANKRI,448,489,346,4,0,2,0,9,309,1,1,0,0,2,71
KHARA,296,790,676,9,1,6,0,3,476,0,2,0,0,3,27
KHOLAGAUN,199,917,793,10,0,2,0,13,489,0,1,1,1,0,70
KOL,439,252,213,8,2,0,0,4,115,0,0,0,0,0,16
KOTJAHARI,222,825,729,38,12,4,0,13,457,1,1,4,0,0,11
MAGMA,424,669,579,4,1,0,0,8,313,2,0,0,0,0,1
MAHAT,290,629,434,3,1,1,0,7,421,0,0,1,0,0,18
MORAWANG,195,312,251,6,0,2,0,5,183,0,0,0,0,0,5
MURU,127,660,596,13,0,3,0,9,410,0,1,1,1,0,1
KHALANGA,510,2747,1895,646,843,210,64,181,2034,15,59,20,4,55,22
NUWAKOT,276,777,684,4,0,2,0,6,442,0,0,1,0,0,6
PIPAL,133,644,568,27,0,1,0,3,337,0,0,0,0,0,69
POKHARA,236,676,606,59,7,1,0,5,312,0,2,1,0,0,4
PURTIMKANDA,218,703,583,3,0,0,0,0,367,0,1,0,0,0,11
PWANG,51,306,277,11,0,0,0,1,156,0,0,0,0,0,2
PEUGHA,133,648,598,5,3,0,0,3,285,0,0,0,0,0,38
RANGSI,221,204,176,8,0,0,0,26,146,0,0,0,0,0,0
RANMAMAIKOT,493,256,186,27,6,1,0,16,102,0,0,0,0,1,25
RUGHA,191,580,420,19,6,1,0,28,443,1,5,4,0,2,34
SANKHA,143,916,789,39,6,5,0,12,582,0,0,0,0,0,33
SIMLI,171,825,727,5,2,4,0,1,396,0,0,0,0,0,48
SISNE,156,215,175,3,1,0,0,1,81,0,1,0,0,0,1
RUKUMKOT,259,1029,877,152,87,10,2,77,664,0,3,1,1,0,54
SYALAKHADI,433,412,377,8,0,1,0,5,119,0,0,1,1,0,7
SYALAPAKHA,226,897,823,31,3,5,0,5,338,1,0,0,0,0,37
TAKSERA,472,416,374,11,5,0,0,16,113,0,0,4,3,0,14
