VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AANGNA,685,755,562,575,115,177,8,3
AANGSARANG,1081,1266,872,973,197,285,12,8
AARUBOTE,755,859,625,695,125,155,5,9
AMARPUR,1269,1443,944,1028,297,383,28,32
BHARAPA,1349,1582,1022,1130,323,444,4,8
CHILINGDIN,759,790,595,620,159,161,5,9
CHOKMAGU,773,849,639,672,134,176,0,1
CHYANGTHAPU,439,516,346,363,90,151,3,2
DURDIMBA,658,655,528,474,129,179,1,2
EKTEEN,1034,1197,783,873,247,319,4,5
EMBUNG,439,493,359,379,78,112,2,2
PHALAINCHA,703,716,549,537,154,178,0,1
HANGUM,648,660,514,502,134,152,0,6
KURUMBA,687,812,519,592,164,215,4,5
LIMBA,839,972,646,726,189,241,4,5
LUNGRUPA,1178,1310,826,828,334,464,18,18
LUMPHABUNG,516,515,304,329,206,184,6,2
MANGJABUNG,772,918,613,720,156,195,3,3
MAUWA,968,1138,711,788,257,350,0,0
MEMENG,976,1090,720,781,255,307,1,2
NAGI,807,863,619,635,177,223,11,5
NANGEEN,1365,1566,1097,1182,268,380,0,4
NAWAMIDANDA,766,898,619,654,140,237,7,7
OLANE,554,588,444,443,108,143,2,2
OYAM,821,857,660,666,157,188,4,3
PANCHAMI,889,1011,670,730,210,263,9,18
PAUWA SARTAP,892,1015,713,740,177,272,2,3
PHAKTEP,823,863,664,678,155,181,4,4
PHIDIM,3327,3428,2642,2587,670,817,15,24
PRANGBUNG,915,982,704,730,208,247,3,5
RABI,807,864,628,678,178,181,1,5
RANI GAUN,998,1108,792,795,205,309,1,4
RANITAR,1494,1623,1174,1159,318,456,2,8
SARANG DANDA,1141,1245,965,971,175,273,1,1
SIDIN,1033,1161,736,830,291,327,6,4
SIWA,721,829,564,601,153,228,4,0
SUBHANG,954,1001,722,708,231,292,1,1
SYABRUMBA,634,741,491,530,140,207,3,4
THARPU,917,913,755,683,159,225,3,5
YANGANAM,1180,1335,937,956,211,345,32,34
YASOK,771,855,623,659,142,188,6,8
INSTITUTIONAL,277,24,32,17,244,7,1,0
