VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AANGNA,664,7,0,2
AANGSARANG,1112,31,3,13
AARUBOTE,739,38,0,13
AMARPUR,1119,168,9,38
BHARAPA,1334,100,1,7
CHILINGDIN,762,35,1,1
CHOKMAGU,781,23,1,2
CHYANGTHAPU,406,70,1,17
DURDIMBA,657,22,0,6
EKTEEN,1114,53,5,18
EMBUNG,466,15,2,2
PHALAINCHA,554,89,1,8
HANGUM,588,5,0,15
KURUMBA,788,44,1,10
LIMBA,863,52,0,19
LUNGRUPA,1058,29,0,3
LUMPHABUNG,507,14,2,4
MANGJABUNG,754,15,0,2
MAUWA,920,45,2,4
MEMENG,970,13,0,1
NAGI,762,64,0,37
NANGEEN,1314,65,0,9
NAWAMIDANDA,822,28,1,7
OLANE,533,11,1,18
OYAM,694,38,8,26
PANCHAMI,884,118,2,24
PAUWA SARTAP,842,87,6,4
PHAKTEP,858,61,0,3
PHIDIM,2260,1851,137,43
PRANGBUNG,870,16,0,7
RABI,812,165,11,11
RANI GAUN,993,71,0,4
RANITAR,1412,70,17,1
SARANG DANDA,1208,67,2,22
SIDIN,806,71,1,7
SIWA,732,22,0,5
SUBHANG,867,71,1,49
SYABRUMBA,686,18,0,10
THARPU,887,122,5,22
YANGANAM,1175,31,7,19
YASOK,840,101,2,4
TOTAL,36413,4016,230,517
