VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AANGNA,121,552,508,35,0,0,0,0,332,0,5,0,0,0,0
AANGSARANG,175,971,779,125,6,3,0,5,668,0,12,0,0,0,13
AARUBOTE,188,584,451,89,4,5,0,2,374,1,8,1,0,0,18
AMARPUR,223,1110,1012,95,33,12,0,65,690,3,10,4,0,0,1
BHARAPA,269,1173,897,78,6,1,0,10,978,1,7,2,1,0,0
CHILINGDIN,172,627,461,168,23,9,2,9,504,2,8,1,0,0,0
CHOKMAGU,102,601,498,61,1,3,1,1,480,0,5,0,0,0,104
CHYANGTHAPU,123,370,291,62,22,6,2,6,256,0,1,1,0,0,1
DURDIMBA,143,542,448,33,2,2,1,7,445,1,2,0,0,0,0
EKTEEN,143,1046,935,51,3,1,0,6,650,2,3,1,1,0,1
EMBUNG,127,358,331,48,9,2,0,1,248,0,3,0,0,0,0
PHALAINCHA,208,444,324,73,1,3,0,12,322,0,0,1,0,0,0
HANGUM,128,480,373,54,0,2,0,2,347,0,8,0,0,0,0
KURUMBA,269,574,466,102,12,2,0,3,383,0,10,1,0,0,0
LIMBA,197,737,610,117,9,2,0,13,561,2,16,13,0,0,0
LUNGRUPA,237,853,725,26,1,1,0,5,541,0,2,0,1,0,0
LUMPHABUNG,164,362,282,9,1,5,1,2,242,0,4,0,0,0,1
MANGJABUNG,263,508,367,32,1,1,0,10,325,0,1,0,0,0,0
MAUWA,260,711,602,100,6,4,0,13,525,2,14,0,0,0,0
MEMENG,213,770,640,26,1,1,0,4,460,0,1,3,0,0,1
NAGI,136,714,605,81,6,6,1,89,558,1,7,2,1,0,13
NANGEEN,244,1144,908,143,25,5,0,8,859,6,11,1,6,0,0
NAWAMIDANDA,120,732,619,108,1,3,5,0,585,0,27,1,0,0,6
OLANE,151,405,351,42,0,4,0,6,286,0,9,1,0,0,7
OYAM,203,563,443,68,13,4,0,34,391,0,0,0,3,0,0
PANCHAMI,202,823,716,108,3,1,3,40,567,0,0,0,1,0,3
PAUWA SARTAP,143,796,621,253,52,25,4,19,688,6,20,6,1,0,0
PHAKTEP,250,672,439,110,16,6,0,6,590,1,7,2,0,0,0
PHIDIM,402,3888,2530,1052,1477,418,205,366,3447,47,210,31,17,192,1
PRANGBUNG,174,719,695,9,0,2,0,14,263,0,0,0,0,0,0
RABI,157,836,712,266,9,6,3,14,627,1,34,0,0,0,6
RANI GAUN,124,944,813,195,7,9,1,3,812,1,10,3,1,3,0
RANITAR,427,1073,939,92,16,5,1,6,683,0,6,2,3,0,0
SARANG DANDA,267,1032,875,180,8,9,0,16,842,6,47,4,1,0,0
SIDIN,295,549,447,19,1,1,0,3,342,0,4,1,0,0,41
SIWA,193,566,486,67,2,2,0,3,476,0,3,0,0,0,0
SUBHANG,170,813,675,56,3,5,0,27,606,1,2,1,1,0,5
SYABRUMBA,153,561,448,103,5,1,0,3,445,1,5,1,1,0,0
THARPU,209,826,589,156,34,14,0,87,652,0,8,0,1,0,1
YANGANAM,301,922,651,92,9,12,2,11,681,1,4,1,0,0,9
YASOK,166,779,691,184,30,20,3,9,633,0,15,0,0,2,2
