VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AMARPATTI,147,43,11,148,157,2
AMLEKHGANJ,38,615,16,669,1,31
AMRITGANG,810,275,13,213,150,5
AMAB,4,68,349,502,5,0
BABUAIN,19,110,33,365,1,10
BACHHANPURWA,40,132,171,519,43,2
BADAKI FULBARIYA,251,142,20,361,115,15
BAGAHI,86,49,0,106,198,12
BAHUARI,5,503,4,127,0,7
BALIRAMPUR,43,355,99,499,11,7
BAGHAWAN,70,255,15,416,1,4
BANJARIYA,26,127,4,590,0,88
BARAINIYA,86,209,5,423,1,11
BARIYARPUR,19,422,194,1105,36,9
BASATPUR,67,247,14,676,0,23
BATARA,26,115,14,358,31,2
BELDARI,323,97,1,169,42,4
BENAULI,288,91,21,307,25,14
BHAGWANPUR,72,126,7,534,0,12
BHALUHI BHARBALIYA,47,282,7,649,0,3
BHARATGANJ SIGAUL,27,32,2,1011,0,25
BHATAUDA,36,303,13,531,1,27
BHODAHA,2,71,89,859,0,10
BISHRAMPUR,32,335,45,441,50,9
BISHUNPUR,257,74,5,129,57,5
BISHUNPURWA,8,140,93,518,65,15
BUNIYAD,13,276,6,465,2,20
CHHATA PIPRA,12,173,193,665,21,1
CHHATAWA,90,230,8,441,0,2
DAHIYAR,37,404,37,649,5,2
DEWAPUR,229,75,61,244,20,13
DHARMA NAGAR,128,258,3,272,100,9
DOHARI,4,153,30,504,0,9
DUMARWANA,355,1068,95,2830,26,42
FATTEPUR,20,252,179,1038,1,14
GADHAHAL,5,184,16,327,12,1
GANJ BHAWANIPUR,102,457,18,296,0,37
GOLAGANJ,358,131,9,218,4,9
HARAIYA,171,284,44,1205,2,8
HARDIYA,302,50,3,188,191,5
HARIHARPUR,387,80,4,328,0,5
INARWAMAL,252,234,64,420,88,12
INARWASIRA,26,248,72,1250,0,11
ITIYAHI,27,378,1,455,106,10
JHITAKAIYA(DAKSHIN),125,159,16,745,1,135
JHITAKAIYA(UTTAR),26,153,17,753,5,10
JITPUR BHAWANIPUR,75,1509,421,1662,8,46
KABAHIGOTH,175,54,21,540,71,66
KABAHIJABDI,71,142,6,411,12,3
KACHORWA,752,212,11,519,112,8
KAKADI,10,126,121,435,2,6
KALAIYA MUNICIPALITY,564,3946,355,1746,56,180
KARAIYA,6,83,63,674,0,17
KHOPAWA,29,126,114,401,91,3
KHUTWAJABDI,100,220,3,383,3,8
KOLHABI,58,177,385,640,1,11
KUDAWA,178,69,2,266,56,7
LAXMIPUR KOTWALI,219,115,6,302,151,5
LIPANIMAL,29,638,9,429,1,9
MADHURIJABDI,7,127,3,334,0,7
MAHENDRA ADARSHA,212,157,6,299,102,3
MAHESHPUR,76,244,43,995,4,9
MAJHARIYA,129,34,5,294,191,4
MANAHARWA,91,349,62,1307,9,12
MATIARWA,55,129,3,712,0,2
MOTISAR,76,304,9,356,4,9
NARAHI,26,134,46,507,0,22
NIJGADH,518,898,126,2370,41,29
PAKADIYA CHIKANI,490,64,3,98,12,5
PAPARPATI JABDI,9,71,0,357,1,3
PATERWA,246,111,6,158,88,8
PATHARHATI,9,88,4,529,1,2
PATHERA,10,126,60,501,75,1
PHETA,261,533,15,155,41,1
PIPARA SIMARA,226,3212,482,1242,11,80
PIPARABIRTA,300,59,9,182,3,4
PIPARPATI PARCHROUWA,352,179,7,86,112,5
PIPRA BASANTAPUR,13,121,131,408,14,3
PIPRADHI GOTH,61,142,23,466,2,4
PRASAUNI,56,687,0,485,3,1
PRASAUNA,9,38,178,489,1,3
PRASTOKA,62,443,18,802,26,33
PRASURAMPUR,174,139,14,450,171,5
PURAINIYA,216,320,1,290,20,7
RAGHUNATHPUR,353,135,1,232,0,0
RAMPUR TOKANI,49,367,99,497,2,30
RAMPURWA,27,199,93,505,0,4
RATANPURI,140,100,8,1826,0,9
RAUWAHI,13,76,12,388,26,6
SAPAHI,11,249,133,1382,37,26
SHREENAGAR BAIRIYA,237,110,1,239,85,6
SIHORWA,28,72,60,529,9,0
SINHASANI,2,166,205,427,44,8
SISAHANIYA,135,251,1,93,0,0
TEDHAKATTI,18,75,51,546,0,6
TELKUWA,86,153,17,519,12,25
TETARIYA,6,45,79,398,0,4
UCHIDIHA,181,137,20,168,201,1
UMARJAN,4,62,228,668,1,9
TOTAL,12738,28788,5900,56215,3487,1472
