VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AMARPATTI,83,59,13,171,129,51,2
AMLEKHGANJ,30,572,663,67,0,6,32
AMRITGANG,575,285,35,472,18,75,6
AMAB,9,127,2,778,3,9,0
BABUAIN,24,128,150,226,0,0,10
BACHHANPURWA,11,192,3,650,25,24,2
BADAKI FULBARIYA,165,179,23,397,11,113,16
BAGAHI,69,43,4,117,11,195,12
BAHUARI,11,501,8,117,2,0,7
BALIRAMPUR,39,409,8,548,1,2,7
BAGHAWAN,9,312,12,424,0,0,4
BANJARIYA,6,146,2,592,0,1,88
BARAINIYA,14,274,8,413,3,0,23
BARIYARPUR,21,617,8,1123,4,3,9
BASATPUR,62,250,19,656,0,15,25
BATARA,20,125,8,389,1,1,2
BELDARI,305,105,3,183,3,32,5
BENAULI,101,105,4,496,1,25,14
BHAGWANPUR,52,113,9,564,1,0,12
BHALUHI BHARBALIYA,43,286,13,640,2,0,4
BHARATGANJ SIGAUL,22,52,995,3,0,0,25
BHATAUDA,39,307,138,398,2,0,27
BHODAHA,3,108,7,890,1,12,10
BISHRAMPUR,24,379,10,421,1,68,9
BISHUNPUR,206,84,2,193,21,16,5
BISHUNPURWA,7,146,3,667,1,0,15
BUNIYAD,8,265,55,432,2,0,20
CHHATA PIPRA,9,352,85,607,1,10,1
CHHATAWA,87,233,3,445,1,0,2
DAHIYAR,13,464,0,655,0,0,2
DEWAPUR,194,143,26,263,1,0,15
DHARMA NAGAR,100,276,2,304,2,77,9
DOHARI,3,173,1,514,0,0,9
DUMARWANA,397,1117,1583,1254,3,20,42
FATTEPUR,49,325,51,1062,2,0,15
GADHAHAL,8,186,66,280,0,2,3
GANJ BHAWANIPUR,37,489,11,334,1,0,38
GOLAGANJ,318,145,3,245,5,4,9
HARAIYA,63,296,80,1265,1,1,8
HARDIYA,243,83,3,187,30,188,5
HARIHARPUR,448,86,2,224,39,0,5
INARWAMAL,195,137,11,635,4,73,15
INARWASIRA,14,242,58,1280,1,0,12
ITIYAHI,34,370,29,493,0,41,10
JHITAKAIYA(DAKSHIN),112,168,3,753,8,0,137
JHITAKAIYA(UTTAR),21,156,6,769,2,0,10
JITPUR BHAWANIPUR,81,1898,33,1510,2,147,50
KABAHIGOTH,186,78,11,463,19,63,107
KABAHIJABDI,54,145,95,319,4,25,3
KACHORWA,584,264,34,642,81,1,8
KAKADI,16,138,149,390,1,0,6
KALAIYA MUNICIPALITY,385,4271,85,1884,31,1,190
KARAIYA,17,104,80,622,2,1,17
KHOPAWA,21,114,2,451,52,121,3
KHUTWAJABDI,95,228,9,377,0,0,8
KOLHABI,8,360,27,866,0,0,11
KUDAWA,145,76,4,291,0,55,7
LAXMIPUR KOTWALI,190,102,11,382,3,102,8
LIPANIMAL,28,647,1,428,0,1,10
MADHURIJABDI,1,114,46,308,2,0,7
MAHENDRA ADARSHA,144,142,6,483,0,1,3
MAHESHPUR,173,318,3,866,2,0,9
MAJHARIYA,95,50,1,278,80,149,4
MANAHARWA,107,381,194,1128,0,8,12
MATIARWA,37,129,0,733,0,0,2
MOTISAR,46,336,3,362,1,1,9
NARAHI,18,153,35,490,16,1,22
NIJGADH,658,1125,1918,223,3,24,31
PAKADIYA CHIKANI,189,83,10,368,15,2,5
PAPARPATI JABDI,10,74,1,353,0,0,3
PATERWA,68,131,7,399,0,4,8
PATHARHATI,9,92,1,526,2,1,2
PATHERA,6,128,4,541,13,80,1
PHETA,272,518,10,200,4,0,2
PIPARA SIMARA,181,3661,494,711,6,119,81
PIPARABIRTA,201,65,2,231,53,1,4
PIPARPATI PARCHROUWA,265,205,31,224,10,1,5
PIPRA BASANTAPUR,12,137,3,404,2,128,4
PIPRADHI GOTH,58,162,4,469,1,0,4
PRASAUNI,32,691,3,504,1,0,1
PRASAUNA,10,75,6,624,0,0,3
PRASTOKA,60,483,24,744,2,19,52
PRASURAMPUR,76,138,18,582,3,131,5
PURAINIYA,182,322,8,327,1,7,7
RAGHUNATHPUR,346,142,2,231,0,0,0
RAMPUR TOKANI,40,478,22,365,3,4,132
RAMPURWA,27,151,25,621,0,0,4
RATANPURI,201,154,1582,136,0,1,9
RAUWAHI,6,93,1,415,0,0,6
SAPAHI,37,249,350,1173,0,2,27
SHREENAGAR BAIRIYA,192,116,6,330,2,26,6
SIHORWA,29,91,6,564,2,6,0
SINHASANI,3,125,1,678,5,32,8
SISAHANIYA,140,252,0,87,1,0,0
TEDHAKATTI,18,77,9,586,0,0,6
TELKUWA,84,155,5,537,6,0,25
TETARIYA,14,79,69,366,0,0,4
UCHIDIHA,142,159,9,235,6,156,1
UMARJAN,11,95,2,837,7,10,10
TOTAL,10313,32164,9690,51460,788,2495,1690
