VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AWAL PARAJUL,431,2,3,39,271,9,0,11
BADABHAIRAB,390,0,7,3,116,3,0,0
BADAKHOLA,380,0,18,62,123,3,1,1
BADALAMJI,77,0,18,176,880,4,3,6
BALUWATAR,393,1,1,41,135,15,2,14
BANSI,343,0,6,199,181,47,1,8
BARAHA,449,0,2,17,168,53,23,7
BELPATA,330,0,1,0,234,1,0,4
BHAWANI,273,0,0,22,93,3,0,2
BINDHYABASINI,358,0,33,75,107,1,0,3
BISALLA,626,0,1,11,547,6,0,4
CHAMUNDA,847,1,77,252,840,32,0,15
CHAURATHA,403,0,9,0,108,0,0,6
DADA PARAJUL,589,4,35,105,257,4,0,7
DULLU,287,2,4,56,493,0,3,5
GAMAUDI,196,0,2,95,370,0,2,3
GAURI,294,1,0,27,219,2,0,2
GOGANPANI,561,0,0,27,20,6,39,4
JAGANATH,339,0,0,7,153,1,0,4
JAMBUKANDH,497,1,8,355,330,1,1,2
KAL BHAIRAB,452,2,0,128,284,5,0,8
KALIKA,303,0,0,66,37,10,0,0
KASIKANDH,362,0,5,85,330,23,1,3
KATTI,653,0,0,39,217,5,0,5
KHADGABADA,758,0,0,1,221,1,0,6
KHARIGAIRA,361,1,63,212,182,3,0,4
KUSAPANI,391,0,3,236,292,42,0,4
LAKANDRA,621,2,0,40,374,2,0,10
LANKURI,552,2,25,17,107,0,0,4
LALIKANDA,537,1,1,66,74,34,54,3
LAYATI BINDRASAINI,269,1,223,236,631,10,1,4
BHAIRI KALIKATHUM,111,4,1,490,438,1,3,6
MALIKA,444,0,2,112,483,8,0,12
MEHELTOLI,402,1,2,13,39,0,0,2
NARAYAN MUNICIPALITY,3031,3,63,484,1035,21,3,38
NAULE KATUWAL,348,0,0,18,397,68,0,4
NEPA,322,0,0,39,653,1,0,0
NAUMULE,301,0,0,2,29,2,0,0
DWARI,343,0,1,63,37,25,0,9
PADUKASTHAN,201,0,0,239,623,1,1,0
PAGNATH,378,0,1,9,107,7,0,3
PILADI,443,2,0,12,16,9,17,5
PIPALKOT,111,2,1,18,364,44,0,4
CHHIUDI PUSAKOT,255,1,0,78,574,2,0,22
RAKAM KARNALI,256,0,0,41,126,130,0,3
RANIBAN,265,0,22,71,366,16,0,7
RAWATKOT,71,0,273,233,459,6,0,3
RUMA,279,2,10,85,64,12,1,0
SALLERI,471,0,1,24,148,42,0,3
SATTALA,675,0,10,33,153,22,0,2
SERI,282,1,1,33,120,0,21,1
SIGAUDI,585,0,1,173,277,65,1,2
SINHASAIN,846,0,14,53,262,11,0,7
TILEPATA,408,0,0,86,452,17,0,8
TOLI,509,2,29,9,90,22,0,2
TOLIJAISI,678,0,1,23,353,1,0,27
TOTAL,25337,39,978,5136,16059,859,178,329
