VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AWAL PARAJUL,195,0,0,221,339,11
BADABHAIRAB,1,5,2,330,181,0
BADAKHOLA,15,115,2,275,180,1
BADALAMJI,4,41,0,546,568,5
BALUWATAR,201,4,3,165,215,14
BANSI,6,0,0,342,430,7
BARAHA,54,2,0,324,332,7
BELPATA,464,67,0,4,31,4
BHAWANI,62,10,0,76,243,2
BINDHYABASINI,1,21,0,431,121,3
BISALLA,1,0,3,331,856,4
CHAMUNDA,11,212,11,914,900,16
CHAURATHA,0,2,0,257,261,6
DADA PARAJUL,446,7,2,202,337,7
DULLU,210,27,5,253,348,7
GAMAUDI,149,130,0,147,239,3
GAURI,151,5,1,97,289,2
GOGANPANI,71,4,0,227,351,4
JAGANATH,0,2,2,358,138,4
JAMBUKANDH,3,0,0,381,809,2
KAL BHAIRAB,451,178,1,59,182,8
KALIKA,0,59,0,256,101,0
KASIKANDH,0,0,1,338,467,3
KATTI,7,5,0,654,248,5
KHADGABADA,59,29,1,383,509,6
KHARIGAIRA,86,17,2,516,200,5
KUSAPANI,2,51,1,440,470,4
LAKANDRA,5,1,0,308,725,10
LANKURI,49,24,1,405,224,4
LALIKANDA,9,4,1,457,296,3
LAYATI BINDRASAINI,2,13,1,514,840,5
BHAIRI KALIKATHUM,1,1,0,498,548,6
MALIKA,19,2,0,373,655,12
MEHELTOLI,325,1,0,99,32,2
NARAYAN MUNICIPALITY,2706,722,2,344,866,38
NAULE KATUWAL,2,0,0,363,467,3
NEPA,3,2,0,386,624,0
NAUMULE,15,0,0,117,202,0
DWARI,13,42,0,205,209,9
PADUKASTHAN,3,11,0,279,772,0
PAGNATH,22,35,3,346,96,3
PILADI,5,12,1,356,125,5
PIPALKOT,10,1,0,177,352,4
CHHIUDI PUSAKOT,25,8,0,564,312,23
RAKAM KARNALI,279,0,0,140,133,4
RANIBAN,146,5,0,303,286,7
RAWATKOT,1,50,0,458,533,3
RUMA,154,9,1,170,119,0
SALLERI,1,3,0,375,307,3
SATTALA,1,0,0,364,528,2
SERI,45,74,2,301,36,1
SIGAUDI,5,3,0,498,596,2
SINHASAIN,2,0,2,526,656,7
TILEPATA,7,0,0,346,610,8
TOLI,133,5,0,215,308,2
TOLIJAISI,0,1,0,325,730,27
TOTAL,6638,2022,51,18339,21532,333
