VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AGRAGAUN,144,70,74,701,364,337,301,157,144,133,77,56,114,68,46,34,21,13,7,7,0,0,0,0,0,0,0,88,37,51,0,0,0
AWALCHING,146,86,60,649,354,295,290,154,136,130,76,54,102,65,37,32,22,10,12,9,3,3,2,1,0,0,0,56,15,41,2,2,0
BABIYACHAUR,330,172,158,2540,1330,1210,1237,681,556,411,235,176,271,158,113,103,76,27,32,23,9,8,8,0,6,4,2,439,156,283,13,4,9
BAJEDICHAUR,81,44,37,1151,556,595,564,279,285,273,153,120,274,139,135,71,53,18,27,21,6,4,4,0,1,1,0,16,11,5,72,27,45
BETAN,101,55,46,861,479,382,354,227,127,122,86,36,75,58,17,18,14,4,3,3,0,0,0,0,3,2,1,150,74,76,5,3,2
BIDYAPUR,470,188,282,1934,1017,917,987,546,441,540,316,224,189,104,85,149,104,45,46,37,9,22,15,7,4,3,1,214,54,160,114,56,58
BIJAURA,236,124,112,1782,935,847,674,418,256,254,176,78,200,137,63,66,46,20,11,8,3,7,7,0,1,0,1,203,89,114,8,2,6
BIRENDRANAGAR MUNICIPALITY,1380,747,633,11186,5842,5344,7271,3672,3599,4483,2278,2205,5059,2818,2241,3383,1899,1484,1493,995,498,528,427,101,38,21,17,1534,521,1013,92,40,52
CHAPRE,126,69,57,1014,549,465,403,241,162,134,87,47,75,59,16,27,20,7,6,5,1,1,1,0,0,0,0,116,69,47,0,0,0
CHHINCHU,325,176,149,4404,2265,2139,2438,1234,1204,1157,599,558,608,314,294,279,158,121,78,58,20,15,13,2,14,10,4,493,159,334,28,9,19
