VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AGRAGAUN,0,4,0,188,317,0
AWALCHING,0,6,0,89,284,7
BABIYACHAUR,29,1,8,460,1127,7
BAJEDICHAUR,2,18,1,325,515,4
BETAN,1,0,0,129,377,6
BIDYAPUR,34,10,4,600,646,16
BIJAURA,0,1,0,305,727,3
BIRENDRANAGAR MUNICIPALITY,11195,445,39,21,249,80
CHAPRE,1,0,1,161,443,11
CHHINCHU,1809,135,12,62,924,14
DAHACHAUR,394,90,1,4,191,2
DANDAKHALI,4,8,0,188,340,1
DASARATHPUR,822,26,3,29,326,15
DHARAPANI,1,2,0,148,396,5
GADI BAYALKADA,287,88,2,53,254,1
GARPAN,139,23,1,80,171,1
GHAT GAUN,1,1,1,157,781,11
GHORETA,1,4,0,269,250,6
GHUMKHAHARE,332,38,1,26,608,5
GUMI,1096,174,12,29,264,10
GUTHU,159,14,9,378,843,19
HARIHARPUR,7,99,3,194,645,6
JARBUTA,1475,154,1,13,188,6
KAFALKOT,1,0,0,159,419,5
KALYAN,836,99,1,21,308,6
KAPRICHAUR,3,4,0,165,417,9
KHANIKHOLLA,11,6,3,194,451,2
KUNATHARI,4,3,5,762,865,1
LAGAAM,4,2,1,125,546,7
LATIKOILI,3796,167,25,61,251,30
LEKHFARSA,741,87,6,123,338,6
LEKHGAUN,51,27,10,306,585,10
LEKHPARAJUL,7,27,3,616,983,13
MAINTADA,850,32,6,182,1544,8
MALARANI,253,6,1,144,679,9
MATELA,0,3,1,227,787,3
MEHELKUNA,726,85,14,307,1168,8
NETA,1,94,0,193,354,5
PAMKA,3,4,0,106,276,0
POKHARIKANDA,0,98,0,244,511,7
RAJENA,0,2,1,142,405,6
RAKAM,1,1,1,313,480,4
RAMGHAT,1037,130,8,138,281,4
RANIBAS,2,0,0,238,328,3
RATU,3,1,0,139,189,1
SAHARE,797,429,11,131,963,12
SALKOT,10,7,8,520,1077,14
SATAKHANI,1164,72,2,47,604,17
TARANGA,1,13,0,176,813,2
TATOPANI,12,12,3,253,825,4
UTTARGANGA,3613,203,13,12,213,27
TOTAL,31716,2955,222,9952,27526,459
