VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AGRAGAUN,500,9,0,0
AWALCHING,380,4,1,1
BABIYACHAUR,1578,21,0,33
BAJEDICHAUR,852,6,0,7
BETAN,509,2,0,2
BIDYAPUR,1260,17,2,31
BIJAURA,1013,17,2,4
BIRENDRANAGAR MUNICIPALITY,8398,3285,103,243
CHAPRE,615,2,0,0
CHHINCHU,2706,228,3,19
DAHACHAUR,663,3,0,16
DANDAKHALI,537,1,0,3
DASARATHPUR,1013,195,1,12
DHARAPANI,541,8,1,2
GADI BAYALKADA,668,12,0,5
GARPAN,392,6,1,16
GHAT GAUN,939,6,2,5
GHORETA,520,8,1,1
GHUMKHAHARE,1002,4,0,4
GUMI,1471,91,3,20
GUTHU,1382,31,1,8
HARIHARPUR,922,19,1,12
JARBUTA,1735,52,1,49
KAFALKOT,580,1,0,3
KALYAN,1229,32,1,9
KAPRICHAUR,592,6,0,0
KHANIKHOLLA,660,5,1,1
KUNATHARI,1589,39,2,10
LAGAAM,669,13,1,2
LATIKOILI,3885,378,12,55
LEKHFARSA,1248,41,0,12
LEKHGAUN,976,11,0,2
LEKHPARAJUL,1639,3,0,7
MAINTADA,2534,71,1,16
MALARANI,1047,15,0,30
MATELA,1002,17,0,2
MEHELKUNA,2191,75,8,34
NETA,643,1,0,3
PAMKA,386,3,0,0
POKHARIKANDA,850,2,0,8
RAJENA,541,3,0,12
RAKAM,768,26,0,6
RAMGHAT,1528,68,0,2
RANIBAS,561,1,0,9
RATU,325,2,0,6
SAHARE,2239,81,1,22
SALKOT,1594,31,1,10
SATAKHANI,1858,19,1,28
TARANGA,996,4,0,5
TATOPANI,1095,8,0,6
UTTARGANGA,3310,698,4,69
TOTAL,66131,5681,156,862
