VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BALIYA,1230,1782,432,5034,19,76
BASAUTI,43,49,1,945,0,14
BELADEVIPUR,58,169,1,1676,0,8
BHAJANI,358,249,13,1853,4,30
BONIYA,162,345,8,1925,7,10
CHUHA,367,633,57,2562,12,16
CHAUMALA,200,710,36,4308,1,38
DHANSINGHAPUR,264,64,0,1172,1,39
DARAKH,214,702,67,2147,1,22
DHANGADHI MUNICIPALITY,3835,11088,949,4935,85,138
DODODHARA,56,686,113,2697,14,22
DURGAULI,811,270,22,1503,15,5
GADARIYA,110,44,0,1478,0,25
GETA,555,2040,19,1038,28,40
GODAWARI,2036,141,1,711,0,17
HASULIYA,353,124,4,1900,1,3
JANAKINAGAR,222,51,1,717,1,0
JOSHIPUR,421,367,2,3110,7,28
KHAILAD,70,33,1,1919,8,12
KHAIRALA,391,1,3,392,0,9
KOTA TULSIPUR,48,350,26,1682,4,5
LALBOJHI,39,161,0,1555,48,15
MALAKHETI,539,2135,85,1993,8,43
MASURIYA,131,310,70,3288,11,18
MOHANYAL,233,0,5,513,12,8
MUNUWA,870,74,1,984,47,14
NARAYANPUR,412,155,19,1556,23,21
NIGALI,845,4,1,176,3,1
PAHALMANPUR,69,210,106,2158,5,39
PANDAUN,191,1,1,387,0,3
PATHARIYA,236,333,21,2826,8,19
PAWERA,35,124,1,814,0,6
PHULWARI,452,505,10,2862,8,7
PRATAPAPUR,332,291,18,1882,2,12
RAMSIKHAR JHALA,137,82,7,2906,11,13
RATANPUR,32,48,0,1092,0,15
SADEPANI,100,489,44,3549,69,27
SAHAJPUR,959,16,3,549,0,9
SREEPUR,556,722,6,1982,3,41
SUGARKHAL,470,4,4,2116,3,18
THAPAPUR,506,168,0,1646,23,6
TIKAPUR MUNICIPALITY,4126,1935,1277,3739,489,64
UDASIPUR,24,34,5,1422,4,3
URMA,53,194,2,2270,0,14
TOTAL,23151,27893,3442,85969,985,973
