VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BALIYA,2347,5845,6,5,7,33,272,58
BASAUTI,4,1033,3,0,1,0,0,11
BELADEVIPUR,31,1832,2,4,1,7,28,7
BHAJANI,51,2435,2,0,1,2,1,15
BONIYA,17,2428,2,0,3,0,1,6
CHUHA,287,3269,2,1,23,3,49,13
CHAUMALA,137,4979,10,34,6,63,32,32
DHANSINGHAPUR,11,1481,2,2,0,0,8,36
DARAKH,47,2987,10,2,4,0,86,17
DHANGADHI MUNICIPALITY,5543,15252,33,8,50,1,47,96
DODODHARA,28,3398,9,16,30,31,55,21
DURGAULI,67,2543,2,6,0,0,4,4
GADARIYA,240,1396,0,0,2,0,0,19
GETA,647,3002,13,2,11,1,13,31
GODAWARI,1444,117,12,567,91,650,12,13
HASULIYA,216,2136,1,1,7,0,20,4
JANAKINAGAR,21,930,6,2,4,0,29,0
JOSHIPUR,35,3850,17,1,4,1,2,25
KHAILAD,12,1908,0,0,0,0,112,11
KHAIRALA,135,2,0,157,281,213,2,6
KOTA TULSIPUR,13,2019,2,2,0,15,62,2
LALBOJHI,64,1683,2,5,0,1,45,18
MALAKHETI,1044,3558,105,15,3,14,25,39
MASURIYA,139,3421,6,19,31,60,137,15
MOHANYAL,292,0,10,120,276,65,0,8
MUNUWA,2,1927,0,4,0,0,42,15
NARAYANPUR,13,2072,0,3,1,0,78,19
NIGALI,601,2,4,30,155,173,63,2
PAHALMANPUR,375,2105,4,0,69,0,5,29
PANDAUN,192,0,6,137,161,85,0,2
PATHARIYA,85,3269,12,14,5,0,40,18
PAWERA,21,902,1,3,5,0,43,5
PHULWARI,40,3747,5,1,11,1,31,8
PRATAPAPUR,36,2472,2,1,4,1,13,8
RAMSIKHAR JHALA,37,3058,6,12,22,10,1,10
RATANPUR,1,1159,1,0,0,0,15,11
SADEPANI,162,3869,7,15,23,21,159,22
SAHAJPUR,1065,0,5,231,185,40,1,9
SREEPUR,224,2923,17,52,1,41,10,42
SUGARKHAL,1343,39,6,128,798,285,2,14
THAPAPUR,12,2328,2,0,2,0,0,5
TIKAPUR MUNICIPALITY,1063,10249,11,4,215,1,59,28
UDASIPUR,24,1460,4,1,0,0,0,3
URMA,262,2206,0,0,0,1,53,11
TOTAL,18430,115291,350,1605,2493,1819,1657,768
