VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BALIYA,7994,7,323,1,179,8,5,56
BASAUTI,846,7,0,5,183,0,0,11
BELADEVIPUR,1808,2,3,1,91,0,0,7
BHAJANI,2285,16,41,0,146,0,3,16
BONIYA,1956,4,20,5,465,0,0,7
CHUHA,3480,1,25,4,121,2,1,13
CHAUMALA,5182,8,16,3,46,1,5,32
DHANSINGHAPUR,1450,3,2,0,48,0,0,37
DARAKH,2866,31,133,18,85,1,2,17
DHANGADHI MUNICIPALITY,12719,158,6859,81,900,6,213,94
DODODHARA,3369,5,95,1,95,0,2,21
DURGAULI,2358,5,12,3,243,0,1,4
GADARIYA,1475,7,2,2,152,0,0,19
GETA,2690,34,490,5,462,6,1,32
GODAWARI,2874,8,2,4,2,3,0,13
HASULIYA,2029,24,8,10,310,0,0,4
JANAKINAGAR,889,8,5,2,87,0,1,0
JOSHIPUR,3308,32,26,4,537,1,1,26
KHAILAD,1984,6,2,4,36,0,0,11
KHAIRALA,779,0,0,0,9,1,0,7
KOTA TULSIPUR,1916,3,24,3,167,0,0,2
LALBOJHI,1738,24,0,18,20,0,0,18
MALAKHETI,4166,43,399,1,156,0,3,35
MASURIYA,3374,26,52,19,337,3,0,17
MOHANYAL,761,1,0,0,1,0,0,8
MUNUWA,1580,1,7,1,385,0,0,16
NARAYANPUR,2059,6,22,2,78,0,0,19
NIGALI,1014,0,5,5,4,0,0,2
PAHALMANPUR,2299,9,50,3,197,0,0,29
PANDAUN,581,0,0,0,0,0,0,2
PATHARIYA,3222,17,3,7,173,1,1,19
PAWERA,650,28,4,24,265,0,4,5
PHULWARI,3657,17,53,1,104,1,2,9
PRATAPAPUR,2112,8,18,6,379,0,5,9
RAMSIKHAR JHALA,2992,12,0,4,138,0,0,10
RATANPUR,1086,12,0,1,77,0,0,11
SADEPANI,4073,44,13,17,108,0,1,22
SAHAJPUR,1512,0,7,4,1,1,0,11
SREEPUR,2867,6,23,3,374,0,3,34
SUGARKHAL,2595,2,1,1,3,0,0,13
THAPAPUR,2083,7,4,4,246,0,1,4
TIKAPUR MUNICIPALITY,9926,32,930,16,668,10,16,32
UDASIPUR,1289,11,7,14,166,0,1,4
URMA,2451,4,1,1,65,0,0,11
TOTAL,122344,679,9687,308,8309,45,272,769
