VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BALIYA,4207,3048,1258,60
BASAUTI,718,286,37,11
BELADEVIPUR,1345,185,375,7
BHAJANI,1385,551,556,15
BONIYA,1642,733,75,7
CHUHA,2423,636,576,12
CHAUMALA,3222,1083,957,31
DHANSINGHAPUR,1008,222,273,37
DARAKH,1942,802,392,17
DHANGADHI MUNICIPALITY,4781,13378,2773,98
DODODHARA,2176,1212,179,21
DURGAULI,1438,628,556,4
GADARIYA,1286,230,121,20
GETA,734,1887,1067,32
GODAWARI,1855,552,486,13
HASULIYA,1677,493,211,4
JANAKINAGAR,606,338,48,0
JOSHIPUR,2452,1194,263,26
KHAILAD,1665,75,293,10
KHAIRALA,713,21,55,7
KOTA TULSIPUR,988,887,238,2
LALBOJHI,1205,390,205,18
MALAKHETI,1733,2011,1020,39
MASURIYA,2778,752,282,16
MOHANYAL,541,38,184,8
MUNUWA,1206,647,121,16
NARAYANPUR,825,589,753,19
NIGALI,531,324,173,2
PAHALMANPUR,1451,875,232,29
PANDAUN,428,149,4,2
PATHARIYA,2398,555,471,19
PAWERA,519,345,111,5
PHULWARI,1110,570,2154,10
PRATAPAPUR,1758,670,100,9
RAMSIKHAR JHALA,2159,405,582,10
RATANPUR,991,128,57,11
SADEPANI,2620,805,832,21
SAHAJPUR,738,469,318,11
SREEPUR,1614,837,816,43
SUGARKHAL,1741,542,318,14
THAPAPUR,1037,734,574,4
TIKAPUR MUNICIPALITY,3490,4957,3151,32
UDASIPUR,1162,266,60,4
URMA,2023,208,291,11
TOTAL,72321,45707,23598,787
