VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BALIYA,7645,331,1,9,527,60
BASAUTI,2,417,1,607,14,11
BELADEVIPUR,1614,257,3,12,19,7
BHAJANI,2127,342,7,8,7,16
BONIYA,2320,110,2,14,4,7
CHUHA,3277,131,2,13,211,13
CHAUMALA,4607,352,6,19,277,32
DHANSINGHAPUR,1228,265,1,2,7,37
DARAKH,1413,1024,18,563,118,17
DHANGADHI MUNICIPALITY,18948,1872,38,30,45,97
DODODHARA,3274,60,3,7,223,21
DURGAULI,2455,98,4,7,58,4
GADARIYA,205,539,5,857,31,20
GETA,3134,509,11,12,22,32
GODAWARI,1678,706,5,107,397,13
HASULIYA,975,943,5,447,11,4
JANAKINAGAR,945,12,5,15,15,0
JOSHIPUR,3165,679,2,44,19,26
KHAILAD,875,793,0,191,173,11
KHAIRALA,7,9,1,139,633,7
KOTA TULSIPUR,1996,81,2,7,27,2
LALBOJHI,1158,582,5,35,20,18
MALAKHETI,4096,607,13,5,43,39
MASURIYA,1783,906,4,309,809,17
MOHANYAL,0,5,0,232,526,8
MUNUWA,1852,91,2,7,22,16
NARAYANPUR,1992,137,9,3,26,19
NIGALI,8,70,1,365,584,2
PAHALMANPUR,884,891,5,478,300,29
PANDAUN,0,3,0,91,487,2
PATHARIYA,3260,39,10,33,82,19
PAWERA,252,454,6,258,5,5
PHULWARI,3069,676,20,12,57,10
PRATAPAPUR,2361,111,6,19,31,9
RAMSIKHAR JHALA,354,782,4,1049,957,10
RATANPUR,1,690,1,481,4,10
SADEPANI,736,1455,11,883,1173,20
SAHAJPUR,310,261,2,269,683,11
SREEPUR,2832,400,10,6,20,42
SUGARKHAL,29,15,1,449,2107,14
THAPAPUR,2125,191,3,14,11,5
TIKAPUR MUNICIPALITY,9242,1393,26,36,901,32
UDASIPUR,25,517,2,709,235,4
URMA,2123,271,3,75,50,11
TOTAL,100382,20077,266,8928,11971,789
