VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
EKAMBA,37,565,115,1255,2,6,3
AMADUWA,12,109,71,1570,4,56,15
AMAHIBELAHA,24,172,3,1214,1,5,12
AURABANI,10,204,1,1496,2,5,1
BABIYA,14,218,1,1307,0,2,3
BAKALAURI,28,229,614,2184,2,20,15
BARAHACHHETRA,318,405,155,2052,2,15,66
BASANTAPUR,5,92,65,728,1,0,4
BHADGAUN SINAWARI,99,1865,43,1801,2,8,19
BHALUWA,11,113,1,771,0,5,11
BHARAUL,28,429,277,3639,0,50,8
BHOKRAHA,58,364,34,2906,2,20,15
BISHNUPADUKA,135,29,507,398,0,8,3
CHANDWELA,5,115,14,1224,1,15,5
CHHITAHA,26,118,7,1717,1,2,11
CHIMADI,9,84,1,1289,1,3,3
DEWANGANJ,12,300,5,992,0,0,2
DHARAN MUNICIPALITY,800,18526,3478,3845,36,661,404
GHUSKEE,10,196,3,1560,3,1,13
DUHABI,274,2266,101,1722,2,1,49
DUMRAHA,132,254,54,3014,10,15,13
GAUTAMPUR,19,101,5,595,0,1,2
HANSAPOSA,97,3410,743,1598,6,28,33
HARINAGARA,20,244,3,1145,3,3,0
HARIPUR,166,294,12,1829,0,12,3
INARUWA MUNICIPALITY,252,3353,223,2306,5,4,52
ITAHARI MUNICIPALITY,427,13164,822,3577,14,43,223
JALPAPUR,51,137,2,864,10,0,2
KAPTANGANJ,7,178,7,1380,0,3,3
KHANAR,204,2436,127,2195,1,4,163
LAUKAHI,24,217,2,614,2,1,1
MADHELEE,12,220,14,1279,2,1,21
MADHESA,39,404,97,850,1,0,4
MADHUWAN,38,155,13,1245,2,7,11
MADHYAHARSHAHI,7,115,16,901,0,5,3
MAHENDRANAGAR,39,657,51,4615,2,34,33
NARSINGHATAPPU,59,327,154,2849,0,0,10
PAKALI,50,1076,77,1237,9,29,18
PANCHAKANYA,195,535,847,2196,5,50,35
PASHCHIM KUSHAHA,25,286,63,1716,1,1,14
PRAKASHPUR,29,315,35,2538,5,270,14
PURBAKUSHAHA,15,116,3,1369,0,5,21
RAMGANJ BELGACHHI,23,110,9,1429,6,15,3
RAJGANJ SINUWARI,9,141,2,1480,0,3,6
RAMNAGAR BHUTAHA,44,368,105,1482,4,6,11
SAHEBGANJ,1,110,2,662,3,4,2
SATTERJHORA,24,85,1,1771,1,1,6
SIMARIYA,14,155,1,819,2,167,20
SINGIYA,13,360,35,2076,2,11,13
SONAPUR,71,1086,129,1292,0,10,16
SRIPURJABDI,37,337,63,2804,2,4,13
TANAMUNA,8,71,13,1152,1,1,9
TOTAL,4066,57216,9226,88549,161,1621,1440
