VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
EKAMBA,1563,388,8,9,10,5
AMADUWA,1335,463,2,25,1,11
AMAHIBELAHA,1101,320,0,4,0,6
AURABANI,1305,402,2,8,1,1
BABIYA,1027,503,4,7,0,4
BAKALAURI,2505,560,6,7,3,11
BARAHACHHETRA,2701,215,12,8,41,36
BASANTAPUR,482,399,1,8,0,5
BHADGAUN SINAWARI,3466,328,6,17,4,16
BHALUWA,711,189,4,2,0,6
BHARAUL,3639,751,15,14,5,7
BHOKRAHA,2485,875,7,21,0,11
BISHNUPADUKA,972,72,4,2,26,4
CHANDWELA,923,442,2,7,1,4
CHHITAHA,1027,814,4,18,8,11
CHIMADI,1007,370,0,11,0,2
DEWANGANJ,962,318,5,24,0,2
DHARAN MUNICIPALITY,26694,660,123,15,49,209
GHUSKEE,1231,538,3,8,0,6
DUHABI,3996,361,10,2,27,19
DUMRAHA,2172,1263,6,40,0,11
GAUTAMPUR,556,158,0,7,0,2
HANSAPOSA,5644,215,24,5,5,22
HARINAGARA,1103,292,5,16,1,1
HARIPUR,1285,1000,8,8,11,4
INARUWA MUNICIPALITY,5505,603,18,24,17,28
ITAHARI MUNICIPALITY,17263,652,122,32,41,160
JALPAPUR,832,215,2,16,0,1
KAPTANGANJ,1174,385,5,10,0,4
KHANAR,4701,330,36,20,3,40
LAUKAHI,580,266,2,12,0,1
MADHELEE,1308,202,3,10,0,26
MADHESA,1249,116,17,7,5,1
MADHUWAN,890,558,5,11,0,7
MADHYAHARSHAHI,640,399,2,5,0,1
MAHENDRANAGAR,4409,831,11,147,11,22
NARSINGHATAPPU,1663,1672,12,43,1,8
PAKALI,2255,199,4,5,19,14
PANCHAKANYA,3470,333,6,5,25,24
PASHCHIM KUSHAHA,1493,569,5,24,0,15
PRAKASHPUR,2383,699,9,48,59,8
PURBAKUSHAHA,985,510,5,13,1,15
RAMGANJ BELGACHHI,1237,334,3,18,2,1
RAJGANJ SINUWARI,698,922,1,15,0,5
RAMNAGAR BHUTAHA,1430,557,3,17,1,12
SAHEBGANJ,509,268,0,6,0,1
SATTERJHORA,1206,654,2,21,0,6
SIMARIYA,680,458,3,16,0,21
SINGIYA,2184,297,5,11,2,11
SONAPUR,2257,309,8,16,3,11
SRIPURJABDI,1136,2094,3,15,1,11
TANAMUNA,589,658,3,4,0,1
TOTAL,132618,26986,556,864,384,871
