VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
EKAMBA,1901,68,3,11
AMADUWA,1727,3,2,105
AMAHIBELAHA,1377,7,3,44
AURABANI,1675,42,0,2
BABIYA,1517,13,2,13
BAKALAURI,2994,42,4,52
BARAHACHHETRA,2630,192,96,95
BASANTAPUR,891,2,2,0
BHADGAUN SINAWARI,3384,412,29,12
BHALUWA,894,4,2,12
BHARAUL,4230,131,2,68
BHOKRAHA,3158,14,2,225
BISHNUPADUKA,1051,3,3,23
CHANDWELA,1329,1,0,49
CHHITAHA,1875,1,2,4
CHIMADI,1359,21,2,8
DEWANGANJ,1300,7,1,3
DHARAN MUNICIPALITY,15261,9578,1444,1467
GHUSKEE,1771,9,2,4
DUHABI,3423,796,150,46
DUMRAHA,3448,14,0,30
GAUTAMPUR,713,5,1,4
HANSAPOSA,4712,1066,29,108
HARINAGARA,1391,15,10,2
HARIPUR,2258,20,36,2
INARUWA MUNICIPALITY,5143,894,86,72
ITAHARI MUNICIPALITY,12050,5717,261,242
JALPAPUR,1060,3,2,1
KAPTANGANJ,1558,13,2,5
KHANAR,3502,1128,195,305
LAUKAHI,801,44,2,14
MADHELEE,1539,3,0,7
MADHESA,1367,12,3,13
MADHUWAN,1428,14,1,28
MADHYAHARSHAHI,1034,2,7,4
MAHENDRANAGAR,5120,130,70,111
NARSINGHATAPPU,3375,4,2,18
PAKALI,2204,255,11,26
PANCHAKANYA,3588,186,3,86
PASHCHIM KUSHAHA,2027,42,3,34
PRAKASHPUR,3074,79,5,48
PURBAKUSHAHA,1427,17,0,85
RAMGANJ BELGACHHI,1583,6,0,6
RAJGANJ SINUWARI,1633,1,4,3
RAMNAGAR BHUTAHA,2004,3,5,8
SAHEBGANJ,768,4,0,12
SATTERJHORA,1885,0,0,4
SIMARIYA,1155,16,3,4
SINGIYA,2464,35,2,9
SONAPUR,1876,521,150,57
SRIPURJABDI,3164,3,2,91
TANAMUNA,1253,0,0,2
TOTAL,134351,21598,2646,3684
