VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
EKAMBA,202,280,407,645,446,3
AMADUWA,16,93,360,348,1006,14
AMAHIBELAHA,16,172,107,404,720,12
AURABANI,6,140,290,908,374,1
BABIYA,14,197,273,814,244,3
BAKALAURI,15,138,186,2587,151,15
BARAHACHHETRA,487,354,71,1983,52,66
BASANTAPUR,1,78,66,293,453,4
BHADGAUN SINAWARI,120,1467,674,1316,242,18
BHALUWA,13,61,157,500,170,11
BHARAUL,26,221,221,3849,107,7
BHOKRAHA,202,318,495,1631,739,14
BISHNUPADUKA,328,66,1,657,25,3
CHANDWELA,16,101,66,905,286,5
CHHITAHA,28,90,250,951,554,9
CHIMADI,1,42,144,613,587,3
DEWANGANJ,33,307,141,615,213,2
DHARAN MUNICIPALITY,2210,11188,8096,5489,371,396
GHUSKEE,113,171,51,859,582,10
DUHABI,444,1750,580,1409,184,48
DUMRAHA,115,170,296,1969,929,13
GAUTAMPUR,28,108,88,376,121,2
HANSAPOSA,152,2431,1065,1997,237,33
HARINAGARA,65,240,96,628,389,0
HARIPUR,569,410,212,1043,79,3
INARUWA MUNICIPALITY,400,2631,851,2040,222,51
ITAHARI MUNICIPALITY,710,5518,7976,3400,452,214
JALPAPUR,54,190,288,256,276,2
KAPTANGANJ,7,192,117,862,397,3
KHANAR,274,2117,666,1724,187,162
LAUKAHI,22,219,23,502,94,1
MADHELEE,3,205,94,1114,112,21
MADHESA,48,307,234,637,167,2
MADHUWAN,68,137,125,780,350,11
MADHYAHARSHAHI,3,143,118,542,238,3
MAHENDRANAGAR,44,497,259,4041,561,29
NARSINGHATAPPU,68,336,435,2329,221,10
PAKALI,44,965,221,1112,140,14
PANCHAKANYA,536,548,137,2554,54,34
PASHCHIM KUSHAHA,17,237,323,1207,308,14
PRAKASHPUR,11,150,325,2255,452,13
PURBAKUSHAHA,178,110,58,880,282,21
RAMGANJ BELGACHHI,16,98,112,530,836,3
RAJGANJ SINUWARI,4,134,116,976,406,5
RAMNAGAR BHUTAHA,95,330,536,549,500,10
SAHEBGANJ,9,117,50,232,374,2
SATTERJHORA,4,54,118,1473,234,6
SIMARIYA,14,108,59,525,452,20
SINGIYA,41,353,231,1611,263,11
SONAPUR,97,1016,233,923,319,16
SRIPURJABDI,202,486,322,1785,453,12
TANAMUNA,7,31,51,1053,108,5
TOTAL,8196,37822,28471,68681,17719,1390
