VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BADALKOT,582,3,0,0,0,0,4
CHHAPRE,594,4,0,0,0,0,3
CHILKHAYA,730,7,2,3,0,2,5
DAHAFATGAUN,827,9,6,0,0,0,7
DHOLAGOHE,1104,1,0,0,0,2,5
GELA,704,0,1,0,0,0,1
JUBITHA,396,5,4,0,0,0,2
KHEEN,596,2,1,0,0,7,1
KOTBADA,675,3,0,0,0,2,6
KUMALGAUN,615,1,1,0,0,0,4
LALU,965,2,8,1,0,0,8
MALKOT,670,7,1,0,0,0,4
MANMA,1487,168,6,1,0,3,31
MARTA,1254,0,6,1,0,0,4
MEHAL MUDI,810,0,1,0,0,1,4
MUGRAHA,486,3,0,0,0,0,8
MUMRAKOT,538,4,1,0,0,0,5
NANIKOT,946,3,2,0,0,0,22
ODANAKU,627,0,3,0,0,0,8
PAKHA,682,4,2,0,0,0,3
PHOI MAHADEV,594,14,6,0,0,1,2
PHUKOT,780,6,3,0,0,108,0
RAKU,735,4,0,0,0,0,2
RAMANAKOT,621,0,2,0,0,0,2
RANCHULI,405,8,5,0,0,0,4
RUPSA,611,1,0,0,0,0,0
SIPKHANA,861,2,0,0,0,0,14
SIUNA,891,7,3,0,0,0,10
SUKATAYA,878,1,5,1,0,0,2
THIRPU,690,1,2,0,0,2,7
TOTAL,22354,270,71,7,0,128,178
