VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ALAMADEVI,76,830,505,282,325,11,4,24,776,4,16,12,0,11,2
ARJUN CHAUPARI,114,1367,975,381,586,30,18,51,1220,4,26,1,0,59,25
ARUCHAUR,86,666,563,124,113,8,0,2,541,1,2,0,0,2,8
ARUKHARKA,84,794,623,342,232,16,8,25,716,0,20,3,0,8,0
BAGEFADKE,10,264,180,86,59,3,0,8,241,1,3,2,0,2,7
BAHAKOT,38,405,303,140,95,7,3,7,369,3,10,1,1,8,5
BENETHOK DEURALI,95,762,562,169,80,2,5,5,678,1,3,0,0,2,7
BHATKHOLA,46,400,325,189,41,2,3,12,331,0,1,0,0,5,4
BICHARI CHAUTARA,70,477,347,174,83,4,0,8,384,0,0,0,0,0,16
BIRGHA,133,1040,793,103,438,15,2,10,926,7,26,5,3,22,7
BIRUWA ARCHALE,82,583,256,108,180,10,0,19,538,2,9,1,1,16,9
CHANDI BHANJYANG,58,801,644,204,12,3,0,16,618,2,12,1,0,11,32
CHAPAKOT,126,940,645,78,483,27,9,14,842,5,90,75,6,79,21
CHHANGCHHANGDI,11,608,466,145,214,13,16,0,534,5,18,11,1,13,33
CHILAUNEBAS,72,578,326,212,125,13,2,10,533,1,9,0,0,7,12
CHINNEBAS,175,844,494,91,100,5,5,52,686,1,9,3,0,12,40
MAGYAM CHISAPANI,127,813,527,348,40,7,1,12,665,0,4,0,0,0,13
CHITRE BHANJYANG,88,704,437,229,18,18,0,19,645,2,7,15,0,0,21
DARSING DAHATHUM,62,1586,1043,952,923,83,70,37,1399,16,74,78,5,215,23
DHAPUK SIMAL BHANJYANG,25,705,456,158,133,3,1,2,577,6,5,1,0,2,105
FAPARTHUM,54,546,397,130,167,7,20,7,503,0,0,0,0,0,3
FEDIKHOLA,127,1494,804,464,623,89,54,143,1381,9,92,38,4,111,24
JAGAT BHANJYANG,66,713,445,362,324,14,5,16,664,10,33,12,5,18,12
JAGATRADEVI,43,1975,930,223,1304,212,84,251,1862,51,234,52,6,317,32
KALIKAKOT,142,769,570,145,84,6,1,2,628,1,5,1,0,3,2
KOLMA BARAHACHAUR,64,375,273,113,98,3,0,11,313,0,2,1,0,1,4
KEWARE BHANJYANG,80,602,317,282,246,7,1,4,546,1,1,1,0,2,2
KHILUNG DEURALI,71,950,712,287,260,24,22,9,852,1,10,1,0,22,29
KICHANASH,118,999,612,239,224,15,1,18,816,6,11,2,0,10,36
KUWAKOT,73,829,664,179,251,17,3,7,798,0,36,13,2,25,5
KYAKMI,182,960,674,111,5,2,0,38,836,0,14,0,0,1,52
MAJHAKOT SIVALAYA,63,291,195,25,0,0,0,1,261,1,2,0,0,0,3
MALUNGA,71,595,428,30,330,28,6,16,538,2,43,10,0,59,12
MALYANGKOT,136,937,608,220,188,11,7,25,856,7,20,5,1,32,29
MANAKAMANA,237,747,522,51,8,2,0,34,625,1,6,0,2,0,13
NIBUWAKHARKA,37,732,524,184,185,5,9,0,647,1,17,6,1,18,21
ORASTE,98,737,420,134,377,10,4,31,687,0,4,3,0,7,10
PAKWADI,113,1163,678,432,132,17,0,8,1122,6,31,1,0,12,8
PANCHAMUL,137,939,545,221,305,8,12,13,860,0,0,0,0,2,3
PAUWEGAUDE,57,722,521,204,258,19,5,13,627,2,20,4,1,34,26
PELAKOT,132,1066,773,188,341,23,26,10,970,2,17,1,1,18,22
PELKACHAUR,113,315,152,100,78,2,0,21,260,0,2,1,0,0,11
PIDIKHOLA,117,963,644,292,85,13,5,11,877,1,1,2,1,6,39
PUTALIBAZAR MUNICIPALITY,543,7560,4197,1561,4289,602,208,658,6835,87,453,217,19,951,77
RANGVANG,134,549,335,149,130,3,0,1,419,0,1,1,0,1,4
RAPAKOT,111,762,566,180,70,8,3,7,689,0,1,1,0,1,31
RATNAPUR,59,847,592,124,307,27,17,7,756,1,51,26,2,38,2
SAKHAR,149,901,607,36,96,12,4,10,846,0,39,15,0,9,5
DARAU,75,500,277,207,61,3,2,4,389,0,6,0,0,0,7
SEKHAM,100,821,559,236,99,3,2,14,753,2,4,4,1,10,3
SETIDOBHAN,56,715,449,272,248,21,3,25,616,2,9,2,3,14,9
SHREEKRISHNA GANDAKI,155,1828,1199,412,725,89,79,47,1685,12,146,15,2,105,10
SIRSEKOT,79,712,390,164,301,5,0,3,662,2,9,1,0,0,1
SWOREK,71,1108,732,343,230,10,103,11,1041,2,15,3,1,9,18
TAKSAR,96,433,337,162,8,5,0,1,313,0,1,1,0,1,0
THULADIHI,72,795,573,179,261,24,10,15,658,2,10,1,0,7,7
THUMPOKHARA,122,1089,783,370,406,41,21,13,982,0,44,7,0,45,9
TINDOBATE,67,907,568,249,355,24,39,13,839,7,43,36,0,72,20
TULSIBHANJYANG,47,905,577,210,347,47,14,29,804,14,50,3,0,46,9
WALING MUNICIPALITY,297,5605,3335,3244,3774,605,356,349,5019,97,616,521,32,1036,50
BANGSING DEURALI,87,522,381,145,40,10,5,8,462,0,4,2,0,0,15
YALADI,51,366,259,30,5,1,1,7,341,0,6,5,0,3,0
