VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ALAMADEVI,878,27,1,2
ARJUN CHAUPARI,1397,104,0,5
ARUCHAUR,720,23,2,15
ARUKHARKA,853,6,1,18
BAGEFADKE,269,7,0,5
BAHAKOT,422,7,1,18
BENETHOK DEURALI,837,19,0,8
BHATKHOLA,428,5,0,17
BICHARI CHAUTARA,538,12,0,13
BIRGHA,1127,37,3,13
BIRUWA ARCHALE,601,59,2,12
CHANDI BHANJYANG,871,7,0,13
CHAPAKOT,988,77,4,18
CHHANGCHHANGDI,633,13,2,4
CHILAUNEBAS,639,12,0,11
CHINNEBAS,1016,32,1,10
MAGYAM CHISAPANI,911,24,0,18
CHITRE BHANJYANG,777,18,2,16
DARSING DAHATHUM,1257,396,6,12
DHAPUK SIMAL BHANJYANG,815,11,0,9
FAPARTHUM,583,11,0,9
FEDIKHOLA,1420,165,3,57
JAGAT BHANJYANG,751,35,0,5
JAGATRADEVI,1409,622,13,6
KALIKAKOT,877,14,0,22
KOLMA BARAHACHAUR,404,24,1,14
KEWARE BHANJYANG,660,24,0,0
KHILUNG DEURALI,1015,24,0,11
KICHANASH,1128,19,1,5
KUWAKOT,870,25,0,12
KYAKMI,1174,13,1,6
MAJHAKOT SIVALAYA,355,1,0,1
MALUNGA,633,33,7,5
MALYANGKOT,1054,24,2,22
MANAKAMANA,964,22,1,10
NIBUWAKHARKA,775,7,0,8
ORASTE,827,8,0,10
PAKWADI,1243,32,0,9
PANCHAMUL,1020,21,0,38
PAUWEGAUDE,760,29,0,16
PELAKOT,1178,30,0,12
PELKACHAUR,411,11,0,17
PIDIKHOLA,1053,34,3,29
PUTALIBAZAR MUNICIPALITY,6279,1794,62,45
RANGVANG,672,5,1,9
RAPAKOT,876,13,3,12
RATNAPUR,860,38,3,7
SAKHAR,998,27,23,7
DARAU,559,3,0,20
SEKHAM,890,17,0,17
SETIDOBHAN,662,99,6,13
SHREEKRISHNA GANDAKI,1716,184,81,12
SIRSEKOT,768,19,0,5
SWOREK,1162,26,1,8
TAKSAR,522,6,0,1
THULADIHI,852,10,0,12
THUMPOKHARA,1106,107,0,7
TINDOBATE,920,67,0,7
TULSIBHANJYANG,918,29,1,13
WALING MUNICIPALITY,4155,1735,22,40
BANGSING DEURALI,605,9,1,9
YALADI,401,5,1,10
TOTAL,61462,6317,262,815
