VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,46556,242444,115969,126475,5.207577970616033,91.69322000395334
BADAGAUN,728,3913,1901,2012,5.375,94.48310139165011
BAFUKHOLA,639,4079,1926,2153,6.38341158059468,89.4565722248026
BAJH KANDA,585,3174,1504,1670,5.425641025641026,90.05988023952096
BAME,959,5173,2454,2719,5.394160583941606,90.25376976829716
BHALCHAUR,1285,7076,3506,3570,5.506614785992218,98.20728291316526
CHANDE,876,5236,2476,2760,5.9771689497716896,89.71014492753623
CHHAYACHHETRA,1302,5697,2511,3186,4.375576036866359,78.8135593220339
DAMACHAUR,1172,6036,2894,3142,5.150170648464163,92.10693825588797
DANDAGAUN,985,4671,2110,2561,4.742131979695431,82.38969152674737
DARMAKOT,989,5430,2619,2811,5.490394337714863,93.16969050160085
DEVSTHAL,1002,4785,2235,2550,4.775449101796407,87.6470588235294
DHAJARI PIPAL,1117,5914,2878,3036,5.294538943598925,94.79578392621872
DHAKADAM,1186,7460,3621,3839,6.2900505902192245,94.32143787444647
DHANWANG,1215,5587,2689,2898,4.598353909465021,92.78812974465148
HIWALCHA,892,3942,1796,2146,4.4192825112107625,83.69058713886301
JIMALI,611,3743,1889,1854,6.126022913256956,101.88781014023733
KABHRECHAUR,1040,5467,2778,2689,5.256730769230769,103.30978058757903
KAJERI,1065,5314,2463,2851,4.989671361502348,86.39074009119608
KALAGAUN,1378,6930,3259,3671,5.029027576197388,88.77690002724053
KALIMATI KALCHE,1188,6516,3213,3303,5.484848484848484,97.27520435967303
KALIMATI RAMPUR,1324,6777,3252,3525,5.1185800604229605,92.25531914893617
KARAGITHI,542,2850,1301,1549,5.25830258302583,83.98967075532602
KAVRA,733,3525,1654,1871,4.809004092769441,88.40192410475682
KHALANGA,1943,7668,3708,3960,3.9464745239320638,93.63636363636364
KORBANG JHIMPE,1227,6183,2719,3464,5.039119804400978,78.49307159353349
KOTBARA,1076,6927,3449,3478,6.437732342007435,99.1661874640598
KOTMALA,967,5030,2397,2633,5.201654601861427,91.03684010634258
KUPINDE DAHA,1236,7007,3366,3641,5.669093851132686,92.44712990936556
LAXMIPUR,791,4245,2057,2188,5.366624525916562,94.01279707495429
LEKHPOKHARA,707,3536,1638,1898,5.001414427157002,86.3013698630137
MAJH KANDA,936,5261,2603,2658,5.620726495726496,97.93077501881113
MARKE,832,4174,1993,2181,5.016826923076923,91.38010087116002
MARMAPARIKANDA,865,4661,2218,2443,5.388439306358381,90.79001227998363
MULKHOLA,1076,5593,2715,2878,5.197955390334572,94.3363446838082
NIGALCHULA,437,2319,1131,1188,5.306636155606407,95.2020202020202
PHALAWANG,1128,5450,2551,2899,4.831560283687943,87.99586064160056
PIPAL NETA,427,2229,1053,1176,5.220140515222482,89.54081632653062
RIM,835,4262,2027,2235,5.104191616766467,90.69351230425056
SAIJUWAL TAKURA,776,3416,1529,1887,4.402061855670103,81.02808691043985
SARPANI GARPA,888,4817,2312,2505,5.42454954954955,92.29540918163673
SIBARATHA,1137,6763,3261,3502,5.948109058927001,93.11821816105082
SIDDHESWAR,943,5183,2524,2659,5.496288441145281,94.92290334712298
SINWANG,719,3538,1690,1848,4.920723226703755,91.45021645021644
SUIKOT,1163,5725,2661,3064,4.922613929492691,86.84725848563968
SYANIKHAL,898,4545,2062,2483,5.0612472160356345,83.04470398711237
THARMARE,1660,9090,4440,4650,5.475903614457831,95.48387096774194
TRIBENI,1044,4799,2220,2579,4.596743295019157,86.07987592089957
