VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BADAGAUN,292,12,314,0,0,99,10,1
BAFUKHOLA,222,15,392,1,2,0,0,7
BAJH KANDA,315,236,25,1,0,4,0,4
BAME,325,8,550,1,0,69,3,3
BHALCHAUR,407,47,731,0,1,42,49,8
CHANDE,468,179,119,1,0,83,0,26
CHHAYACHHETRA,734,430,35,21,2,78,2,0
DAMACHAUR,362,119,679,2,1,3,1,5
DANDAGAUN,493,428,54,0,0,10,0,0
DARMAKOT,412,11,548,0,0,10,0,8
DEVSTHAL,69,317,151,63,8,390,1,3
DHAJARI PIPAL,325,174,134,4,0,362,112,6
DHAKADAM,392,154,626,0,0,1,6,7
DHANWANG,831,299,6,74,0,0,0,5
HIWALCHA,535,146,138,4,0,54,8,7
JIMALI,146,18,439,0,0,2,0,6
KABHRECHAUR,759,63,123,3,2,76,3,11
KAJERI,542,370,98,14,2,2,0,37
KALAGAUN,70,5,1119,0,73,92,6,13
KALIMATI KALCHE,979,133,25,5,0,7,0,39
KALIMATI RAMPUR,877,220,123,7,0,82,1,14
KARAGITHI,210,82,124,0,0,126,0,0
KAVRA,528,144,26,14,9,9,1,2
KHALANGA,270,831,373,401,1,8,1,58
KORBANG JHIMPE,756,198,260,0,0,8,0,5
KOTBARA,297,143,605,1,0,12,7,11
KOTMALA,125,49,774,1,0,17,1,0
KUPINDE DAHA,672,84,360,8,0,63,28,21
LAXMIPUR,653,40,16,1,3,51,0,27
LEKHPOKHARA,419,143,142,0,0,1,0,2
MAJH KANDA,660,93,45,38,1,89,4,6
MARKE,538,77,169,2,0,33,2,11
MARMAPARIKANDA,123,67,539,0,5,130,0,1
MULKHOLA,76,62,202,0,0,736,0,0
NIGALCHULA,395,29,8,0,0,0,0,5
PHALAWANG,863,217,24,13,0,5,0,6
PIPAL NETA,84,85,256,0,0,0,0,2
RIM,710,112,2,4,0,3,0,4
SAIJUWAL TAKURA,289,103,329,20,3,25,0,7
SARPANI GARPA,792,90,0,5,0,0,0,1
SIBARATHA,308,134,684,0,2,8,1,0
SIDDHESWAR,476,414,7,14,1,18,1,12
SINWANG,597,70,25,0,1,14,0,12
SUIKOT,20,18,549,6,107,421,31,11
SYANIKHAL,541,308,32,1,0,1,1,14
THARMARE,448,256,881,26,0,22,25,2
TRIBENI,602,368,29,22,0,16,0,7
TOTAL,21007,7601,12890,778,224,3282,305,437
