VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BADAGAUN,722,0,1,0,0,0,5
BAFUKHOLA,632,0,1,0,0,0,6
BAJH KANDA,551,30,1,0,0,0,3
BAME,951,0,4,0,0,0,4
BHALCHAUR,1260,11,1,1,0,0,12
CHANDE,836,11,1,1,0,0,27
CHHAYACHHETRA,1197,102,1,2,0,0,0
DAMACHAUR,1147,12,9,0,0,0,4
DANDAGAUN,891,91,0,1,0,0,2
DARMAKOT,975,6,0,1,0,0,7
DEVSTHAL,916,75,7,1,0,2,1
DHAJARI PIPAL,1101,4,2,0,0,3,7
DHAKADAM,1174,2,3,0,0,0,7
DHANWANG,1094,105,3,5,0,3,5
HIWALCHA,863,20,0,0,0,0,9
JIMALI,605,0,1,0,0,0,5
KABHRECHAUR,815,2,211,0,0,1,11
KAJERI,955,57,4,2,0,1,46
KALAGAUN,1365,0,2,0,0,0,11
KALIMATI KALCHE,1106,8,37,1,0,0,36
KALIMATI RAMPUR,1280,21,9,0,0,0,14
KARAGITHI,542,0,0,0,0,0,0
KAVRA,699,30,0,0,1,0,3
KHALANGA,1366,500,8,9,2,2,56
KORBANG JHIMPE,1218,3,0,0,0,0,6
KOTBARA,1062,3,1,0,0,0,10
KOTMALA,950,13,1,0,0,2,1
KUPINDE DAHA,1207,7,2,0,0,0,20
LAXMIPUR,763,0,0,2,0,0,26
LEKHPOKHARA,696,9,0,0,0,0,2
MAJH KANDA,885,37,7,0,0,0,7
MARKE,806,7,7,0,0,1,11
MARMAPARIKANDA,857,0,6,1,0,0,1
MULKHOLA,1074,1,1,0,0,0,0
NIGALCHULA,430,2,0,0,0,0,5
PHALAWANG,1094,27,1,0,0,0,6
PIPAL NETA,415,11,0,0,0,0,1
RIM,777,54,0,0,0,0,4
SAIJUWAL TAKURA,741,9,1,1,0,0,24
SARPANI GARPA,842,44,2,0,0,0,0
SIBARATHA,1107,13,14,3,0,0,0
SIDDHESWAR,893,37,0,0,0,0,13
SINWANG,705,1,1,0,0,0,12
SUIKOT,1138,6,3,2,0,0,14
SYANIKHAL,842,37,4,1,0,0,14
THARMARE,1468,173,12,1,1,1,4
TRIBENI,1006,26,4,0,0,0,8
TOTAL,44019,1607,373,35,4,16,470
