VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BADAGAUN,725,0,0,2,0,1
BAFUKHOLA,633,0,0,0,0,6
BAJH KANDA,578,4,0,0,0,3
BAME,955,0,0,1,0,3
BHALCHAUR,1268,5,0,2,1,9
CHANDE,847,3,0,0,0,26
CHHAYACHHETRA,1284,2,13,3,0,0
DAMACHAUR,1164,4,0,0,0,4
DANDAGAUN,980,2,0,1,0,2
DARMAKOT,979,2,0,1,0,7
DEVSTHAL,920,42,32,7,0,1
DHAJARI PIPAL,1107,4,0,1,0,5
DHAKADAM,1177,1,1,0,0,7
DHANWANG,1106,40,55,8,1,5
HIWALCHA,885,0,0,0,0,7
JIMALI,605,0,0,1,0,5
KABHRECHAUR,825,1,1,201,1,11
KAJERI,986,30,2,7,1,39
KALAGAUN,1366,1,0,0,0,11
KALIMATI KALCHE,1069,5,0,76,2,36
KALIMATI RAMPUR,1295,1,5,9,0,14
KARAGITHI,542,0,0,0,0,0
KAVRA,706,18,6,0,0,3
KHALANGA,1499,205,170,12,1,56
KORBANG JHIMPE,1221,0,0,1,0,5
KOTBARA,1065,0,1,0,0,10
KOTMALA,964,1,0,0,2,0
KUPINDE DAHA,1212,4,0,0,0,20
LAXMIPUR,762,1,0,1,1,26
LEKHPOKHARA,700,5,0,0,0,2
MAJH KANDA,889,20,14,6,0,7
MARKE,818,1,1,0,1,11
MARMAPARIKANDA,864,0,0,0,0,1
MULKHOLA,1075,0,0,1,0,0
NIGALCHULA,432,0,0,0,0,5
PHALAWANG,1099,22,1,0,0,6
PIPAL NETA,421,5,0,0,0,1
RIM,821,10,0,0,0,4
SAIJUWAL TAKURA,742,3,8,7,0,16
SARPANI GARPA,882,4,1,1,0,0
SIBARATHA,1118,2,1,16,0,0
SIDDHESWAR,914,7,11,0,0,11
SINWANG,707,0,0,0,0,12
SUIKOT,1141,5,0,5,2,10
SYANIKHAL,880,1,0,3,0,14
THARMARE,1604,27,13,13,1,2
TRIBENI,1014,14,9,0,0,7
TOTAL,44846,502,345,386,14,431
