VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AANPTAR,772,5,0,79,2,4
BALAMTA,458,1,0,13,0,0
BARAHA,536,0,0,0,1,1
BARRE,400,2,1,440,0,8
BANSBOTE,406,0,0,22,0,3
BASHAHA,3,16,25,2188,1,7
BELTAR,81,189,102,2744,10,2
BHUTTAR,170,4,1,447,0,13
CHAUDANDI,64,0,0,686,0,6
DUMRE,164,0,1,303,2,1
HADIYA,8,34,9,2301,2,1
HARDENI,352,27,0,323,0,4
INAME,568,0,0,12,2,5
JALPACHILAUNE,169,48,4,586,0,0
JANTE,397,1,0,14,0,0
JOGIDAHA,1,28,7,1413,2,0
KATARI,401,467,393,2875,5,37
KATUNJE BABALA,5,0,1,1057,1,1
KHANBU,185,6,1,590,0,0
LAPHAGAUN,359,0,1,199,2,1
LEKHANI,279,3,3,397,0,4
LEKHGAUN,347,0,4,127,0,2
LIMPATAR,353,0,3,148,0,0
MAINAMAINI,11,0,4,954,1,1
NAMETAR,399,0,1,11,0,5
OKHALE,371,1,0,122,6,7
PACHCHAWATI,117,5,4,1847,0,0
POKHARI,314,5,0,329,2,6
RAUTA,439,140,9,944,0,3
RISKU,46,8,1,1723,4,6
RUPATAR,631,1,0,46,0,5
SAUNE,115,12,3,387,0,1
SHORUNG CHHABISE,332,1,0,377,0,8
SIDDHIPUR,156,5,1,617,0,0
SIRISE,169,3,0,615,0,8
SUNDARPUR,5,75,3,1178,0,0
TAMLICHHA,458,0,2,1,0,2
TAPESWORI,33,46,12,2096,13,6
TAWASHREE,177,23,0,940,11,3
THANAGAU,379,0,1,64,0,2
THOKSILA,5,10,11,4645,6,11
TRIBENI,5,47,27,1769,0,16
TRIYUGA MUNICIPALITY,495,3541,2129,9631,35,95
VALAYADANDA,162,3,0,1558,2,5
MAYANKHU,234,2,1,240,0,1
TOTAL,11531,4759,2765,47058,110,291
