VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AANPTAR,858,2,0,1,0,0,0,1
BALAMTA,472,0,0,0,0,0,0,0
BARAHA,533,4,0,0,0,0,0,1
BARRE,837,7,1,3,0,0,0,3
BANSBOTE,421,1,0,5,1,0,0,3
BASHAHA,2109,14,36,5,73,0,0,3
BELTAR,2831,9,177,3,106,0,1,1
BHUTTAR,617,0,1,3,1,0,0,13
CHAUDANDI,739,5,1,2,2,0,1,6
DUMRE,460,5,0,5,0,0,0,1
HADIYA,2302,10,10,2,31,0,0,0
HARDENI,693,5,3,0,0,0,0,5
INAME,583,1,0,0,0,0,0,3
JALPACHILAUNE,764,8,2,4,2,27,0,0
JANTE,410,1,0,1,0,0,0,0
JOGIDAHA,1438,4,4,2,3,0,0,0
KATARI,3496,10,601,9,29,2,10,21
KATUNJE BABALA,1051,13,0,1,0,0,0,0
KHANBU,764,9,2,7,0,0,0,0
LAPHAGAUN,557,0,0,3,0,0,1,1
LEKHANI,579,1,100,1,2,0,1,2
LEKHGAUN,476,2,0,0,0,0,0,2
LIMPATAR,500,1,1,2,0,0,0,0
MAINAMAINI,957,7,1,5,0,0,0,1
NAMETAR,408,1,0,3,0,0,0,4
OKHALE,499,1,0,0,0,0,0,7
PACHCHAWATI,1946,5,18,3,1,0,0,0
POKHARI,625,8,10,9,0,0,0,4
RAUTA,1495,5,30,1,0,0,1,3
RISKU,1737,4,1,18,24,2,0,2
RUPATAR,675,1,0,2,1,0,0,4
SAUNE,510,2,1,2,2,0,0,1
SHORUNG CHHABISE,697,5,1,3,3,1,0,8
SIDDHIPUR,755,7,10,7,0,0,0,0
SIRISE,782,4,1,0,0,0,0,8
SUNDARPUR,1229,3,2,3,23,1,0,0
TAMLICHHA,461,0,0,1,0,0,0,1
TAPESWORI,2089,11,40,17,44,1,0,4
TAWASHREE,991,30,0,122,9,0,0,2
THANAGAU,441,2,0,0,0,0,0,3
THOKSILA,4537,41,44,12,39,0,0,15
TRIBENI,1763,15,26,8,35,2,0,15
TRIYUGA MUNICIPALITY,12346,58,2712,21,448,235,50,56
VALAYADANDA,1715,2,3,5,1,2,0,2
MAYANKHU,473,0,0,1,3,0,0,1
TOTAL,60621,324,3839,302,883,273,65,207
