VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BAGESWORI,810,290,23,6,0,8
BALKOT,784,1691,1450,6,12,56
BHAKTAPUR MUNICIPALITY,8623,4154,4513,53,14,282
CHANGUNARAYAN,1033,221,99,14,4,3
CHHALING,1525,196,69,16,6,5
CHITAPOL,954,272,31,9,2,6
DADHIKOT,973,661,1024,5,6,19
DUWAKOT,825,867,588,25,5,102
GUNDU,990,221,42,1,2,1
JHAUKHEL,967,557,86,1,5,15
KAUTUNJE,839,1546,2215,3,1,88
MADHYAPUR THIMI MUNICIPALITY,4382,5559,9727,93,204,337
NAGARKOT,820,82,43,22,3,3
NANKHEL,890,259,70,5,0,1
SIPADOL,889,685,671,13,2,18
SIRUTAR,574,338,110,3,2,6
SUDAL,1350,143,50,4,5,10
TATHALI,1041,152,57,11,0,3
TOTAL,28269,17894,20868,290,273,963
