VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAGESWORI,1091,28,8,0,6,4
BALKOT,3935,15,17,3,1,28
BHAKTAPUR MUNICIPALITY,17395,65,61,2,17,99
CHANGUNARAYAN,1350,16,0,0,5,3
CHHALING,1757,30,14,1,11,4
CHITAPOL,1222,29,15,3,4,1
DADHIKOT,2643,19,5,1,3,17
DUWAKOT,2322,30,6,3,2,49
GUNDU,1227,21,6,1,1,1
JHAUKHEL,1585,19,3,6,1,17
KAUTUNJE,4589,21,25,0,2,55
MADHYAPUR THIMI MUNICIPALITY,19867,185,67,10,43,130
NAGARKOT,923,43,3,2,1,1
NANKHEL,1171,39,12,2,0,1
SIPADOL,2238,21,2,5,2,10
SIRUTAR,1015,9,2,3,1,3
SUDAL,1483,53,4,6,5,11
TATHALI,1224,27,1,1,8,3
TOTAL,67037,670,251,49,113,437
