VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAGESWORI,1018,101,7,11
BALKOT,2203,1741,6,49
BHAKTAPUR MUNICIPALITY,11796,5569,151,123
CHANGUNARAYAN,1257,103,0,14
CHHALING,1672,102,3,40
CHITAPOL,1171,97,2,4
DADHIKOT,1905,749,10,24
DUWAKOT,1692,700,5,15
GUNDU,1217,35,0,5
JHAUKHEL,1467,156,3,5
KAUTUNJE,2381,2281,24,6
MADHYAPUR THIMI MUNICIPALITY,10024,9683,140,455
NAGARKOT,887,57,0,29
NANKHEL,1122,83,5,15
SIPADOL,1517,720,7,34
SIRUTAR,960,65,2,6
SUDAL,1508,39,5,10
TATHALI,1191,68,2,3
TOTAL,44988,22349,372,848
