VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BAGESWORI,74,529,203,319,0,0,2,10
BALKOT,25,322,229,3338,15,0,6,64
BHAKTAPUR MUNICIPALITY,91,8055,910,8190,40,4,24,325
CHANGUNARAYAN,82,786,146,340,14,0,1,5
CHHALING,76,699,689,346,2,0,0,5
CHITAPOL,42,687,224,308,4,0,0,9
DADHIKOT,43,558,333,1714,9,0,4,27
DUWAKOT,48,492,305,1447,1,2,9,108
GUNDU,38,587,344,286,0,0,1,1
JHAUKHEL,41,584,332,651,2,1,2,18
KAUTUNJE,28,612,190,3754,5,0,2,101
MADHYAPUR THIMI MUNICIPALITY,81,3365,1176,15193,79,8,40,360
NAGARKOT,33,828,20,87,0,0,0,5
NANKHEL,40,618,208,354,2,0,0,3
SIPADOL,19,772,122,1339,3,0,0,23
SIRUTAR,19,228,241,539,0,0,0,6
SUDAL,53,790,495,211,1,0,1,11
TATHALI,35,530,463,225,2,1,1,7
TOTAL,868,21042,6630,38641,179,16,93,1088
