VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ARNAHA,4979,2430,2549,6,1,5,3,1,2,1,1,0,2,1,1,3,1,2,4,2,2,8,5,3,0,0,0
AURAHI,5235,2562,2673,28,17,11,12,9,3,6,4,2,0,0,0,6,2,4,10,8,2,0,0,0,3,2,1
BADGAMA,4567,2202,2365,29,19,10,13,10,3,16,10,6,5,3,2,7,4,3,3,2,1,2,1,1,1,0,1
BAIRAWA,4552,2291,2261,15,10,5,9,6,3,7,0,7,1,1,0,8,5,3,4,1,3,0,0,0,1,1,0
BAKDHAUWA,8256,3984,4272,45,24,21,15,8,7,12,4,8,5,2,3,20,8,12,7,5,2,3,0,3,2,1,1
BAMANGAMAKATTI,8034,4147,3887,11,7,4,11,5,6,2,1,1,2,1,1,7,3,4,1,1,0,0,0,0,0,0,0
BANAINIYA,3983,1957,2026,16,10,6,4,1,3,2,1,1,0,0,0,3,2,1,3,0,3,1,0,1,0,0,0
BANARJHULA,4409,2015,2394,3,2,1,2,1,1,4,2,2,1,0,1,2,2,0,0,0,0,2,0,2,1,1,0
BANAULA,3324,1540,1784,23,13,10,13,6,7,9,6,3,0,0,0,8,3,5,2,2,0,2,1,1,7,4,3
BANAULI,5716,2741,2975,19,11,8,9,6,3,2,0,2,0,0,0,2,1,1,1,1,0,4,4,0,4,2,2
BARAMJHIYA,4551,2173,2378,30,19,11,33,10,23,19,11,8,0,0,0,13,8,5,3,3,0,2,1,1,29,14,15
BARSAIN (KO.),5372,2631,2741,35,25,10,17,10,7,7,5,2,1,1,0,15,10,5,7,5,2,0,0,0,4,4,0
BASBALPUR,3109,1397,1712,19,12,7,6,3,3,2,1,1,1,0,1,6,3,3,3,1,2,4,2,2,1,1,0
BASBITI,3590,1678,1912,32,14,18,14,4,10,14,4,10,0,0,0,4,2,2,6,3,3,3,3,0,3,2,1
BATHANAHA,4971,2466,2505,14,6,8,5,2,3,5,3,2,1,0,1,7,5,2,0,0,0,1,0,1,7,4,3
BELHI,4325,2122,2203,18,9,9,8,5,3,4,1,3,1,0,1,3,2,1,3,3,0,1,0,1,3,2,1
BELHICHAPENA,5768,2764,3004,15,8,7,3,2,1,2,2,0,0,0,0,8,5,3,9,6,3,1,1,0,1,0,1
BHAGAWATPUR,4981,2506,2475,21,16,5,5,2,3,4,3,1,3,2,1,6,4,2,1,1,0,0,0,0,1,1,0
BHANGAHA,6066,2889,3177,24,15,9,10,3,7,3,3,0,0,0,0,10,6,4,2,1,1,2,1,1,2,1,1
BHARDAHA,7048,3493,3555,28,15,13,10,5,5,4,4,0,1,1,0,18,8,10,9,4,5,2,1,1,4,2,2
BHUTAHI,3974,1874,2100,24,15,9,7,5,2,5,2,3,0,0,0,4,1,3,1,0,1,1,0,1,0,0,0
BIRPUR BARAHI,6333,3061,3272,37,24,13,56,28,28,61,27,34,0,0,0,6,1,5,7,6,1,2,2,0,2,1,1
BISHAHARIYA,7055,3602,3453,33,19,14,11,5,6,6,1,5,3,2,1,5,5,0,3,3,0,0,0,0,4,3,1
BODEBARSAIEN,5609,2802,2807,2,2,0,4,2,2,1,1,0,1,1,0,8,7,1,6,5,1,1,0,1,1,1,0
BORIYA,4812,2453,2359,12,6,6,4,3,1,7,4,3,0,0,0,3,2,1,6,3,3,3,3,0,2,1,1
BRAHMAPUR,4584,2154,2430,33,14,19,11,9,2,11,7,4,1,1,0,9,6,3,12,9,3,2,2,0,10,7,3
CHHINNAMASTA,10042,5056,4986,37,25,12,14,9,5,8,5,3,1,1,0,20,13,7,10,6,4,1,1,0,3,2,1
DADHA,6241,3016,3225,23,14,9,6,2,4,4,1,3,1,1,0,8,4,4,6,4,2,1,1,0,0,0,0
DAULATPUR,4661,2212,2449,41,18,23,42,18,24,10,1,9,2,2,0,9,6,3,5,3,2,1,1,0,4,1,3
DEURI,4609,2305,2304,44,25,19,28,14,14,9,4,5,4,3,1,16,13,3,20,6,14,3,3,0,5,5,0
DEURIMARUWA,3298,1657,1641,14,10,4,6,2,4,6,1,5,1,1,0,1,1,0,5,4,1,0,0,0,0,0,0
DHANAGADI,5147,2512,2635,29,17,12,1,1,0,14,4,10,0,0,0,4,4,0,3,2,1,1,1,0,2,2,0
DHARAMPUR,5469,2584,2885,30,18,12,8,5,3,6,5,1,1,1,0,20,11,9,7,3,4,2,1,1,2,2,0
DHODHANPUR,5807,2859,2948,20,14,6,5,2,3,1,1,0,0,0,0,15,11,4,6,5,1,4,2,2,6,4,2
DIDHAWA,4220,2129,2091,11,8,3,3,3,0,1,0,1,0,0,0,6,5,1,0,0,0,4,2,2,4,3,1
DIMAN,4185,2106,2079,50,32,18,17,10,7,3,2,1,0,0,0,9,3,6,14,9,5,1,1,0,4,4,0
FAKIRA,5444,2667,2777,16,13,3,7,3,4,2,2,0,0,0,0,5,4,1,2,2,0,0,0,0,1,1,0
FARSETH,3473,1753,1720,12,8,4,4,3,1,4,3,1,4,2,2,11,6,5,5,4,1,1,1,0,1,0,1
FATEPUR,11188,5207,5981,24,13,11,18,10,8,16,11,5,2,1,1,28,11,17,11,7,4,2,2,0,14,6,8
FULKAHI,4978,2527,2451,21,10,11,38,19,19,5,3,2,6,2,4,5,3,2,10,6,4,7,2,5,4,3,1
GAMHARIYA PARWAHA,6078,2992,3086,31,21,10,15,10,5,5,3,2,1,0,1,4,3,1,6,4,2,3,2,1,2,1,1
GOBAR GADA,1772,940,832,10,2,8,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
GOITHI,3706,1743,1963,25,16,9,3,0,3,0,0,0,1,0,1,8,3,5,3,1,2,0,0,0,5,4,1
HANUMANNAGAR,6207,3143,3064,27,18,9,13,7,6,6,4,2,3,1,2,6,4,2,7,6,1,3,2,1,3,0,3
HARDIYA,5185,2411,2774,34,20,14,9,6,3,31,15,16,5,4,1,11,7,4,6,2,4,2,1,1,3,1,2
HARIHARPUR,4590,2229,2361,11,8,3,15,5,10,4,3,1,3,2,1,5,4,1,2,2,0,1,0,1,1,1,0
HARIPUR,5358,2561,2797,23,12,11,7,4,3,3,3,0,0,0,0,9,6,3,4,2,2,0,0,0,2,1,1
INARWA,3885,1918,1967,9,7,2,8,4,4,4,3,1,0,0,0,8,7,1,2,2,0,2,1,1,0,0,0
INARWA FULBARIYA,5321,2414,2907,39,22,17,19,7,12,6,3,3,3,1,2,5,3,2,10,5,5,0,0,0,0,0,0
ITAHARI BISHNUPUR,6286,3183,3103,23,15,8,5,3,2,5,3,2,0,0,0,11,6,5,3,1,2,1,1,0,1,0,1
JAGATPUR,4609,2146,2463,20,14,6,5,0,5,3,1,2,1,1,0,5,3,2,5,4,1,0,0,0,1,1,0
JAMUNIMADHEPURA,7678,3763,3915,39,23,16,16,6,10,6,4,2,1,1,0,13,9,4,7,3,4,2,2,0,4,3,1
JANDAUL,4285,1960,2325,20,9,11,8,2,6,17,9,8,2,0,2,14,11,3,5,4,1,4,3,1,5,3,2
JHUTAKI,3985,2003,1982,20,16,4,9,5,4,3,2,1,1,0,1,8,8,0,7,5,2,0,0,0,0,0,0
JOGINIYA-1,4411,2199,2212,5,3,2,3,2,1,3,3,0,1,1,0,9,7,2,5,5,0,1,1,0,4,2,2
JOGINIYA-2,4435,2028,2407,26,16,10,17,8,9,0,0,0,0,0,0,3,2,1,5,3,2,0,0,0,3,2,1
KABILASH,3837,1818,2019,36,19,17,23,8,15,17,11,6,2,1,1,10,4,6,8,2,6,0,0,0,3,1,2
KACHAN,4132,1960,2172,24,16,8,13,10,3,6,5,1,1,1,0,11,7,4,3,1,2,2,0,2,7,6,1
KALYANPUR,8592,4064,4528,55,36,19,22,14,8,21,12,9,2,2,0,20,10,10,9,4,5,1,1,0,2,1,1
KAMALPUR,5240,2574,2666,27,21,6,23,11,12,15,10,5,1,1,0,16,11,5,3,1,2,1,1,0,8,5,3
KANCHANPUR,7326,3747,3579,50,26,24,15,8,7,8,2,6,2,0,2,18,11,7,13,8,5,1,1,0,2,1,1
KATAIYA,4943,2338,2605,15,13,2,8,6,2,2,1,1,1,0,1,8,5,3,3,2,1,3,1,2,4,3,1
KHADGAPUR,4622,2355,2267,34,18,16,9,4,5,3,2,1,5,2,3,6,3,3,4,2,2,1,1,0,13,7,6
KHOJPUR,5009,2372,2637,16,10,6,11,8,3,6,4,2,1,1,0,10,7,3,9,7,2,1,0,1,0,0,0
KHOKSARPARBAHA,4472,2199,2273,35,19,16,23,10,13,20,10,10,0,0,0,18,11,7,7,5,2,1,0,1,0,0,0
KO. MADHEPURA,4544,2326,2218,17,9,8,10,9,1,17,9,8,1,0,1,11,8,3,4,3,1,2,0,2,2,2,0
KOCHABAKHARI,6182,3142,3040,16,9,7,16,9,7,6,2,4,2,0,2,11,7,4,4,1,3,0,0,0,4,2,2
KOILADI,4703,2412,2291,11,4,7,1,1,0,4,4,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,0
KUSHAHA,6638,3092,3546,19,10,9,6,1,5,4,1,3,1,0,1,14,7,7,6,2,4,3,2,1,4,3,1
LALAPATI,5410,2702,2708,42,27,15,24,14,10,12,5,7,1,0,1,10,5,5,4,2,2,1,1,0,5,3,2
LAUNIYA,3485,1775,1710,22,15,7,2,1,1,1,1,0,3,1,2,0,0,0,0,0,0,2,0,2,4,4,0
LOHAJARA,5541,2690,2851,13,7,6,5,3,2,2,1,1,0,0,0,1,0,1,4,3,1,2,1,1,2,1,1
MADHAWAPUR,5645,2751,2894,51,26,25,7,3,4,4,1,3,0,0,0,5,4,1,5,3,2,6,5,1,7,3,4
MADHUPATI,4752,2279,2473,20,12,8,1,0,1,2,1,1,6,6,0,0,0,0,4,3,1,1,1,0,0,0,0
MAHADEVA,5767,2968,2799,12,9,3,15,9,6,7,4,3,0,0,0,3,1,2,0,0,0,3,3,0,0,0,0
MAINAKADERI,3174,1571,1603,11,7,4,9,5,4,2,1,1,0,0,0,5,5,0,2,2,0,2,1,1,1,1,0
MAINASAHASRABAHU,3933,1787,2146,38,15,23,47,25,22,6,1,5,1,1,0,10,6,4,3,2,1,6,2,4,3,3,0
MALEKPUR,6524,3094,3430,31,18,13,11,8,3,7,4,3,2,1,1,9,4,5,10,6,4,4,2,2,3,1,2
MALETH,6638,3241,3397,28,19,9,10,8,2,9,5,4,0,0,0,10,7,3,1,1,0,0,0,0,0,0,0
MALHANAMA,4329,2087,2242,1,0,1,6,5,1,2,0,2,1,0,1,10,4,6,4,0,4,2,1,1,1,1,0
MALHANIYA,7671,3695,3976,49,29,20,55,25,30,21,11,10,1,1,0,9,2,7,4,1,3,2,2,0,8,4,4
MANRAJA,4395,2159,2236,18,15,3,12,9,3,5,5,0,0,0,0,8,5,3,1,0,1,1,1,0,7,5,2
MAUWAHA,5010,2562,2448,18,15,3,12,8,4,3,1,2,1,0,1,6,4,2,8,4,4,1,1,0,20,10,10
MOHANPUR,5584,2697,2887,26,15,11,28,14,14,13,7,6,2,1,1,11,4,7,5,2,3,2,1,1,2,1,1
NARDHO,7143,3559,3584,35,20,15,17,11,6,13,6,7,1,0,1,19,12,7,1,0,1,1,1,0,5,3,2
NEGADA,4285,1934,2351,32,16,16,15,7,8,2,2,0,3,2,1,7,4,3,5,4,1,1,1,0,0,0,0
ODRAHA,4398,2061,2337,17,8,9,17,10,7,26,11,15,3,2,1,12,8,4,4,4,0,7,4,3,10,7,3
PAKARI,6350,3120,3230,27,15,12,8,3,5,4,3,1,0,0,0,13,11,2,6,4,2,0,0,0,4,1,3
PANSERA,4832,2172,2660,32,17,15,11,4,7,8,1,7,0,0,0,4,2,2,4,3,1,1,1,0,0,0,0
PATERWA,3830,1736,2094,24,15,9,17,8,9,7,2,5,0,0,0,3,2,1,7,5,2,1,1,0,0,0,0
PATO,5283,2607,2676,28,16,12,35,11,24,22,10,12,5,4,1,7,5,2,3,2,1,0,0,0,11,10,1
PATTHARGADA,5115,2425,2690,31,24,7,22,10,12,10,3,7,1,0,1,8,7,1,3,2,1,6,5,1,2,1,1
PIPRA PURBA,4338,2183,2155,28,14,14,7,4,3,6,2,4,5,2,3,7,4,3,6,3,3,1,0,1,1,1,0
PIPRA PASCHIM,4131,1919,2212,24,17,7,11,7,4,5,4,1,3,3,0,21,11,10,6,2,4,2,1,1,8,4,4
PORTAHA,5139,2566,2573,22,13,9,5,3,2,1,1,0,0,0,0,5,3,2,6,3,3,1,1,0,0,0,0
PRASABANI,6083,2895,3188,42,22,20,22,11,11,12,9,3,8,4,4,5,3,2,22,8,14,3,1,2,15,7,8
RAJBIRAJ MUNICIPALITY,37345,19455,17890,169,96,73,59,29,30,32,18,14,13,9,4,47,34,13,41,24,17,12,5,7,20,14,6
RAMNAGAR,2517,1153,1364,5,2,3,3,3,0,2,1,1,1,1,0,7,7,0,0,0,0,1,1,0,3,1,2
RAMPURAMALHANIYA,6724,3411,3313,27,16,11,8,5,3,4,1,3,2,2,0,9,6,3,9,6,3,3,2,1,0,0,0
RAMPURJAMUWA,4038,1835,2203,7,4,3,5,4,1,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0
RAUTAHAT,3559,1811,1748,24,16,8,9,5,4,9,4,5,1,1,0,3,2,1,3,3,0,1,0,1,3,0,3
RAYAPUR,10132,5039,5093,30,15,15,9,6,3,6,3,3,3,2,1,19,10,9,7,6,1,1,1,0,7,4,3
RUPNAGAR,5046,2368,2678,30,16,14,21,8,13,27,20,7,2,1,1,24,16,8,4,3,1,3,3,0,5,2,3
SAMBHUNATH,6522,3087,3435,54,32,22,19,10,9,11,4,7,2,0,2,7,7,0,6,3,3,0,0,0,11,7,4
SANKARPURA,4328,2206,2122,23,20,3,12,8,4,2,1,1,0,0,0,7,4,3,4,3,1,0,0,0,3,2,1
SARASWOR,5594,2792,2802,21,13,8,16,12,4,9,4,5,1,0,1,7,4,3,3,3,0,2,1,1,9,3,6
SIMRAHA SIGIYOUN,5074,2494,2580,56,41,15,28,13,15,27,9,18,5,4,1,6,4,2,8,7,1,5,3,2,4,3,1
SISWA BEIHI,6188,3008,3180,45,28,17,16,10,6,13,8,5,1,1,0,10,6,4,4,3,1,1,1,0,8,5,3
SITAPUR,4043,1844,2199,37,25,12,9,6,3,4,0,4,1,1,0,16,6,10,2,1,1,3,1,2,7,3,4
TARAHI,4626,2322,2304,28,15,13,12,5,7,16,9,7,3,1,2,4,2,2,9,3,6,1,1,0,5,2,3
TERAHAUTA,5151,2484,2667,33,21,12,14,5,9,12,4,8,1,0,1,8,6,2,4,2,2,2,1,1,5,2,3
THELIYA,6215,2942,3273,48,26,22,10,4,6,7,3,4,1,0,1,21,12,9,3,3,0,4,2,2,5,4,1
TIKULIYA,3194,1470,1724,8,2,6,2,1,1,4,3,1,2,0,2,5,3,2,2,1,1,1,0,1,3,0,3
TILATHI,3599,1813,1786,11,7,4,3,0,3,4,1,3,0,0,0,2,1,1,1,0,1,0,0,0,4,4,0
TRIKAULA,5129,2643,2486,21,12,9,19,10,9,16,7,9,0,0,0,5,2,3,4,3,1,1,1,0,5,2,3
INSTITUTIONAL,1435,1277,158,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
