VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ALAMPU,1587,758,829,785,439,346,164,83,81,638,236,402,0,0,0,49.464398235664774,57.9155672823219,41.73703256936068
BABARE,3155,1444,1711,1980,1030,950,78,29,49,1097,385,712,0,0,0,62.75752773375595,71.32963988919667,55.52308591466978
BHEDAPU,3448,1481,1967,2035,1070,965,197,87,110,1214,324,890,2,0,2,59.019721577726216,72.24848075624578,49.05948144382308
BHIMESHWOR MUNICIPALITY,20873,9640,11233,14999,7989,7010,963,349,614,4894,1297,3597,17,5,12,71.85838164135487,82.8734439834025,62.405412623519986
BHIRKOT,2313,1036,1277,1436,742,694,142,54,88,735,240,495,0,0,0,62.08387375702551,71.62162162162163,54.346123727486294
BHUSAFEDA,1948,888,1060,1076,600,476,81,35,46,791,253,538,0,0,0,55.23613963039015,67.56756756756756,44.905660377358494
BIGU,1468,693,775,752,422,330,18,10,8,688,255,433,10,6,4,51.22615803814714,60.89466089466089,42.58064516129032
BOCHA,2609,1090,1519,1576,761,815,69,32,37,956,296,660,8,1,7,60.40628593330778,69.81651376146789,53.653719552337066
BULUNG,1901,897,1004,1206,670,536,32,18,14,663,209,454,0,0,0,63.44029458179905,74.69342251950948,53.38645418326693
CHANKHU,1168,558,610,641,382,259,89,28,61,438,148,290,0,0,0,54.880136986301366,68.45878136200717,42.459016393442624
CHHETRAPA,2251,1011,1240,1470,779,691,67,23,44,714,209,505,0,0,0,65.30430919591292,77.05242334322453,55.725806451612904
CHILANKHA,2593,1245,1348,1656,897,759,88,39,49,849,309,540,0,0,0,63.864249903586575,72.04819277108435,56.30563798219585
CHYAMA,2446,1128,1318,1760,934,826,41,20,21,644,174,470,1,0,1,71.95421095666394,82.80141843971631,62.67071320182094
DANDAKHARKA,3763,1636,2127,2082,1086,996,201,87,114,1477,462,1015,3,1,2,55.328195588626095,66.38141809290954,46.82651622002821
TAMCHET DUDHPOKHARI,2271,1050,1221,1275,708,567,63,21,42,933,321,612,0,0,0,56.14266842800528,67.42857142857143,46.43734643734644
FASKU,3883,1646,2237,2374,1181,1193,86,45,41,1423,420,1003,0,0,0,61.13829513262941,71.74969623329282,53.33035315154224
GAIRIMUDI,3928,1792,2136,2300,1271,1029,119,57,62,1509,464,1045,0,0,0,58.55397148676171,70.92633928571429,48.174157303370784
GAURI SANKAR,892,426,466,460,263,197,7,6,1,425,157,268,0,0,0,51.569506726457405,61.737089201877936,42.27467811158798
GHYANG SUKATHOKAR,3828,1730,2098,2248,1204,1044,128,62,66,1451,464,987,1,0,1,58.7251828631139,69.59537572254335,49.76167778836987
HAWA,1567,709,858,965,509,456,111,33,78,491,167,324,0,0,0,61.582641991065735,71.79125528913963,53.14685314685315
JAPHE,3515,1693,1822,2426,1339,1087,131,62,69,958,292,666,0,0,0,69.01849217638691,79.09037212049616,59.659714599341385
JHULE,2052,906,1146,1290,655,635,53,23,30,709,228,481,0,0,0,62.86549707602339,72.29580573951435,55.41012216404887
JHYAKU,4134,1962,2172,2401,1363,1038,230,108,122,1503,491,1012,0,0,0,58.079342041606196,69.46992864424058,47.790055248618785
JIRI,6826,3176,3650,4491,2410,2081,179,76,103,2152,689,1463,4,1,3,65.7925578669792,75.88161209068011,57.013698630136986
JUNGU,3535,1606,1929,1991,1060,931,206,101,105,1338,445,893,0,0,0,56.322489391796324,66.0024906600249,48.26334888543287
KABHRE,4352,1957,2395,2947,1540,1407,113,47,66,1291,370,921,1,0,1,67.71599264705883,78.69187531936637,58.7473903966597
KALINCHOWK,2495,1253,1242,1309,770,539,64,27,37,1120,456,664,2,0,2,52.46492985971943,61.452513966480446,43.39774557165861
KATAKUTI,3455,1501,1954,2141,1092,1049,32,16,16,1280,392,888,2,1,1,61.96816208393633,72.75149900066621,53.68474923234391
KHARE,1692,865,827,929,574,355,58,29,29,705,262,443,0,0,0,54.90543735224587,66.35838150289017,42.926239419588875
