VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AJAGABI,132,143,12,258,1,2
AKOLAWA,290,107,3,493,1,35
AURAIYA,815,270,6,483,52,22
BADHARWA,60,103,15,608,0,16
BAGAHI,106,287,20,535,20,5
BALUWA MADANPUR,8,48,0,315,1,3
BAIRIYA,255,72,2,294,0,1
BANJARAHA,57,129,7,204,7,6
BARIYARPUR,114,206,11,828,3,28
BASANTAPATTI,221,174,8,684,0,9
BASATPUR,202,120,14,372,96,86
BASBITI JINGADIYA,54,158,52,571,38,5
BHALOHIYA(PIPRA),20,129,40,602,6,8
BHEDIYAHI,50,109,1,292,14,0
BIRTIPRASTOKA,0,52,8,578,0,7
BISHRAMPUR,28,193,43,1519,67,19
BISUNPURWA MANPUR,30,51,4,493,0,8
BRAHMAPURI,135,69,3,437,1,53
CHANDRANIGAHAPUR,146,991,318,3520,2,38
DEBAHI,95,126,8,732,11,26
DHARAMPUR,332,134,6,848,2,68
DHARHARI,55,86,26,264,0,9
DIPAHI,119,139,2,349,7,3
DUMARIYA(MATIAUNA),116,417,141,2005,26,54
DUMRIYA(PAROHA),253,108,4,255,18,20
FATUHA MAHESHPUR,290,37,21,393,1,4
FATUWA HARSAHA,2,69,89,541,0,7
GADHI BHANAWANPUR,0,6,0,133,3,3
GAMHARIYA BIRTA,179,140,11,705,8,16
GAMHARIYA PARSA,70,91,12,718,4,14
GANGAPIPARA,17,81,33,433,0,0
GARUDA BAIRIYA,45,371,108,195,0,22
GAUR MUNICIPALITY,979,2326,407,1743,71,109
GEDAHIGUTHI,62,123,3,513,4,4
HADIRYA PALTUWA,3,41,3,612,0,12
HAJMINIYA,111,202,7,423,12,1
HATHIYAHI,43,46,24,624,4,18
IHARBARI JYUTAHI,169,203,10,535,1,8
INARUWA,162,52,14,449,38,2
JATAHARA,686,69,28,284,56,49
JAYANAGAR,64,127,22,551,0,32
JETHRAHIYA,38,36,5,582,1,2
JHUNKHUNWA,194,157,23,664,57,11
JINGADAWA BELBICHWA,203,89,13,605,2,7
JOWAHA(JOKAHA),874,85,3,148,15,24
JUDIBELA,7,65,10,1071,0,11
KAKANPUR,80,162,67,1207,14,89
KARKACH KARMAIYA,42,144,41,843,41,10
KARUNIYA,106,52,18,864,6,24
KATAHARIYA,102,182,169,1059,38,14
KHESARHIYA,29,63,0,441,0,1
LAXMINIYA DO.,16,148,254,1353,92,30
LAXMIPUR (DO.),58,62,2,853,4,7
LAXMIPUR BELBICHAWA,50,122,26,423,0,13
LOKAHA,232,94,1,287,1,15
MADHOPUR,113,274,0,726,0,22
MAHAMADPUR,112,316,81,736,0,32
MALAHI,1,33,28,343,1,2
MARYADPUR,114,107,0,530,15,46
MASEDAWA,38,55,18,884,0,26
MATHIYA,481,77,32,156,38,13
MATSARI,10,247,38,375,23,5
MITHUAWA,76,139,5,371,36,19
MUDWALAWA,11,409,4,572,5,8
NARKATIYA GUTHI,355,159,5,391,123,56
PACHARUKHI,125,189,63,504,53,9
PATAURA,226,253,10,629,0,55
PATHARA BUDHARAM,270,127,6,578,4,22
PAURAI,21,351,65,1346,3,35
PIPARA POKHARIYA,84,66,2,607,177,21
PIPARIYA(DOSTIYA),105,93,14,515,0,4
PIPARIYA(PAROHA),393,158,28,561,17,20
PIPRA BHAGWANPUR,260,78,27,501,3,11
PIPRA RAJBARA,73,105,9,773,0,95
POTHIYAHI,198,255,8,513,1,14
PRATAPPUR PALTUWA,63,59,18,1162,4,44
PREMPUR GUNAHI,229,161,41,515,6,110
RAGHUNATHPUR,30,185,0,689,8,3
RAJDEVI,17,91,9,378,256,3
RAJPUR FARHADAWA,1180,179,11,1027,164,28
RAJPUR TULSI,158,90,17,606,1,5
RAMOLI BAIRIYA,41,60,5,794,0,18
RAMPUR KHAP,408,31,2,275,17,43
RANGAPUR,56,74,28,1764,10,13
SAKHUAWA,175,143,16,418,1,6
SAKHUWA DHAMAURA,161,279,32,1308,21,56
SAMANPUR,13,254,13,977,21,12
SANGRAMPUR,10,174,45,680,0,6
SANTAPUR(DOSTIYA),48,125,32,823,35,26
SANTPUR(MATIAUN),29,837,118,1661,1,40
SARMUJAWA,442,309,22,649,1,16
SARUATHA,332,245,20,646,24,20
SAUNARANIYA,81,152,1,548,49,7
SHITALPUR BAIRGANIA,30,132,14,833,30,27
SIMARA BHAWANIPUR,10,106,41,1236,30,68
TEJAPAKAR,242,67,12,458,58,33
TENGRAHA,16,146,11,692,7,5
TOTAL,15443,17256,3129,66541,2089,2194
