VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
JAYANAGAR,5116,2620,2496,1303,882,421,250,148,102,3008,1328,1680,555,262,293,25.46911649726349,33.664122137404576,16.866987179487182
JETHRAHIYA,3733,1891,1842,1463,919,544,112,53,59,2147,914,1233,11,5,6,39.19099919635682,48.59862506610259,29.53311617806732
JHUNKHUNWA,6096,3133,2963,2706,1708,998,244,119,125,3145,1305,1840,1,1,0,44.389763779527556,54.516437918927544,33.682078974012825
JINGADAWA BELBICHWA,5328,2664,2664,1478,977,501,48,23,25,3799,1663,2136,3,1,2,27.740240240240237,36.674174174174176,18.806306306306304
JOWAHA(JOKAHA),7373,3513,3860,2377,1443,934,438,163,275,4544,1903,2641,14,4,10,32.23925132239251,41.07600341588386,24.19689119170984
JUDIBELA,5288,2553,2735,3039,1665,1374,119,64,55,2126,821,1305,4,3,1,57.4697428139183,65.21739130434783,50.23765996343693
KAKANPUR,8957,4484,4473,4369,2611,1758,340,171,169,4228,1696,2532,20,6,14,48.77749246399464,58.229259589652095,39.30248155600268
KARKACH KARMAIYA,6660,3471,3189,2372,1641,731,162,99,63,4094,1718,2376,32,13,19,35.61561561561562,47.27744165946413,22.922546252743807
KARUNIYA,6601,3360,3241,1533,914,619,390,216,174,4674,2229,2445,4,1,3,23.223753976670203,27.20238095238095,19.09904350509102
KATAHARIYA,8739,4496,4243,3817,2505,1312,251,119,132,4670,1872,2798,1,0,1,43.677766334820916,55.7161921708185,30.92151779401367
