VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
JATAHARA,8755,4367,4388,41,22,19,19,8,11,31,18,13,8,5,3,20,8,12,13,11,2,2,1,1,2,1,1
JAYANAGAR,5625,2861,2764,33,22,11,11,6,5,4,1,3,2,1,1,7,5,2,3,3,0,3,2,1,4,4,0
JETHRAHIYA,4193,2124,2069,16,13,3,6,4,2,2,2,0,0,0,0,2,2,0,2,1,1,0,0,0,4,0,4
JHUNKHUNWA,6880,3531,3349,46,29,17,29,20,9,16,3,13,2,1,1,23,14,9,15,10,5,1,0,1,3,3,0
JINGADAWA BELBICHWA,6142,3068,3074,3,1,2,3,3,0,6,5,1,0,0,0,13,9,4,5,3,2,0,0,0,1,0,1
JOWAHA(JOKAHA),8248,3945,4303,29,20,9,27,16,11,28,17,11,2,0,2,9,5,4,9,2,7,6,2,4,3,3,0
JUDIBELA,5623,2705,2918,49,25,24,37,20,17,32,13,19,2,1,1,17,7,10,5,0,5,9,4,5,13,7,6
KAKANPUR,9957,4963,4994,30,19,11,8,5,3,4,3,1,1,1,0,15,11,4,3,2,1,0,0,0,5,4,1
KARKACH KARMAIYA,7398,3850,3548,68,38,30,35,21,14,13,7,6,4,3,1,14,7,7,12,5,7,2,0,2,17,10,7
KARUNIYA,7499,3770,3729,20,9,11,17,6,11,1,1,0,1,1,0,5,3,2,4,2,2,0,0,0,0,0,0
KATAHARIYA,9827,5065,4762,52,33,19,26,14,12,15,8,7,1,1,0,15,12,3,6,3,3,5,2,3,13,11,2
KHESARHIYA,2963,1513,1450,31,24,7,10,4,6,12,7,5,2,1,1,15,12,3,4,4,0,2,1,1,7,5,2
LAXMINIYA DO.,11167,5647,5520,39,26,13,47,25,22,27,14,13,8,3,5,32,18,14,10,6,4,2,2,0,14,10,4
LAXMIPUR (DO.),6848,3472,3376,32,15,17,10,4,6,4,2,2,0,0,0,21,12,9,2,2,0,0,0,0,5,0,5
LAXMIPUR BELBICHAWA,3542,1883,1659,9,5,4,0,0,0,2,2,0,0,0,0,3,3,0,2,1,1,1,1,0,1,1,0
LOKAHA,4779,2451,2328,25,17,8,7,5,2,15,6,9,1,1,0,6,4,2,1,1,0,1,1,0,2,1,1
MADHOPUR,7529,3878,3651,32,19,13,13,10,3,8,6,2,2,2,0,12,9,3,7,6,1,2,1,1,4,1,3
MAHAMADPUR,8279,4326,3953,33,25,8,12,10,2,3,3,0,2,1,1,4,3,1,6,2,4,2,1,1,6,5,1
MALAHI,2780,1424,1356,10,7,3,71,32,39,0,0,0,0,0,0,3,1,2,4,3,1,1,1,0,1,1,0
MARYADPUR,5354,2785,2569,17,11,6,14,4,10,1,0,1,2,1,1,7,3,4,5,4,1,3,1,2,4,2,2
MASEDAWA,6627,3407,3220,43,29,14,35,16,19,18,13,5,1,0,1,12,8,4,9,5,4,1,0,1,4,2,2
MATHIYA,5933,3044,2889,25,14,11,10,5,5,10,6,4,0,0,0,14,8,6,10,6,4,3,1,2,8,4,4
MATSARI,4299,2231,2068,8,6,2,7,3,4,5,0,5,0,0,0,2,0,2,2,1,1,0,0,0,0,0,0
MITHUAWA,3845,1973,1872,29,15,14,2,1,1,8,4,4,1,0,1,5,4,1,3,1,2,1,0,1,4,1,3
MUDWALAWA,4251,2226,2025,24,14,10,19,12,7,5,5,0,2,2,0,6,4,2,4,2,2,0,0,0,3,2,1
NARKATIYA GUTHI,7723,3933,3790,49,37,12,75,39,36,14,12,2,2,1,1,15,12,3,5,3,2,4,3,1,4,2,2
PACHARUKHI,5140,2671,2469,22,14,8,14,9,5,7,6,1,1,0,1,7,7,0,7,7,0,3,2,1,3,2,1
PATAURA,7987,4098,3889,13,7,6,24,7,17,6,5,1,0,0,0,11,7,4,5,3,2,5,4,1,1,1,0
PATHARA BUDHARAM,6925,3565,3360,24,13,11,8,6,2,2,1,1,0,0,0,5,5,0,1,1,0,1,0,1,6,4,2
PAURAI,9393,4619,4774,81,47,34,29,16,13,16,9,7,6,4,2,47,31,16,8,4,4,3,2,1,30,13,17
PIPARA POKHARIYA,6341,3298,3043,31,20,11,6,5,1,5,3,2,4,2,2,5,3,2,1,1,0,0,0,0,3,3,0
PIPARIYA(DOSTIYA),4880,2486,2394,16,13,3,10,8,2,5,4,1,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0
PIPARIYA(PAROHA),8060,4162,3898,69,39,30,30,16,14,12,5,7,2,2,0,11,9,2,12,8,4,1,1,0,0,0,0
PIPRA BHAGWANPUR,6075,3153,2922,66,36,30,57,32,25,21,15,6,2,2,0,39,23,16,27,21,6,10,6,4,3,3,0
PIPRA RAJBARA,6952,3623,3329,25,17,8,14,8,6,4,2,2,4,2,2,7,2,5,2,2,0,0,0,0,0,0,0
POTHIYAHI,6865,3513,3352,17,14,3,11,5,6,6,3,3,2,1,1,8,3,5,3,2,1,1,0,1,0,0,0
PRATAPPUR PALTUWA,9080,4583,4497,33,18,15,11,8,3,5,4,1,1,1,0,3,2,1,7,6,1,2,0,2,10,6,4
