VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AJAGABI,9,4,5,920,549,371,308,219,89,206,157,49,19,15,4,55,36,19,16,15,1,6,5,1,0,0,0,1,1,0,4,2,2
AKOLAWA,56,28,28,829,471,358,251,178,73,122,93,29,58,40,18,37,31,6,22,18,4,1,1,0,2,1,1,1,1,0,9,5,4
AURAIYA,167,107,60,2226,1300,926,878,591,287,433,306,127,376,275,101,278,202,76,118,89,29,24,22,2,8,7,1,7,5,2,8,4,4
BADHARWA,54,30,24,1007,597,410,396,277,119,209,159,50,179,146,33,73,60,13,27,22,5,5,5,0,0,0,0,14,4,10,13,10,3
BAGAHI,14,12,2,1297,776,521,441,313,128,141,103,38,187,158,29,89,64,25,33,29,4,4,4,0,1,0,1,5,3,2,1,1,0
BALUWA MADANPUR,2,1,1,423,249,174,206,143,63,97,75,22,96,77,19,88,65,23,9,8,1,0,0,0,0,0,0,5,2,3,11,6,5
BAIRIYA,44,29,15,430,229,201,137,100,37,90,60,30,82,49,33,50,39,11,48,46,2,3,3,0,256,133,123,11,9,2,7,1,6
BANJARAHA,27,14,13,512,320,192,239,141,98,93,68,25,141,103,38,81,60,21,23,17,6,1,1,0,2,1,1,12,4,8,4,2,2
BARIYARPUR,19,10,9,1403,773,630,576,341,235,262,177,85,249,196,53,134,104,30,27,23,4,4,4,0,2,1,1,3,1,2,32,17,15
BASANTAPATTI,13,11,2,1241,700,541,468,306,162,178,129,49,226,177,49,183,140,43,37,31,6,8,8,0,9,2,7,4,2,2,34,20,14
BASATPUR,23,17,6,1114,605,509,431,261,170,226,152,74,345,231,114,229,174,55,93,75,18,26,20,6,1,1,0,23,9,14,29,13,16
BASBITI JINGADIYA,48,34,14,878,519,359,318,214,104,197,157,40,97,78,19,94,70,24,30,25,5,1,1,0,9,5,4,21,16,5,27,16,11
BHALOHIYA(PIPRA),6,6,0,670,381,289,366,213,153,221,145,76,135,94,41,273,167,106,114,90,24,22,18,4,1,1,0,16,9,7,16,8,8
BHEDIYAHI,4,2,2,382,242,140,182,135,47,99,75,24,121,106,15,51,42,9,19,18,1,1,1,0,0,0,0,1,0,1,3,2,1
BIRTIPRASTOKA,38,19,19,733,424,309,316,202,114,110,84,26,73,57,16,86,55,31,35,31,4,9,9,0,3,1,2,20,15,5,2,1,1
BISHRAMPUR,154,82,72,2209,1308,901,690,447,243,352,241,111,267,201,66,323,244,79,111,86,25,23,22,1,3,2,1,108,77,31,77,53,24
BISUNPURWA MANPUR,3,3,0,536,346,190,188,128,60,85,76,9,86,74,12,62,46,16,18,17,1,3,3,0,3,2,1,41,29,12,18,10,8
BRAHMAPURI,8,5,3,765,397,368,415,215,200,236,142,94,333,213,120,198,157,41,121,85,36,24,19,5,2,1,1,4,2,2,43,21,22
CHANDRANIGAHAPUR,557,292,265,6275,3530,2745,2836,1502,1334,1653,908,745,2087,1166,921,1216,684,532,516,334,182,151,116,35,6,5,1,199,86,113,71,37,34
DEBAHI,215,130,85,888,529,359,404,271,133,219,168,51,165,139,26,168,121,47,37,33,4,6,5,1,0,0,0,1,0,1,18,12,6
DHARAMPUR,13,9,4,797,479,318,351,252,99,188,151,37,189,151,38,109,82,27,14,11,3,2,2,0,2,2,0,83,45,38,76,42,34
DHARHARI,6,3,3,589,323,266,243,165,78,231,165,66,46,39,7,103,80,23,30,28,2,17,16,1,0,0,0,0,0,0,21,8,13
DIPAHI,36,19,17,855,507,348,317,190,127,179,131,48,178,136,42,135,98,37,30,26,4,10,10,0,3,0,3,1,0,1,15,4,11
DUMARIYA(MATIAUNA),75,43,32,3329,1837,1492,1390,803,587,786,505,281,971,630,341,563,330,233,132,92,40,33,27,6,4,2,2,186,91,95,141,90,51
DUMRIYA(PAROHA),10,3,7,630,353,277,332,210,122,128,93,35,220,167,53,97,68,29,26,21,5,0,0,0,19,5,14,64,43,21,35,21,14
FATUHA MAHESHPUR,2,1,1,626,313,313,193,106,87,96,66,30,36,25,11,71,54,17,13,11,2,0,0,0,77,37,40,21,15,6,14,9,5
FATUWA HARSAHA,10,7,3,918,527,391,413,251,162,213,145,68,197,123,74,116,72,44,37,22,15,7,6,1,2,2,0,3,2,1,25,15,10
GADHI BHANAWANPUR,5,2,3,134,86,48,45,38,7,27,23,4,19,15,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAMHARIYA BIRTA,71,44,27,921,546,375,388,282,106,167,110,57,196,142,54,121,82,39,30,26,4,7,7,0,5,3,2,23,18,5,107,71,36
GAMHARIYA PARSA,48,26,22,915,546,369,275,193,82,119,89,30,85,71,14,40,35,5,9,7,2,5,3,2,34,10,24,4,2,2,7,2,5
GANGAPIPARA,3,1,2,642,347,295,292,190,102,168,123,45,176,133,43,73,49,24,53,42,11,32,26,6,0,0,0,1,1,0,0,0,0
GARUDA BAIRIYA,199,128,71,1009,550,459,532,334,198,293,196,97,332,225,107,296,199,97,99,87,12,19,18,1,9,8,1,5,1,4,14,7,7
GAUR MUNICIPALITY,281,178,103,7463,4023,3440,3428,1943,1485,2180,1416,764,2088,1369,719,1891,1230,661,1054,765,289,266,206,60,30,22,8,37,15,22,266,155,111
GEDAHIGUTHI,26,16,10,951,523,428,251,172,79,119,86,33,100,70,30,88,69,19,13,11,2,4,4,0,0,0,0,8,1,7,13,8,5
HADIRYA PALTUWA,2,2,0,575,337,238,201,150,51,72,54,18,102,78,24,71,58,13,18,14,4,3,3,0,3,2,1,4,3,1,10,9,1
HAJMINIYA,2,2,0,870,490,380,397,254,143,164,113,51,278,202,76,120,87,33,53,44,9,9,8,1,1,0,1,1,1,0,8,4,4
HATHIYAHI,6,2,4,1378,799,579,317,219,98,118,90,28,105,77,28,100,71,29,23,20,3,8,8,0,1,0,1,2,1,1,17,9,8
IHARBARI JYUTAHI,53,33,20,1181,718,463,526,371,155,137,106,31,151,122,29,107,85,22,42,34,8,30,25,5,7,7,0,2,2,0,17,14,3
INARUWA,43,21,22,747,415,332,211,163,48,153,118,35,40,28,12,71,53,18,22,20,2,10,10,0,2,2,0,3,2,1,7,6,1
JATAHARA,46,21,25,1587,911,676,547,383,164,185,140,45,95,78,17,46,35,11,16,12,4,1,1,0,4,3,1,18,14,4,15,7,8
JAYANAGAR,101,50,51,637,420,217,243,167,76,146,115,31,89,71,18,71,49,22,20,15,5,4,4,0,55,17,38,1,0,1,11,9,2
JETHRAHIYA,5,3,2,731,395,336,360,231,129,211,165,46,101,78,23,73,48,25,21,17,4,4,3,1,0,0,0,0,0,0,12,8,4
JHUNKHUNWA,21,10,11,1363,755,608,493,316,177,278,211,67,166,113,53,222,170,52,93,83,10,21,19,2,8,7,1,10,8,2,39,18,21
JINGADAWA BELBICHWA,206,115,91,544,345,199,240,154,86,101,74,27,106,84,22,60,49,11,42,37,5,10,8,2,12,6,6,161,107,54,11,7,4
JOWAHA(JOKAHA),7,5,2,1219,646,573,423,286,137,278,216,62,90,63,27,55,39,16,17,14,3,1,0,1,23,16,7,30,25,5,247,139,108
JUDIBELA,79,43,36,1392,774,618,636,369,267,380,209,171,396,215,181,168,72,96,32,14,18,10,9,1,1,1,0,50,22,28,1,1,0
KAKANPUR,90,57,33,2048,1120,928,741,465,276,388,232,156,470,343,127,188,122,66,49,32,17,11,9,2,21,11,10,103,75,28,273,153,120
KARKACH KARMAIYA,60,38,22,1399,890,509,458,328,130,192,161,31,193,150,43,102,77,25,25,25,0,2,1,1,5,5,0,4,2,2,4,4,0
KARUNIYA,92,46,46,901,528,373,230,150,80,129,101,28,12,10,2,30,23,7,11,11,0,1,1,0,43,13,30,3,2,1,88,32,56
KATAHARIYA,112,67,45,2299,1399,900,761,541,220,247,168,79,317,246,71,180,119,61,39,34,5,13,13,0,0,0,0,4,1,3,4,1,3
KHESARHIYA,7,3,4,576,341,235,213,124,89,76,49,27,201,147,54,90,59,31,26,20,6,3,3,0,0,0,0,3,3,0,0,0,0
LAXMINIYA DO.,157,88,69,2546,1390,1156,1216,749,467,723,481,242,453,320,133,291,172,119,123,97,26,41,35,6,2,2,0,37,29,8,23,14,9
LAXMIPUR (DO.),44,31,13,1548,932,616,401,301,100,169,136,33,150,114,36,54,44,10,22,18,4,2,2,0,100,40,60,7,3,4,2,2,0
LAXMIPUR BELBICHAWA,10,10,0,726,406,320,385,265,120,112,93,19,168,142,26,65,51,14,20,17,3,2,2,0,0,0,0,23,15,8,11,8,3
LOKAHA,15,11,4,757,459,298,259,167,92,153,106,47,116,85,31,160,123,37,19,17,2,8,8,0,69,26,43,25,10,15,22,9,13
MADHOPUR,22,15,7,1377,879,498,541,383,158,203,138,65,176,136,40,139,113,26,39,36,3,5,4,1,1,0,1,16,13,3,14,6,8
MAHAMADPUR,260,157,103,1592,943,649,656,437,219,254,198,56,330,262,68,236,165,71,74,67,7,9,9,0,3,2,1,59,45,14,18,12,6
MALAHI,1,0,1,451,270,181,154,104,50,52,44,8,110,91,19,49,37,12,14,14,0,1,1,0,1,1,0,3,2,1,12,6,6
MARYADPUR,2,2,0,831,531,300,303,214,89,107,84,23,109,79,30,62,38,24,32,26,6,6,6,0,0,0,0,0,0,0,11,7,4
MASEDAWA,159,91,68,1554,915,639,467,316,151,201,148,53,120,86,34,128,98,30,22,19,3,3,3,0,2,1,1,2,0,2,20,11,9
