VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AJAGABI,547,0,0,1
AKOLAWA,927,1,0,1
AURAIYA,1641,3,1,3
BADHARWA,802,0,0,0
BAGAHI,953,0,0,20
BALUWA MADANPUR,374,0,1,0
BAIRIYA,616,1,0,7
BANJARAHA,409,1,0,0
BARIYARPUR,1184,5,0,1
BASANTAPATTI,1093,0,0,3
BASATPUR,889,0,0,1
BASBITI JINGADIYA,873,4,1,0
BHALOHIYA(PIPRA),803,1,0,1
BHEDIYAHI,463,3,0,0
BIRTIPRASTOKA,642,0,1,2
BISHRAMPUR,1853,6,0,10
BISUNPURWA MANPUR,547,1,0,38
BRAHMAPURI,695,1,0,2
CHANDRANIGAHAPUR,4519,468,4,24
DEBAHI,993,1,2,2
DHARAMPUR,1366,0,2,22
DHARHARI,440,0,0,0
DIPAHI,616,2,0,1
DUMARIYA(MATIAUNA),2725,20,5,9
DUMRIYA(PAROHA),655,2,0,1
FATUHA MAHESHPUR,743,2,0,1
FATUWA HARSAHA,702,3,0,3
GADHI BHANAWANPUR,145,0,0,0
GAMHARIYA BIRTA,1042,3,0,14
GAMHARIYA PARSA,907,0,0,2
GANGAPIPARA,563,1,0,0
GARUDA BAIRIYA,714,26,1,0
GAUR MUNICIPALITY,5375,240,12,8
GEDAHIGUTHI,706,0,2,1
HADIRYA PALTUWA,667,1,0,3
HAJMINIYA,756,0,0,0
HATHIYAHI,750,6,0,3
IHARBARI JYUTAHI,922,1,1,2
INARUWA,713,3,0,1
JATAHARA,1172,0,0,0
JAYANAGAR,795,0,0,1
JETHRAHIYA,662,1,1,0
JHUNKHUNWA,1104,0,0,2
JINGADAWA BELBICHWA,911,0,4,4
JOWAHA(JOKAHA),1129,0,0,20
JUDIBELA,1148,10,1,5
KAKANPUR,1611,7,0,1
KARKACH KARMAIYA,1117,0,1,3
KARUNIYA,1066,3,0,1
KATAHARIYA,1527,20,2,15
KHESARHIYA,530,1,0,3
LAXMINIYA DO.,1865,16,1,11
LAXMIPUR (DO.),983,2,0,1
LAXMIPUR BELBICHAWA,632,0,0,2
LOKAHA,624,0,0,6
MADHOPUR,1133,2,0,0
MAHAMADPUR,1255,18,0,4
MALAHI,408,0,0,0
MARYADPUR,811,0,1,0
MASEDAWA,1017,0,0,4
MATHIYA,796,0,0,1
MATSARI,696,1,1,0
MITHUAWA,645,1,0,0
MUDWALAWA,999,2,3,5
NARKATIYA GUTHI,1086,2,0,1
PACHARUKHI,924,1,4,14
PATAURA,1169,2,0,2
PATHARA BUDHARAM,1001,4,1,1
PAURAI,1752,57,2,10
PIPARA POKHARIYA,937,2,1,17
PIPARIYA(DOSTIYA),731,0,0,0
PIPARIYA(PAROHA),1160,8,3,6
PIPRA BHAGWANPUR,877,2,0,1
PIPRA RAJBARA,1036,2,16,1
POTHIYAHI,979,8,1,1
PRATAPPUR PALTUWA,1345,2,0,3
PREMPUR GUNAHI,1055,3,0,4
RAGHUNATHPUR,914,0,0,1
RAJDEVI,749,1,2,2
RAJPUR FARHADAWA,2576,1,0,12
RAJPUR TULSI,870,5,0,2
RAMOLI BAIRIYA,916,2,0,0
RAMPUR KHAP,772,0,4,0
RANGAPUR,1916,8,4,17
SAKHUAWA,754,1,2,2
SAKHUWA DHAMAURA,1847,0,0,10
SAMANPUR,1282,7,1,0
SANGRAMPUR,907,2,0,6
SANTAPUR(DOSTIYA),1084,2,0,3
SANTPUR(MATIAUN),2641,43,1,1
SARMUJAWA,1376,7,1,55
SARUATHA,1272,3,5,7
SAUNARANIYA,836,1,0,1
SHITALPUR BAIRGANIA,1064,0,1,1
SIMARA BHAWANIPUR,1460,1,28,2
TEJAPAKAR,869,0,0,1
TENGRAHA,872,2,0,3
TOTAL,104995,1069,125,463
