VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AJAGABI,485,56,5,2
AKOLAWA,814,56,21,38
AURAIYA,1316,180,134,18
BADHARWA,648,20,121,13
BAGAHI,880,67,20,6
BALUWA MADANPUR,159,48,165,3
BAIRIYA,566,23,32,3
BANJARAHA,319,56,33,2
BARIYARPUR,898,53,213,26
BASANTAPATTI,875,101,114,6
BASATPUR,679,92,116,3
BASBITI JINGADIYA,629,65,180,4
BHALOHIYA(PIPRA),529,130,140,6
BHEDIYAHI,352,5,108,1
BIRTIPRASTOKA,612,26,6,1
BISHRAMPUR,1675,56,122,16
BISUNPURWA MANPUR,538,23,21,4
BRAHMAPURI,400,105,144,49
CHANDRANIGAHAPUR,2231,842,1917,25
DEBAHI,856,21,114,7
DHARAMPUR,1034,114,177,65
DHARHARI,283,44,103,10
DIPAHI,424,20,174,1
DUMARIYA(MATIAUNA),1991,323,396,49
DUMRIYA(PAROHA),553,67,24,14
FATUHA MAHESHPUR,635,43,63,5
FATUWA HARSAHA,566,88,50,4
GADHI BHANAWANPUR,142,0,0,3
GAMHARIYA BIRTA,935,54,63,7
GAMHARIYA PARSA,829,7,63,10
GANGAPIPARA,381,44,138,1
GARUDA BAIRIYA,334,212,178,17
GAUR MUNICIPALITY,2753,2027,750,105
GEDAHIGUTHI,330,15,362,2
HADIRYA PALTUWA,631,13,14,13
HAJMINIYA,528,75,150,3
HATHIYAHI,657,24,60,18
IHARBARI JYUTAHI,747,39,133,7
INARUWA,680,7,28,2
JATAHARA,1012,65,49,46
JAYANAGAR,586,72,111,27
JETHRAHIYA,497,41,124,2
JHUNKHUNWA,866,116,113,11
JINGADAWA BELBICHWA,673,80,159,7
JOWAHA(JOKAHA),993,111,23,22
JUDIBELA,250,359,546,9
KAKANPUR,1288,117,136,78
KARKACH KARMAIYA,1031,54,25,11
KARUNIYA,950,26,76,18
KATAHARIYA,1334,173,44,13
KHESARHIYA,436,16,81,1
LAXMINIYA DO.,1583,188,114,8
LAXMIPUR (DO.),893,36,49,8
LAXMIPUR BELBICHAWA,551,34,39,10
LOKAHA,513,46,65,6
MADHOPUR,792,80,238,25
MAHAMADPUR,1022,105,127,23
MALAHI,356,10,40,2
MARYADPUR,751,8,20,33
MASEDAWA,951,23,23,24
MATHIYA,639,64,77,17
MATSARI,388,226,80,4
MITHUAWA,505,24,106,11
MUDWALAWA,748,139,114,8
NARKATIYA GUTHI,924,96,19,50
PACHARUKHI,735,119,84,5
PATAURA,1086,34,28,25
PATHARA BUDHARAM,925,14,42,26
PAURAI,654,501,638,28
PIPARA POKHARIYA,905,15,18,19
PIPARIYA(DOSTIYA),639,33,55,4
PIPARIYA(PAROHA),1022,101,32,22
PIPRA BHAGWANPUR,734,66,75,5
PIPRA RAJBARA,953,63,32,7
POTHIYAHI,710,121,148,10
PRATAPPUR PALTUWA,1253,48,12,37
PREMPUR GUNAHI,872,95,77,18
RAGHUNATHPUR,823,75,14,3
RAJDEVI,689,11,51,3
RAJPUR FARHADAWA,2158,290,117,24
RAJPUR TULSI,728,46,100,3
RAMOLI BAIRIYA,842,32,23,21
RAMPUR KHAP,574,48,112,42
RANGAPUR,1427,266,242,10
SAKHUAWA,425,18,312,4
SAKHUWA DHAMAURA,1641,88,71,57
SAMANPUR,1020,167,94,9
SANGRAMPUR,822,48,39,6
SANTAPUR(DOSTIYA),985,18,69,17
SANTPUR(MATIAUN),919,920,815,32
SARMUJAWA,1007,300,108,24
SARUATHA,1059,174,32,22
SAUNARANIYA,750,41,41,6
SHITALPUR BAIRGANIA,1001,16,19,30
SIMARA BHAWANIPUR,1183,210,44,54
TEJAPAKAR,683,67,88,32
TENGRAHA,835,25,12,5
TOTAL,80485,11620,12894,1653
