VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AANPPIPAL,303,360,459,1
AARU ARBANG,559,246,189,4
AARU CHANAUTE,128,650,284,7
AARUPOKHARI,474,142,463,0
ASRANG,131,592,104,4
BAGUWA,14,115,364,1
BAKRANG,96,415,281,1
MIRKOT,317,524,547,0
BHUMLICHOK,225,309,151,0
BIHI,176,17,8,7
BORLANG,226,621,327,5
BUNGKOT,368,631,579,23
CHHEKAMPAR,238,9,14,2
CHHOPRAK,430,643,446,12
CHUMCHET,67,12,186,1
CHYANGLI,681,373,476,2
DARBUNG,330,206,225,2
DEURALI,36,1266,116,4
DHAWA,238,265,375,3
DHUNWAKOT,331,476,303,0
FINAM,113,318,335,0
FUJEL,176,342,628,7
GAIKHUR,190,274,811,1
GANKHU,76,372,245,1
GHAIRUNG,95,367,497,7
GHYACHOK,0,407,5,4
GHYALCHOK,313,654,325,6
GUMDA,187,79,269,0
HANSAPUR,156,317,448,3
HARMI,192,415,298,2
JAUBARI,208,259,270,3
KASHIGAUN,296,75,43,0
KERABARI,277,195,100,0
KERAUJA,325,131,317,0
KHARIBOT,140,102,294,2
KHOPLANG,327,291,766,3
LAPRAK,218,188,122,1
LAPU,386,28,22,14
LHO,213,13,30,0
MAKAISING,167,226,158,1
MANAKAMANA,359,781,243,9
MANBU,619,448,320,1
MASEL,250,537,228,0
MUCHHOK,229,395,272,3
NAMJUNG,151,179,479,0
NARESHWOR,163,414,443,6
PALUNGTAR,333,1213,558,4
PANCHKHUWA DEURALI,298,119,111,2
PANDRUNG,261,231,170,2
GORKHA MUNICIPALITY,824,6230,1701,38
PROK,148,24,8,7
SAMAGAUN,121,24,52,0
SAURPANI,679,286,357,3
SHREENATHKOT,262,282,223,4
SIMJUNG,178,404,257,2
SIRDIBAS,321,112,138,1
SWARA,562,152,70,1
TAKLUNG,486,457,172,6
TAKUKOT,299,134,468,1
TAKUMAJH LAKURIBOT,134,204,216,0
TANDRANG,134,648,255,1
TANGLICHOK,53,335,410,4
TAPLE,148,484,478,10
THALAJUNG,158,224,299,0
THUMI,534,57,486,3
UHIYA,241,14,172,0
BARPAK,548,69,442,10
TOTAL,17916,27382,20908,252
