VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AANPPIPAL,665,802,595,597,65,196,5,9
AARU ARBANG,860,1096,729,750,120,321,11,25
AARU CHANAUTE,856,930,707,699,117,198,32,33
AARUPOKHARI,771,991,659,747,94,222,18,22
ASRANG,637,791,559,603,60,154,18,34
BAGUWA,343,393,294,293,44,91,5,9
BAKRANG,446,641,378,475,62,156,6,10
MIRKOT,983,1088,807,750,160,318,16,20
BHUMLICHOK,770,892,505,543,252,333,13,16
BIHI,102,120,35,29,65,90,2,1
BORLANG,895,1063,737,783,151,270,7,10
BUNGKOT,1021,1374,917,1030,100,334,4,10
CHHEKAMPAR,139,162,71,59,61,91,7,12
CHHOPRAK,1042,1232,809,830,194,322,39,80
CHUMCHET,155,181,43,33,102,141,10,7
CHYANGLI,1082,1437,922,981,148,443,12,13
DARBUNG,659,783,569,601,88,176,2,6
DEURALI,970,1151,766,788,185,351,19,12
DHAWA,607,811,508,584,98,221,1,6
DHUNWAKOT,752,950,639,674,102,272,11,4
FINAM,548,698,473,490,74,203,1,5
FUJEL,816,1128,742,894,71,221,3,13
GAIKHUR,914,1125,742,779,147,297,25,49
GANKHU,527,634,410,435,113,191,4,8
GHAIRUNG,704,879,579,671,115,193,10,15
GHYACHOK,371,465,286,309,75,131,10,25
GHYALCHOK,1172,1375,958,1050,187,295,27,30
GUMDA,429,522,346,368,83,154,0,0
HANSAPUR,584,717,486,515,69,153,29,49
HARMI,593,715,530,524,62,184,1,7
JAUBARI,501,591,420,391,72,192,9,8
KASHIGAUN,362,436,237,235,124,198,1,3
KERABARI,429,541,338,384,85,155,6,2
KERAUJA,637,773,483,470,152,302,2,1
KHARIBOT,511,527,436,375,66,144,9,8
KHOPLANG,957,1122,821,796,131,322,5,4
LAPRAK,377,487,300,310,76,173,1,4
LAPU,326,445,245,278,75,159,6,8
LHO,73,105,20,27,53,78,0,0
MAKAISING,444,486,344,332,98,149,2,5
MANAKAMANA,1149,1380,868,915,257,438,24,27
MANBU,1175,1422,904,819,269,599,2,4
MASEL,667,876,595,658,68,204,4,14
MUCHHOK,732,800,597,591,129,202,6,7
NAMJUNG,550,658,485,497,57,146,8,15
NARESHWOR,558,756,481,564,61,153,16,39
PALUNGTAR,1344,1783,1115,1228,221,539,8,16
PANCHKHUWA DEURALI,348,480,291,374,57,106,0,0
PANDRUNG,447,506,392,403,52,101,3,2
GORKHA MUNICIPALITY,5872,6490,4835,4718,947,1667,90,105
PROK,76,100,31,38,45,61,0,1
SAMAGAUN,78,87,38,39,29,38,11,10
SAURPANI,1207,1515,983,1055,210,411,14,49
SHREENATHKOT,531,659,448,476,72,167,11,16
SIMJUNG,713,790,616,621,86,154,11,15
SIRDIBAS,473,581,303,277,168,289,2,15
SWARA,744,941,624,616,116,325,4,0
TAKLUNG,930,1175,753,797,169,372,8,6
TAKUKOT,711,900,625,689,80,205,6,6
TAKUMAJH LAKURIBOT,373,488,317,375,43,105,13,8
TANDRANG,732,939,650,770,75,155,7,14
TANGLICHOK,620,717,519,536,100,179,1,2
TAPLE,806,971,665,679,134,278,7,14
THALAJUNG,493,510,423,397,67,109,3,4
THUMI,853,1098,697,768,137,310,19,20
UHIYA,352,424,260,248,92,175,0,1
BARPAK,925,1166,765,838,152,318,8,10
INSTITUTIONAL,735,317,498,243,236,68,1,6
